Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19
Case1,1.9880391010997909,0.9326603190344698,0.2920699435035422,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.860010262175956+2.7755575615628914e-17j),(-0.31009970392690256+0j),(-0.40524131400498975-5.277538635420119e-18j),(0.6694899880882111+0j),(0.7833573274184793+0j),(0.4548793166353255+0j),(0.860010262175956+2.7755575615628914e-17j),(-0.31009970392690256+0j),(-0.40524131400498975-5.277538635420119e-18j),0.32521665354830265,1.9880391010997909,1.2247302625380119,0.9890952452568892
Case1,1.7426021750380885,1.030835089459151,0.2773437279398401,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.95149617431473+0j),(-0.2557871436486661+0j),(-0.17096188876030122-2.5305902807004878e-17j),(1.187575907348493+0j),(0.9956828670455455+0j),(1.219384498698213+0j),(0.9057532182453429+1.3877787807814457e-17j),(-0.28294342378778436+0j),(-0.2881016013826455-1.5291720721212498e-17j),0.13517770471745325,1.8653206380689396,1.2664545399685014,0.9992861941689761
Case1,2.1598449493429825,1.0799224746714913,0.3239767424014474,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.8199163218910216-1.3877787807814457e-17j),(-0.1381265408212488+0j),(-0.555570233019602+3.08985717474508e-18j),(0.36310335538227156+0j),(1.7489456972133424+0j),(0.37928710626077766+0j),(0.877140919460569+4.625929269271485e-18j),(-0.23467112946560587+0j),(-0.37725781192829766-9.164528089226639e-18j),0.23387096279890043,1.9634954084936205,1.3122694323366473,0.965547028338543
Case1,1.7671458676442586,0.5890486225480862,0.23561945050935063,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.720212709315339-5.551115123125783e-17j),(-0.6657577784722477+0j),(-0.19509032201612825-8.882261121542724e-19j),(0.36974858602278343+0j),(0.37850761372323494+0j),(1.1108456485430667+0j),(0.8379088669242616-1.0408340855860843e-17j),(-0.3424427917172663+0j),(-0.3317159394502553-7.095452594958547e-18j),0.3061357620356263,1.9144080232812801,1.1903690925168446,0.9440993628844304
Case1,2.3316507975861747,0.7363107781851077,0.3067961590672444,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.6257298213387313+2.7755575615628914e-17j),(-0.3646862046350373+0j),(-0.689540544737067+1.5923057663825135e-17j),(1.5257694543874403+0j),(0.6768141184608706+0j),(0.6447930915458844+0j),(0.7954730578071556-2.7755575615628915e-18j),(-0.3468914743008205+0j),(-0.4032808605076177-2.491750543201811e-18j),0.4245851747936489,1.9978565781422588,1.1609166614639461,0.9172388154638159
Case1,1.88986433067511,5.939573610693203,0.7829437941368314,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.40386764878038117+0j),(-0.8593571364740793+0j),(-0.31368174039889135+1.428618171855497e-17j),(2.357980048848315+0j),(0.43430810958463983+0j),(0.7132817824871711+0j),(0.7302054896360264-2.3129646346357427e-18j),(-0.4323024179963636+0j),(-0.38834767382283+3.045715004243193e-19j),0.5603304999755335,1.9798578702310674,1.0406525674950295,0.8324081032366895
Case1,1.6689710972195777,1.1780972450961724,0.28470683572169114,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.989387280314035+0j),(-0.10726345954896271+0j),(-0.0980171403295606+1.1617022470388871e-17j),(0.968024037203434+0j),(2.5514562835670103+0j),(2.3961154363180337+0j),(0.7672314597328848-1.982541115402065e-18j),(-0.3858682810753063+0j),(-0.34687188332379143+1.9206359247049693e-18j),0.43539460245857925,1.9354454740865688,1.1009599265411487,0.990487684823506
Case1,1.8162332528565992,0.9817477042468103,0.279798095710341,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.9240148481913577+2.7755575615628914e-17j),(-0.29522397005676826+0j),(-0.24298017990326387-5.907617573852188e-18j),(0.8017405907545188+0j),(0.8074653956968021+0j),(0.9747651458381212+0j),(0.7868293832901939+1.734723475976807e-18j),(-0.3745377421979891+0j),(-0.33388542039622554+9.421042373853249e-19j),0.39147967709638704,1.9205439464328227,1.1210331607181492,0.9992901456317428
Case1,1.6444274046134073,1.030835089459151,0.2675262508973719,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.9605089409613831+2.7755575615628914e-17j),(-0.2683483357795098+0j),(-0.07356456359966751+2.7552812210112955e-17j),(0.9337097091552835+0j),(1.000310225260742+0j),(2.871282742330194+0j),(0.806127111920326+4.625929269271485e-18j),(-0.36273891926260243+0j),(-0.30496088075216354+3.898849567688395e-18j),0.3314585858868062,1.8898643306751097,1.1407362917890795,0.9942285940617326
Case1,1.7671458676442586,0.8835729338221293,0.26507188163675494,(0.9423608770213359+0j),(-0.2492696510022057+0j),(-0.22320532822676387-1.4504904173965633e-17j),(0.8946816761445722+0j),(-0.40185129665932656+0j),(-0.19509032201612814+2.5726432601502926e-17j),(1.0113250822839885+0j),(0.6124767582022757+0j),(1.1431043960264649+0j),(0.8149825683427507+4.163336342344338e-18j),(-0.3666501570022749+0j),(-0.29397382487856+6.081607871069849e-18j),0.3155273113304504,1.8775924843720246,1.14152714415606,0.993413770799064
