Case,Theta,Phi,timeErr,init,trace,cost
Case1,0.47860200582032003,3.215223731408304,1.9021361769781953,"[(-0.299840247718984+0j), (-0.18825484024239986+0j), (0.935230421325743-7.269819655896452e-19j)]","[(-0.4232875084812023+0j), (-0.18144858625752225+0j), (0.887639620402854+1.093848562172727e-17j)]",0.042851872015449405
Case2,0.6381360077604268,3.5342917352885173,2.086213871524472,"[(-0.375037085583512+0j), (-0.4589054780184997+0j), (0.8054520138913539+1.1281151040682422e-18j)]","[(-0.36649303061065325+0j), (-0.4696174186362635+0j), (0.8032075314806447-7.010979508519652e-18j)]",0.02150047800133159
Case3,0.9694758579437253,5.2768939103266055,3.141592653589793,"[(0.6897430407102719+0j), (0.4641940147611527+0j), (0.5556783732085234+1.0835716720354526e-20j)]","[(0.6966572123246986+0j), (0.4411533143743497+0j), (0.5657318107836131-3.0708655828124737e-17j)]",0.06090839361370176
Case4,1.1658253987930873,1.3989904785517047,1.3158104894262606,"[(0.2790927985245604+0j), (0.8669234541221021+0j), (0.4129781283612155+2.1940806098790974e-17j)]","[(0.38046939770011684+0j), (0.8366679806125269+0j), (0.393992040061048-1.3745079833291952e-17j)]",0.026754931960620565
Case5,0.5890486225480862,3.8288160465625602,2.208932342005904,"[(-0.15889868435216103+0j), (-0.5363051036754957-2.7755575615628914e-17j), (0.8289318692647595-9.376330100050938e-20j)]","[(-0.1349925511527308+0j), (-0.5389204903793624+0j), (0.8314696123025453+4.285980916513564e-20j)]",0.018880652442764573
Case6,0.11044661672776616,3.902447124381071,2.0064468705544187,"[(-0.054817120783855665+0j), (-0.09778719271381225+0j), (0.9936965070936498+7.254516373042972e-20j)]","[(-0.04029867163337585+0j), (-0.10259118892634532+0j), (0.9939069700023562+1.3153369316524298e-17j)]",0.007550669977376981
Case7,1.7794177139473437,2.429825568010856,2.110757564130642,"[(-0.9805371559054176+0j), (0.11772308810610871+0j), (-0.15712466520465812-2.627957943339218e-18j)]","[(-0.9639142325307825+1.3877787807814457e-17j), (0.16725498550523982+0j), (-0.20711137619221837-1.3910661982955792e-17j)]",0.02513902429996273
Case8,1.8039614065535141,3.902447124381071,2.8654761117703775,"[(0.5107994068556937+0j), (-0.8177278468797758+0j), (-0.2653396585383304+2.7212762957328155e-17j)]","[(0.4533671495213987+0j), (-0.8608544466590151+0j), (-0.23105810828067114-1.941923112491578e-17j)]",0.058169863353040946
Case9,1.239456476611598,3.3624858870453256,2.337786720737717,"[(-0.3983587755163058+0j), (-0.8437239607785474+0j), (0.3597779370352076-5.362015848945256e-18j)]","[(-0.5205170915229665+0j), (-0.7894524502753634+0j), (0.3253102921622629-9.448335425108494e-18j)]",0.04705961940491804
Case10,1.2517283229146832,2.650718801466388,1.9205439538834033,"[(-0.9267257168664943+0j), (0.14362872766872734+0j), (0.3472034479761754+6.499119552765842e-19j)]","[(-0.9400881720666489-2.7755575615628914e-17j), (0.13355895507493826+0j), (0.3136817403988914+2.215657748432781e-17j)]",0.06075440207595084
Case11,0.944932165337555,3.4606606574700063,2.2027964114037806,"[(-0.41209194156141266+0j), (-0.6880360438259745+0j), (0.5973161927291497-3.926402187977166e-18j)]","[(-0.4707248531842937+0j), (-0.6597416030493082+0j), (0.5857978574564389-9.203234273096949e-18j)]",0.0331672756968201
