Case,Theta,Phi,timeErr,init,trace,cost,7,8,9,10,11
Case1,2.662990647769473,0.07363107781851078,0.3074097513823986,(0.5030341882649199+0j),(-0.3834802393890988+0j),(-0.7745318014353787+4.665641982284316e-18j),(0.44439630797960145+4.625929269271486e-19j),(-0.39062856411392244+0j),(-0.7954444287916895-6.962301307468363e-19j),60 / 199477,0.02413579539337024
Case2,1.9082721001297376,3.9392626632903265,0.5890486225480862,(-0.8828154288262752+2.7755575615628914e-17j),(0.21862459925814218+0j),(-0.4157405479689184+2.6084625345082876e-18j),(-0.8427056473687954-4.440892098500626e-18j),(0.23663745102775646+0j),(-0.4482947612159029-3.1562449883987217e-18j),50 / 199514,0.005965427417192554
Case3,1.4971652489763858,4.73693267299086,0.6234097921967247,(-0.7375371208156185-5.551115123125783e-17j),(-0.6711777319401835+0j),(0.07456170308301163-9.388257083862196e-18j),(-0.6789523822236719-5.9476233462061954e-18j),(-0.7067895178016039+0j),(0.07671909716838192+1.7226679551773166e-18j),28 / 195022,0.007719145517488452
Case4,2.779573187648782,5.240078371417351,0.8068738944278473,(-0.06388004512866578+0j),(-0.34745113974088077+0j),(-0.9355196659221668-2.805361991710772e-19j),(-0.06232956670079749-2.5463830840026528e-18j),(-0.3467661558929829+0j),(-0.9353229910006617+2.887374333021447e-19j),109 / 191249,0.005675941318481412
Case5,0.7179030087304801,5.6573211457222445,0.6375224154452726,(0.004554395185877122+0j),(-0.65791043731497+3.0357660829594124e-18j),(0.7530824084763338+1.846672098849291e-18j),(0.0029213850434864283-2.921639538487254e-18j),(-0.6581459522017616+0j),(0.7524801420872738+6.292437320661803e-20j),38 / 133299,0.0024567257443550124
