Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19
Case1,0.7853981633974483,3.730641276137879,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.39284747919355084+0j),(0.5879378012096795+0j),(0.7071067811865476+8.410320070644856e-18j),(1.6919469728420786+0j),(0.44252477375659544+0j),(0.5120506943080456+0j),(-0.39284747919355084+0j),(0.5879378012096795+0j),(0.7071067811865476+8.410320070644856e-18j),0.6115632330977907,0.7853981633974483,3.730641276137879,0.9559502499959015
Case1,1.3499030933393643,4.466952054322987,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.9464615599458596+2.7755575615628914e-17j),(0.23707627908875964+0j),(0.21910124015686983-3.299006887809275e-17j),(1.355074877370241+0j),(1.464787317340859+0j),(3.188269267253417+0j),(-0.6696545195697052+1.3877787807814457e-17j),(0.4125070401492196+0j),(0.4631040106717087-1.2289874403723947e-17j),0.3642585642072085,1.0676506283684062,4.098796665230433,0.9259408936293305
Case1,1.325359400733194,3.5342917352885173,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.37121488947389736-5.551115123125783e-17j),(0.896192020722713+0j),(0.24298017990326393+7.813714962391491e-18j),(1.9119927647489896+0j),(1.2645035669911662+0j),(3.0340734129857303+0j),(-0.5701746428711025-9.25185853854297e-18j),(0.5737353670070506+0j),(0.38972940041556037-5.588677948352134e-18j),0.6983413780197906,1.153553552490002,3.9106283552497945,0.8315161127441061
Case1,0.8099418560036186,4.172427743048944,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.6212074437567133-2.7755575615628914e-17j),(0.3723374128192851+0j),(0.689540544737067+1.951270736935624e-17j),(0.45443218749754677+0j),(0.7370196023773375+0j),(0.4310440225199422+0j),(-0.5829328430925053-1.3877787807814457e-17j),(0.5233858784601093+0j),(0.46468218649593707+6.866683810749595e-19j),0.5602809031710698,1.0676506283684062,3.9760782021995817,0.9969884610846634
Case1,0.859029241215959,3.877903431774901,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.5085103815608111+0j),(0.5610547469477102+0j),(0.6531728429537768+1.5742689657171916e-17j),(0.34093210212068614+0j),(0.38730850949992124+0j),(1.0367949383525723+0j),(-0.5680483507861664-1.1102230246251566e-17j),(0.5309196521576295+0j),(0.502380317787505+3.697872636294351e-18j),0.5450010378833609,1.0259263509379166,3.9564432481146454,0.9725740419584231
Case1Fin,0.8344855486097889,4.319689898685965,0,(-0.6720009205378696+2.7755575615628914e-17j),(0.27506282844061103+0j),(0.6875719622021442-2.4620954470794203e-18j),(-0.5085103815608111+0j),(0.5610547469477102+0j),(0.6531728429537768+1.5742689657171916e-17j),(-0.5680483507861664-1.1102230246251566e-17j),(0.5309196521576295+0j),(0.502380317787505+3.697872636294351e-18j),(-0.5680483507861664-1.1102230246251566e-17j),(0.5309196521576295+0j),(0.502380317787505+3.697872636294351e-18j),0.5450010378833609,1.0259263509379166,3.9564432481146454,0.9679480779077746
Case2,1.325359400733194,3.6324665057131984,0,(-0.9476231553284221+1.734723475976807e-18j),(0.017990076767478012+0j),(0.31888354084729087+1.7105178089456123e-17j),(-0.4572695673751411+0j),(0.8554911892747514+0j),(0.24298017990326376-7.015132307456004e-18j),(2.0942639209652674+0j),(0.8144258534574731+0j),(1.3756298435573757+0j),(-0.4572695673751411+0j),(0.8554911892747514+0j),(0.24298017990326376-7.015132307456004e-18j),1.4037580614045817,1.325359400733194,3.6324665057131984,0.7630959814686523
Case2,1.325359400733194,4.71238898038469,0,(-0.9476231553284221+1.734723475976807e-18j),(0.017990076767478012+0j),(0.31888354084729087+1.7105178089456123e-17j),(-0.9700312531945439-2.4727060060568552e-17j),(2.2120966554059041e-16+0j),(0.24298017990326387-2.673089084352594e-18j),(0.9465628533793875+0j),(1.373264195840475+0j),(1.2602430437008132+0j),(-0.7136504102848424-1.2363530030284276e-17j),(0.4277455946373758+0j),(0.24298017990326382-4.844110695904299e-18j),0.7196316238575046,1.325359400733194,4.172427743048944,0.9983532419384185
Case2,1.2762720155208536,4.71238898038469,0,(-0.9476231553284221+1.734723475976807e-18j),(0.017990076767478012+0j),(0.31888354084729087+1.7105178089456123e-17j),(-0.9569403357322089+1.0229325594169707e-17j),(1.61559628326618e-16+0j),(0.2902846772544623-1.6846888540949578e-17j),(0.598656497884398+0j),(0.9788411977095863+0j),(1.0988757148755155+0j),(-0.7947470521006312-4.832578155466281e-18j),(0.28516372975825055+0j),(0.2587483456869966-8.845036644252725e-18j),0.4801849513788577,1.3089969389957472,4.352414822160859,0.999692924453832
Case2,0.6135923151542565,4.663301595172349,0,(-0.9476231553284221+1.734723475976807e-18j),(0.017990076767478012+0j),(0.31888354084729087+1.7105178089456123e-17j),(-0.575114605233862-5.204170427930421e-18j),(0.028253568811550382+0j),(0.8175848131515836+1.378674629145472e-17j),(1.6665014382538055+0j),(0.6118516111680748+0j),(0.8629005060499135+0j),(-0.7398389403839389-4.9254762235823165e-18j),(0.22093618952157554+0j),(0.3984574625531434-3.187090910325864e-18j),0.49030424940443323,1.1351457830353744,4.430136515413732,0.9031072812795982
