Case,Theta,Phi,timeErr,init,trace,cost
Case1,1.4542137869155878,2.9575149590435164,2.1905245651006955,"[(-0.9268134013239939+0j), (-0.3602125527335015+0j), (0.1061312205689901+4.594913692511736e-18j)]","[(-0.900441686849151-2.7755575615628914e-17j), (-0.4191357115386797+0j), (0.11631863091190486-1.534942721038956e-18j)]",0.03157707360651563
Case2,2.2641556429192065,3.792000507653305,3.06182565261974,"[(0.44167306676654944+0j), (-0.6546491808397844+0j), (-0.6134813380363178-7.517425208781284e-18j)]","[(0.4154476825774884+0j), (-0.6472427419589694+0j), (-0.639124444863776+8.756781404018858e-18j)]",0.03518609919070409
Case3,0.9326603190344698,2.748893571891069,1.8622526764931684,"[(-0.9117245024985292-1.3877787807814457e-17j), (0.06954144466988361+0j), (0.4048733370043464-1.3340605152155732e-17j)]","[(-0.7990945714088117+2.0816681711721685e-17j), (0.08118007497039287+0j), (0.5956993044924334-2.4962742551341504e-18j)]",0.008340445600360749
Case4,1.2026409377023426,6.283185307179586,3.7153014757096035,"[(-0.4322759217924021+0j), (0.8154091121927842+0j), (0.38502663179513225-8.643969321677894e-18j)]","[(-0.5063825796788812+0j), (0.7836148579980098+0j), (0.3598950365349882-1.4249903144388225e-17j)]",0.022823692423603936
Case5,1.8407769454627694,1.7916895602504288,1.8438449070385405,"[(-0.5568173026661075+0j), (0.7848785287634534+0j), (-0.2718826705359444-1.9816345739856653e-17j)]","[(-0.45692643966868013+0j), (0.848576769498105+0j), (-0.26671275747489825+9.039445339562209e-18j)]",0.035500490649026994
Case6,1.0062913968529805,4.491495746929157,2.718213956133356,"[(0.6792298976644578-5.551115123125783e-17j), (-0.49180010516201245+0j), (0.5447746347631868+8.658593052599741e-18j)]","[(0.6754919123558276+0j), (-0.5074329739551892+0j), (0.5349976198870973+7.172713628376537e-18j)]",0.026613063239421697
Case7,2.429825568010856,5.448699758569798,3.939262663290327,"[(0.017238972295268766+0j), (0.6517511254888134+2.2551405187698492e-17j), (-0.7582369604933988+9.014024796196848e-18j)]","[(0.024041478449841266+0j), (0.6527302429689197+0j), (-0.7572088465064847+1.6682110061964962e-18j)]",0.006401040645184274
Case8,1.8039614065535141,3.8533597391687304,2.9114955428575273,"[(0.4369297994762288-5.551115123125783e-17j), (-0.8723415627362816+0j), (-0.21934572768231542-1.3874564259967029e-18j)]","[(0.45072395809190235-5.551115123125783e-17j), (-0.862241302768388+0j), (-0.23105810828067125+1.1792882884068199e-17j)]",0.010313720491496536
Case9,1.4787574795217582,0.8467573949128739,1.1965050145508003,"[(0.928463594238665+0j), (0.3659643535102629+0j), (0.06344640362727438-1.910030444891842e-17j)]","[(0.8866798228614613+2.7755575615628914e-17j), (0.45315740691946726+0j), (0.09190895649713282-1.2873842935121333e-17j)]",0.018401413963785154
Case10,1.4787574795217582,1.7303303287350031,1.6045439041283807,"[(-0.15530945758230857+5.551115123125783e-17j), (0.9837175621998935-2.7755575615628914e-17j), (0.09043633232826176+1.2352766199497605e-17j)]","[(-0.19126740034029266+0j), (0.977225421938395+0j), (0.09190895649713265+3.594622171236856e-18j)]",0.0033689042385805362
Case11,2.141437179888355,4.037437433715008,3.06182565261974,"[(0.31162374824366285+0j), (-0.698810369167006+0j), (-0.6438592295488534+2.4420051587131685e-18j)]","[(0.6130428336672402+0j), (-0.5765355705748423+0j), (-0.5401714727298929-1.3141806102328255e-17j)]",0.03534323740544726
