Case,Theta,Phi,timeErr,init,trace,cost
Case1,1.3008157081270237,3.0925052683774528,2.1966604882522383,"[(-0.826402768121597+0j), (-0.49146378900797366+0j), (0.2748123158355307+5.20111551073495e-18j)]","[(-0.8078609089721829+0j), (-0.5255711719213438+0j), (0.26671275747489837-1.3718833475699632e-17j)]",0.06074880042341657
Case2,2.429825568010856,3.877903431774901,3.1538645073434592,"[(0.4511889254224602+0j), (-0.4728142115671763+0j), (-0.756885245540059-3.3051830289531583e-19j)]","[(0.44455009221270764+0j), (-0.4785498702183421+0j), (-0.7572088465064848-2.4400426832708597e-17j)]",0.012698099704974708
Case3,1.9389517158874505,4.074252972624263,3.0066023442558567,"[(0.6612015669829434+0j), (-0.6586777582514686+0j), (-0.35910457892391195+1.2146092712314691e-17j)]","[(0.6677717058938477+0j), (-0.6515800115757853+0j), (-0.3598950365349881-1.91195837379813e-17j)]",0.014458343197663759
Case4,1.521708941582556,1.5707963267948966,1.546252641639307,"[(0.013844631869196596+0j), (0.9975508828642506+6.071532165918825e-18j), (0.06856064662151806-2.016534163680058e-17j)]","[(0.024511660099012834+0j), (0.9984946378700733+0j), (0.04906767432741832-4.233001811059855e-19j)]",0.031103762786477276
Case5,1.2026409377023426,0.2454369260617026,0.7240389393326032,"[(0.7683709288690471+0j), (-0.5196036991632963+0j), (0.37365507019808536-6.904781271012594e-18j)]","[(0.7693358854271796+5.551115123125783e-17j), (-0.527823699800849+0j), (0.3598950365349882+4.607977907793525e-18j)]",0.022944992658188335
Case6,2.429825568010856,5.841398840268521,4.135612211590269,"[(-0.34318659637109517+0j), (0.5605636075559142+0j), (-0.7536520430245789+5.907609423270293e-18j)]","[(-0.34264773856244907-5.551115123125783e-17j), (0.5560820892911034+0j), (-0.7572088465064847-8.763249092754121e-18j)]",0.008577181145572543
Case7,1.030835089459151,3.6324665057131984,2.3316507975861747,"[(-0.26980996149362024+5.551115123125783e-17j), (-0.8023578626758205+0j), (0.5323762249397508+2.3878566863726235e-18j)]","[(-0.2690538031748075+0j), (-0.8144374864961529+0j), (0.514102744193222+6.1670090995762094e-18j)]",0.031109262885673894
Case8,2.2089323345553233,2.748893571891069,2.4789129606737768,"[(-0.6814772037462987+2.7755575615628914e-17j), (-0.41621449694483637+0j), (-0.601958730568037+1.1420343836708447e-17j)]","[(-0.6988604213521684+0j), (-0.3958995454590729+0j), (-0.5956993044924332-7.012581918105122e-19j)]",0.04395760332383397
Case9,0.8835729338221293,4.417864669110647,2.650718801466388,"[(0.5345552269574049+0j), (-0.5513020470732757+0j), (0.6405597257284705+1.0464791467502914e-17j)]","[(0.5466009335008787+0j), (-0.546600933500879+0j), (0.6343932841636456-1.5611104767652447e-17j)]",0.022913261680695407
Case10,0.5154175447295755,1.9144080232812801,1.2149127840054277,"[(0.006670623938127281+5.551115123125783e-17j), (0.4903780508155648-9.974659986866641e-18j), (0.8714842913412747+1.9234156018965763e-18j)]","[(0.006048619036910193+0j), (0.49286107790242006+0j), (0.8700869911087112-1.2898842404442735e-19j)]",0.004502332220635819
Case11,1.2517283229146832,2.6016314162540475,1.926679877034946,"[(-0.9346366005778795+0j), (0.16259948939678792+0j), (0.31625279588982214-7.946342716037365e-18j)]","[(-0.9334863661065156+1.3877787807814457e-17j), (0.17380152483098282+0j), (0.3136817403988914-2.0408125302370287e-17j)]",0.01492333364642734
