Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case1,1.3008157081270237,2.012582793705961,0.3313398516734146,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.6898042379575974+0j),(0.6730783151282432+0j),(0.2667127574748983-2.0142785126166725e-17j),(0.6834748227136421+1.364603643458899e-18j),(0.6857180240450027+1.369082346416285e-18j),(0.2503057294917007-7.476763230419716e-18j),(0.6898042379575974+0j),(0.6730783151282432+0j),(0.2667127574748983-2.0142785126166725e-17j),0.19456086997705913,0.035376154174766195,1.3008157081270237,2.343922645379376,0.9956934273779111
Case1,1.3008157081270237,2.110757564130642,0.34115732722576664,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.6132397473127044+0j),(0.7435060976992636+0j),(0.2667127574748984-6.598544835727271e-18j),(0.6199002327455205+1.4301341920747815e-18j),(0.7371078860259657+1.7005368531397956e-18j),(0.2690644268579209-7.953558441159674e-18j),(0.6515219926351509+0j),(0.7082922064137533+0j),(0.26671275747489837-1.3370664980946998e-17j),0.12106473336910245,0.015410366489136573,1.3008157081270237,2.397918768367892,0.9997904405226482
Case1,1.3008157081270237,2.110757564130642,0.34115732722576664,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.6132397473127044+0j),(0.7435060976992636+0j),(0.2667127574748984-6.598544835727271e-18j),(0.6199002327455205+1.4301341920747815e-18j),(0.7371078860259657+1.7005368531397956e-18j),(0.2690644268579209-7.953558441159674e-18j),(0.6387612441943353+0j),(0.7200301701755901+0j),(0.26671275747489837-1.1113291599207088e-17j),0.09656602116645013,0.015410366489136573,1.3008157081270237,2.415917476030731,0.9997904405226482
Case1,1.2762720155208536,2.1598449493429825,0.34361169797649976,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.5700486912910971+5.551115123125783e-17j),(0.7686216856871655+0j),(0.29028467725446233+1.2276069229780674e-17j),(0.5903928417349388+1.4410602949822129e-18j),(0.7581830950025366+1.850611113990111e-18j),(0.2767574513550055-8.143931567811383e-18j),(0.6215831059685258+1.3877787807814457e-17j),(0.7321780490534839+0j),(0.2726057374197894-5.265951391960148e-18j),0.06134702411785581,0.0443099650331536,1.2946797849754812,2.437802268852919,0.999823563603773
Case1,1.3008157081270237,2.110757564130642,0.34115732722576664,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.6132397473127044+0j),(0.7435060976992636+0j),(0.2667127574748984-6.598544835727271e-18j),(0.6199002327455205+1.4301341920747815e-18j),(0.7371078860259657+1.7005368531397956e-18j),(0.2690644268579209-7.953558441159674e-18j),(0.6199144342373616+1.1102230246251566e-17j),(0.73444365878264+0j),(0.2714271414308112-5.532470080713573e-18j),0.058591338646513724,0.015410366489136573,1.2959069696057897,2.440624793353617,0.9997904405226482
Case1Fin,1.3008157081270237,2.110757564130642,0.34115732722576664,(0.5903928417349388+0j),(0.7581830950025366+0j),(0.2767574513550055-8.819454958840613e-18j),(0.6132397473127044+0j),(0.7435060976992636+0j),(0.2667127574748984-6.598544835727271e-18j),(0.6199144342373616+1.1102230246251566e-17j),(0.73444365878264+0j),(0.2714271414308112-5.532470080713573e-18j),(0.6199144342373616+1.1102230246251566e-17j),(0.73444365878264+0j),(0.2714271414308112-5.532470080713573e-18j),0.058591338646513724,0.020451509797193623,1.2959069696057897,2.440624793353617,0.9996343394506481
