Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1,1.6689710972195777,3.043417883165112,0.4712388995285851,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.36271547618324684+0j),(0.9267308797805195+0j),(-0.09801714032956088-6.496409920219323e-19j),0.9999737858457072
Case1Fin,1.6689710972195781,3.5146567826936983,X,(-0.3584647226523516+0j),(0.9273543555560184+0j),(-0.10731701563617146-4.057461745757294e-18j),(-0.362715476183248+0j),(0.9267308797805189+0j),(-0.09801714032956116-6.053250143464353e-18j),0.9999737778596355
