Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case1,0.5645049299419159,0.8344855486097889,0.699495246726433,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5346350974013804+3.469446951953614e-18j),(-0.019691772684938817+0j),(0.844853565249707-1.5072252265116618e-17j),(0.5393440057461426+2.442896025585337e-18j),(-0.02845914977402053+8.625048115932263e-20j),(0.8416044915872566-1.5626184577732661e-18j),(0.5346350974013804+3.469446951953614e-18j),(-0.019691772684938817+0j),(0.844853565249707-1.5072252265116618e-17j),0.12917007735197228,0.016725355259667528,0.5645049299419159,1.533980795336222,0.9980752451228544
Case1,0.2945243112740431,0.8835729338221293,0.5890486225480862,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.288886877190609-8.673617379884035e-18j),(-0.02845287394597193+0j),(0.9569403357322089+2.6196836646600105e-17j),(0.2778613577951248+1.637793680327857e-18j),(-0.03246518460035775+5.4079750661326715e-20j),(0.9600724335346339-4.721767346728617e-19j),(0.4117609872959947-2.6020852139652106e-18j),(-0.024072323315455373+0j),(0.900896950490958+5.562292190741744e-18j),0.06603743068858367,0.01816992785229502,0.4295146206079795,1.5033011758532187,0.9915825576604506
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.444243994705459+2.2775767210885073e-18j),(-0.030278062613403007+7.367260048405295e-20j),(0.8953940540859735-1.1275137606813223e-18j),(0.4238251377315173-5.782411586589357e-19j),(-0.028906695659124244+0j),(0.8983394007258104+8.425553491646943e-19j),0.04658135814424463,0.014176577570724606,0.44178646691106466,1.4971652539434395,0.9999447828704257
Case1,0.36815538909255385,5.056000676871073,2.712078040432394,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.35856796419184955-6.938893903907228e-18j),(-0.030878024189266693+0j),(0.9329927988347388-2.9764202474789026e-18j),(0.36540947583211203+2.022381182223265e-18j),(-0.031458931162919763+6.372003687445601e-20j),(0.9303151351140042-7.921968112287936e-19j),(0.4075108443466004-2.168404344971009e-18j),(-0.029399527791659857+0j),(0.9070027502530426-1.1218854999620487e-19j),0.07106616892385806,0.010100079893169887,0.42337869745643697,1.4940972929885499,0.996975562497283
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.4589178813613635+2.313959343366867e-18j),(-0.03002705434715675+7.560369867823919e-20j),(0.8879711448994445-1.1933351315883052e-18j),(0.41559936319779284-1.0408340855860844e-18j),(-0.031234710302620285+0j),(0.9042470604415371-1.809134506794845e-18j),0.060802089661126844,0.024765988679099477,0.4319689898685965,1.492256516415616,0.9999447828704257
Case1,0.5645049299419159,0.8344855486097889,0.6994952392758524,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5346350972546653+5.204170427930421e-18j),(-0.019691776668280737+0j),(0.844853565249707-1.2428709829819108e-17j),(0.5268323284884103+2.4311152267273822e-18j),(-0.028725587593931245+8.461036937887378e-20j),(0.8494836892353279-1.5048665787735112e-18j),(0.43543865220727157+0j),(-0.029310888030230357+0j),(0.894348144576232-3.579063727298888e-18j),0.030572395147805853,0.021466703677526375,0.45405831321414974,1.4992105616606202,0.9980752488810612
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.444243994705459+2.2775767210885073e-18j),(-0.030278062613403007+7.367260048405295e-20j),(0.8953940540859735-1.1275137606813223e-18j),(0.4372264788351703+4.956352788505163e-19j),(-0.030634395503977733+0j),(0.894187595521844-4.295900099683248e-18j),0.028515194305413716,0.014176577570724606,0.4558114341145905,1.497165254298229,0.9999447828704257
Case1,0.5154175447295755,0.8344855486097889,0.6749515541202628,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.49197061370547984-3.469446951953614e-18j),(-0.030224876404091144+0j),(0.8700869911087113+1.2057440702315532e-17j),(0.5007484820158721+2.3964791957394665e-18j),(-0.029253603372551153+8.115728539856144e-20j),(0.8650983669205031-1.3844196477617097e-18j),(0.44406949569395904+0j),(-0.03058320561649191+0j),(0.8911750199702024-2.2517324994334003e-18j),0.018608412007497566,0.0147377694208,0.4632621979414636,1.4986992353522068,0.9996469088456983
Case1,0.5154175447295755,0.8344855486097889,0.6749515541202628,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.49197061370547984-3.469446951953614e-18j),(-0.030224876404091144+0j),(0.8700869911087113+1.2057440702315532e-17j),(0.4871684633621017+2.3732351564619455e-18j),(-0.02951434579545589+7.935146884402963e-20j),(0.872809138184102-1.3219652123260265e-18j),(0.44939184213968353-3.854941057726238e-19j),(-0.03054339125955849+0j),(0.8888319056522589-6.618243659057411e-19j),0.010903136886896116,0.008234831467677887,0.469057236473476,1.499892331727523,0.9996469088456983
Case1,0.3436116964863836,0.8835729338221293,0.6135923151542565,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.3359770357399441-1.0408340855860843e-17j),(-0.0247831550459546+0j),(0.9415440651830206+4.492029506261961e-18j),(0.3313876621902673+1.884264927905011e-18j),(-0.03188637671197004+5.975751121287475e-20j),(0.9429557128138372-6.60175966307074e-19j),(0.4380503614997096-1.3877787807814458e-18j),(-0.0299673676381981+0j),(0.8941031216053352-1.4643897868897096e-19j),0.027059183276503283,0.013104242846508834,0.4565126824747668,1.4996196234524093,0.995496998394546
Case1,0.4172427743048944,5.056000676871073,2.7366217330385645,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.40447869578898193+6.938893903907228e-18j),(-0.02484969274125964+0j),(0.9142097557035307-1.5239535297686797e-17j),(0.4137976680696748+2.1905317715775043e-18j),(-0.030766855853373243+6.972796505656164e-20j),(0.909848828367107-9.938921724880165e-19j),(0.43499839188964345-6.30808536718839e-19j),(-0.029502124465749152+0j),(0.895930997432444-1.5185386440524096e-18j),0.03240427188612713,0.01959705990077354,0.45294269082296024,1.5005121215685584,0.9990802778886588
Case1,0.5890486225480862,5.006913291658733,2.7979809571034093,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5549010243428274-1.734723475976807e-17j),(-0.027260539259813702+0j),(0.8314696123025451-1.8783011071241062e-17j),(0.5515084227774486+2.4512482315131688e-18j),(-0.028191613317833663+8.782914768175763e-20j),(0.8336928046613264-1.6185913961156625e-18j),(0.44499027792740875-2.0238440553062747e-18j),(-0.02931532569858786+0j),(0.8905592153382856-2.957244679651464e-18j),0.017227402521364787,0.006546867982180078,0.464284851800054,1.5022785232363915,0.9968967903043692
Case1,0.36815538909255385,5.056000676871073,2.712078040432394,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.35856796419184955-6.938893903907228e-18j),(-0.030878024189266693+0j),(0.9329927988347388-2.9764202474789026e-18j),(0.36540947583211203+2.022381182223265e-18j),(-0.031458931162919763+6.372003687445601e-20j),(0.9303151351140042-7.921968112287936e-19j),(0.4383424076400581-2.4019248128909636e-18j),(-0.02943553327479393+0j),(0.8938233371457053-2.958719723330498e-18j),0.027019187039929,0.010100079893169887,0.4568902777456309,1.5009412068431216,0.996975562497283
Case1,0.4908738521234052,5.006913291658733,2.7488935793416496,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.46912683303659974+6.938893903907228e-18j),(-0.04620495660910341+0j),(0.881921264348355-2.2564952269927083e-17j),(0.4732256280293493+2.3457886162654238e-18j),(-0.02977231923102466+7.749857103592139e-20j),(0.880438023931176-1.2582146032417038e-18j),(0.4405412951683825-1.734723475976807e-18j),(-0.030633349227244602+0j),(0.8929731890887516-4.359164905230254e-18j),0.023984925262375955,0.022014676627528502,0.45931767591547196,1.4989183751986697,0.9998993630452049
Case1,0.6381360077604268,5.006913291658733,2.8225246571601605,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5955198911081576-1.3010426069826053e-17j),(-0.014619188325519897+0j),(0.8032075314806449-1.1164382868391447e-17j),(0.5968063406602065+2.4542911746997027e-18j),(-0.027117439914322243+9.349241829834229e-20j),(0.801926951910376-1.823359666822792e-18j),(0.4508732015643675-2.4864369822334235e-18j),(-0.029565738500462957+0j),(0.8869888119148778-4.812846102774334e-18j),0.009488328628256552,0.01506527638307276,0.4712388980384689,1.5020739929613787,0.9934794050748803
Case1,0.5154175447295755,0.8344855486097889,0.6749515541202628,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.49197061370547984-3.469446951953614e-18j),(-0.030224876404091144+0j),(0.8700869911087113+1.2057440702315532e-17j),(0.4871684633621017+2.3732351564619455e-18j),(-0.02951434579545589+7.935146884402963e-20j),(0.872809138184102-1.3219652123260265e-18j),(0.453441789823187-2.5478751053409354e-18j),(-0.02960693461943972+0j),(0.8859324481144925-3.758453177456218e-18j),0.007934908050845603,0.008234831467677887,0.47400006345666307,1.5025341873219207,0.9996469088456983
Case1,0.5154175447295755,0.8344855486097889,0.6749515541202628,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.49197061370547984-3.469446951953614e-18j),(-0.030224876404091144+0j),(0.8700869911087113+1.2057440702315532e-17j),(0.4871684633621017+2.3732351564619455e-18j),(-0.02951434579545589+7.935146884402963e-20j),(0.872809138184102-1.3219652123260265e-18j),(0.45570819122802775-2.6020852139652106e-18j),(-0.02964328413618392+0j),(0.8850003624082701-2.8281064786461145e-18j),0.006564242835483042,0.008234831467677887,0.47643638588448145,1.5029402411694577,0.9996469088456983
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.444243994705459+2.2775767210885073e-18j),(-0.030278062613403007+7.367260048405295e-20j),(0.8953940540859735-1.1275137606813223e-18j),(0.45527737163772414-2.264777871414165e-18j),(-0.030139515036754924+0j),(0.8854572478964503-3.148596026165186e-18j),0.006266867416231763,0.014176577570724606,0.47587492886407884,1.5019376394447035,0.9999447828704257
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.4589178813613635+2.313959343366867e-18j),(-0.03002705434715675+7.560369867823919e-20j),(0.8879711448994445-1.1933351315883052e-18j),(0.45489190147797876-1.9629765649211238e-18j),(-0.030583511105686873+0j),(0.8858660401753484-3.4353498318401448e-18j),0.006687541366010977,0.024765988679099477,0.47537257258266596,1.5010405747436075,0.9999447828704257
Case1,0.4663301595172349,0.8344855486097889,0.6504078615140925,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4479534386025627+3.469446951953614e-18j),(-0.03857544034646199+0j),(0.8932243011955154-8.596918333989404e-18j),(0.4589178813613635+2.313959343366867e-18j),(-0.03002705434715675+7.560369867823919e-20j),(0.8879711448994445-1.1933351315883052e-18j),(0.454544978334208-1.691355389077387e-18j),(-0.030983107567725633+0j),(0.8862339532263569-3.693428256947608e-18j),0.007066147920812036,0.024765988679099477,0.47492045192939436,1.5002332165126213,0.9999447828704257
Case1,0.44178646691106466,0.8835729338221293,0.6626797078171776,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.4274263219079752-3.469446951953614e-18j),(-0.010492724069433412+0j),(0.9039892931234433-7.878185256104671e-19j),(0.42920368072847004+2.2364821824209384e-18j),(-0.030524837483859892+7.171167409236067e-20j),(0.9026917717281558-1.060957269553752e-18j),(0.4532536137424825-1.7760264158810166e-18j),(-0.03000737502018791+0j),(0.8870794456024086-3.555065888788696e-18j),0.006575646242885761,0.023106990523811474,0.4733426431189977,1.50242461770913,0.9995925330353232
Case1,0.4908738521234052,5.006913291658733,2.7488935793416496,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.46912683303659974+6.938893903907228e-18j),(-0.04620495660910341+0j),(0.881921264348355-2.2564952269927083e-17j),(0.4732256280293493+2.3457886162654238e-18j),(-0.02977231923102466+7.749857103592139e-20j),(0.880438023931176-1.2582146032417038e-18j),(0.45397512371039694-1.3798936740724603e-18j),(-0.03074362872877498+0j),(0.8868449828181336-4.419151633385897e-18j),0.006785494113895698,0.022014676627528502,0.4741395162555617,1.5010699334414783,0.9998993630452049
Case1,0.5645049299419159,0.8344855486097889,0.699495246726433,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5346350974013804+3.469446951953614e-18j),(-0.019691772684938817+0j),(0.844853565249707-1.5072252265116618e-17j),(0.5393440057461426+2.442896025585337e-18j),(-0.02845914977402053+8.625048115932263e-20j),(0.8416044915872566-1.5626184577732661e-18j),(0.4574820790882658-1.1690527772887178e-18j),(-0.030263113248608187+0j),(0.8850192690108106-4.882329921722015e-18j),0.004623737063183017,0.016725355259667528,0.4780684472854032,1.5025008404803801,0.9980752451228544
Case1,0.5399612373357456,5.006913291658733,2.7734372719478197,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.5127097608180049+6.938893903907228e-18j),(-0.037819740201980895+0j),(0.857728610000272-1.9238029262943143e-17j),(0.5139685695725474+2.415708295527165e-18j),(-0.02899054117133107+8.291154221004376e-20j),(0.8573189943155015-1.445429874871732e-18j),(0.4597832324936716-8.3122166557222e-19j),(-0.030577972704998714+0j),(0.8838821582187049-5.4804840609395615e-18j),0.005505256170889681,0.010497627571727265,0.48064731353750084,1.5022785244781547,0.9990327791959769
Case1,0.39269908169872414,0.8835729338221293,0.6381360077604268,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.38222247341125104+6.938893903907228e-18j),(-0.018777386029788685+0j),(0.9238795325112867+2.4042192574781913e-17j),(0.3818969762148231+2.0835765905712696e-18j),(-0.03123445861871888+6.572355114868926e-20j),(0.9236769501036446-8.592384599653305e-19j),(0.45668080213037476-5.204170427930421e-19j),(-0.03010594923799032+0j),(0.8854820531904082-4.299576995510703e-18j),0.004805065830858657,0.012985152193000282,0.4771293842639498,1.5030557411623306,0.9981754630414822
Case1Fin,0.4663301595172349,0.8344855486097889,0.6381360077604268,(0.4589178813613635+3.469446951953614e-18j),(-0.03002705434715675+0j),(0.8879711448994445+1.0424453781407672e-18j),(0.38222247341125104+6.938893903907228e-18j),(-0.018777386029788685+0j),(0.9238795325112867+2.4042192574781913e-17j),(0.45668080213037476-5.204170427930421e-19j),(-0.03010594923799032+0j),(0.8854820531904082-4.299576995510703e-18j),(0.45668080213037476-5.204170427930421e-19j),(-0.03010594923799032+0j),(0.8854820531904082-4.299576995510703e-18j),0.004805065830858657,0.024939106266313477,0.4771293842639498,1.5030557411623306,0.99999955386609
Case2,1.8407769454627694,5.546874528994478,3.6938257446792044,(0.14693633513103613-5.551115123125783e-17j),(0.9533453885991396+0j),(-0.26370870947887803-1.6866719908863814e-17j),(0.17640945603766703+0j),(0.9474935402527186+0j),(-0.26671275747489837-1.174022314915033e-18j),(0.1641185962013269-6.10584113432319e-17j),(0.9507379671584619+5.4687878166863335e-18j),(-0.2629874601274766-1.8333332478818556e-17j),(0.17640945603766703+0j),(0.9474935402527186+0j),(-0.26671275747489837-1.174022314915033e-18j),0.038329017249072284,0.019260592463234916,1.8407769454627694,2.957514966494097,0.9997720167079891
Case2,1.8162332528565992,5.595961914206819,3.7060975909822895,(0.14693633513103613-5.551115123125783e-17j),(0.9533453885991396+0j),(-0.26370870947887803-1.6866719908863814e-17j),(0.11874217349494334+0j),(0.9627361676014222+0j),(-0.24298017990326387-1.7068876599829642e-18j),(0.12382066204628961-4.661535095544024e-17j),(0.9563897267046576+1.2583820811290421e-18j),(-0.26455081610951187-1.7268666902432017e-17j),(0.14757581476630519+0j),(0.9551148539270704+0j),(-0.2548464686890811-1.4404549874489986e-18j),0.011271185752996737,0.03299555759671757,1.8285050991596843,2.9881945822518095,0.9996718114163936
