Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX
Case1,1.0799224746714913,6.283185307179586,(-2.1600841069683993e-16+0j),(-0.8819212643483549+0j),(0.47139673682599786-1.2122151995102284e-33j),0.08290573369872263,1.0799224746714913,6.283185307179586,0.9992274291638785,8369
Case1,1.1290098598838318,6.283185307179586,(-2.187109647771303e-16+0j),(-0.8929552787358991+0j),(0.44947591512814006+1.0450751405896787e-33j),0.11586056978412458,1.1044661672776614,6.283185307179586,0.9972763173448693,8378
Case1,1.325359400733194,6.283185307179586,(-2.2500368780459313e-16+0j),(-0.918647270222114+0j),(0.38064400338651466-1.219841714196416e-33j),0.2103844730119649,1.1780972450961722,6.283185307179586,0.9775822516869231,8456
Case1,0.8835729338221293,6.283185307179586,(-2.1608600472435085e-16+0j),(-0.8822380660072697+0j),(0.4440813235807974-1.0979207101256527e-33j),0.1105379486028379,1.1044661672776614,6.283185307179586,0.9950015092219864,8378
Case1,0.4908738521234052,6.283185307179586,(-1.9596058397477929e-16+0j),(-0.8000698001710154+0j),(0.531649311734309-2.2415514806400272e-33j),0.07483140246313161,0.9817477042468102,6.283185307179586,0.9303752067700897,8441
Case1Fin,1.030835089459151,6.283185307179586,(-1.9596058397477929e-16+0j),(-0.8000698001710154+0j),(0.531649311734309-2.2415514806400272e-33j),0.07483140246313161,0.9817477042468102,6.283185307179586,0.9995198027976869,8369
Case2,2.1598449493429825,5.988660995905543,(-0.24136288805413747+5.551115123125783e-17j),(-0.7956668099479274+0j),(-0.555570233019602+2.281695385666285e-18j),0.2564923525128293,2.1598449493429825,5.988660995905543,0.9941779484892351,8357
Case2,2.5034566458293663,6.1850105367549055,(-0.14987581518839696+2.7755575615628914e-17j),(-0.6942488297340239+0j),(-0.6793888822501234+1.985523167354384e-18j),0.07614330887369716,2.3316507975861747,6.086835766330225,0.9874931952441346,8540
Case2,1.7426021750380885,6.037748381117884,(-0.17971818972637427+1.850371707708594e-17j),(-0.7814159218863861+0j),(-0.509913217753516-1.3559484115598592e-19j),0.22625378138961083,2.135301256736813,6.0704733045927775,0.9269079464472636,8522
Case2,1.718058482431918,6.1850105367549055,(-0.15902770549176143+1.3877787807814457e-17j),(-0.8321652800897542+0j),(-0.4191175319289774-1.361421326996532e-19j),0.3471083411829047,2.030990563160589,6.0991076126333095,0.9194464344905682,8357
Case2,1.9389517158874505,5.546874528994478,(-0.2525340981664596+0j),(-0.803992636920738+0j),(-0.4072730328501796-1.1383012248481123e-20j),0.4242865897673844,2.012582793705961,5.988660995905543,0.9185857852644455,8393
Case2Fin,2.3071071049800045,6.086835766330224,(-0.2525340981664596+0j),(-0.803992636920738+0j),(-0.4072730328501796-1.1383012248481123e-20j),0.4242865897673844,2.012582793705961,5.988660995905543,0.9792916515643215,8456
Case3,0.2454369260617026,2.356194490192345,(0.1718129329035252+0j),(0.17181293290352515+0j),(0.9700312531945441-2.8723134034253886e-18j),0.4320592032803495,0.2454369260617026,2.356194490192345,0.9732290778350194,8501
Case3,0.19634954084936207,2.061670178918302,(0.1719336181790584+0j),(0.13188893704413057+0j),(0.9754082667988874-1.3671238304828648e-17j),0.4774808980196206,0.22089323345553233,2.2089323345553233,0.9586996596653807,8483
Case3,0.8835729338221293,2.84706834231575,(0.18942010877561483+0j),(0.3345009189512352+0j),(0.8617366059204734-7.041124207332025e-18j),0.18123244247797654,0.44178646691106466,2.421644337142132,0.9689673066758113,8363
Case3,0.7363107781851077,2.552544031041707,(0.23533962283940074+0j),(0.39047090516966465+0j),(0.8315402357790949-3.6621307634546575e-18j),0.20137834046471154,0.5154175447295755,2.454369260617026,0.9829365234787872,8351
Case3,0.6135923151542565,3.0925052683774528,(0.19392241203383068-1.1102230246251566e-17j),(0.4273996451825042+0j),(0.8287491512535926-2.8814987791330834e-18j),0.1258234741718042,0.5350524988145117,2.581996462169111,0.9931985920086509,8633
Case3Fin,0.5399612373357456,2.84706834231575,(0.19392241203383068-1.1102230246251566e-17j),(0.4273996451825042+0j),(0.8287491512535926-2.8814987791330834e-18j),0.1258234741718042,0.5350524988145117,2.581996462169111,0.9960987837650149,8417
