x,fun,jac,nfev,nit,status,message,success
[0.21727182 0.75638039],0.7282953362850256,[-0.25563329  0.30472856],18,1,2,Converged (|x_n-x_(n-1)| ~= 0),True
[0.47965162 0.        ],0.18633678672892182,[0.42568563 0.46147015],111,3,1,Converged (|f_n-f_(n-1)| ~= 0),True
[0.47965162 0.        ],0.18633678672892182,[0.42568563 0.46147015],111,3,2,Converged (|x_n-x_(n-1)| ~= 0),True
[0.47965162 0.        ],0.18633678608209306,[0.42568536 0.46147013],252,4,1,Converged (|f_n-f_(n-1)| ~= 0),True
[0.47965162 0.        ],0.18633678608209306,[0.42568536 0.46147013],252,4,1,Converged (|f_n-f_(n-1)| ~= 0),True
[0.47965162 0.        ],0.18633678608209306,[0.42568536 0.46147013],252,4,1,Converged (|f_n-f_(n-1)| ~= 0),True
