Al,Ap,Xtau,XN,Ztau,ZN,fun,xx,yy,zz,fev,11
0.4450986205441061,1.01055079185835,3.7214645799371966,26.0,2.536355511964336,1.0,0.01613996704184239,-9.232714242224035e-09,2.6041333973545952e-08,0.9677200659163313,3335,fail
2.2625311672611517,1.5331232394990395,2.0148087437379636,13.0,1.2984220091470595,38.0,0.024295536819164344,-2.9940503283740354e-08,3.57198535712918e-09,0.9514089263616431,2170,fail
0.7730746161062815,1.7337190517296948,4.497929636534449,13.0,2.25206433046938,38.0,0.010760404101507212,2.1223134801118344e-07,2.821894538682649e-07,0.9784791917971833,3289,fail
4.815037601694861,0.7613405593026754,3.985029060493346,50.0,2.5881035543727435,13.0,0.011084906605108318,-4.6935395976678215e-09,1.3773977947800775e-09,0.9778301867897534,2993,fail
0.9031897209347564,1.7220024853957183,2.4386417071497557,50.0,1.9292286718985716,13.0,0.019878704673255695,4.5932826131501146e-08,-8.468206845555631e-08,0.9602425906543451,2337,fail
2.6236707108076813,1.5112888627218009,4.265992865369558,50.0,3.0921567266299608,50.0,0.27444063676392566,8.685567397302783e-09,-2.3450184264035834e-10,0.6051012590300748,1738,fail
4.157961881375906,0.3719065422742385,2.95,26.0,1.69625,50.0,0.023718948954116435,2.7003398810019892e-11,1.597375859629619e-10,0.9525626232266888,2614,fail
3.0833428833303946,1.8306356085891564,2.563956515267819,26.0,1.6665122712613196,26.0,0.010113357727039484,2.243093374563153e-08,-1.574916534780534e-08,0.9797732845458939,1494,fail
0.3822061427466083,1.3709884612263596,4.814235252333466,38.0,3.8469749572318435,13.0,0.026342505288954755,3.779942156454394e-07,-2.6801820620014287e-08,0.9473149894227556,3207,fail
1.7917181329684428,1.7608349941528831,2.1599353817704428,50.0,1.5610032256187185,38.0,0.015493760052321543,9.730266198928464e-08,1.2509455354193328e-07,0.9690124798993222,2976,fail
1.3373908004601631,1.5041657931370327,1.3771730787340666,38.0,0.7930823529259206,38.0,0.012376071183863005,2.539772095581992e-08,9.064466678383037e-08,0.9752478576322642,3051,fail
1.5636550746468487,1.051520285869565,3.1329405754156925,26.0,2.035587433405001,26.0,0.016532012543493117,-9.86974815030394e-09,1.3334474458349279e-09,0.9669359749160436,2732,fail
1.5348698032420343,1.7545800125776918,1.335,7.0,1.0662699485531975,7.0,0.01356469658831999,-2.6181194511527123e-07,-2.8435528007329097e-08,0.9728706068233489,2680,fail
3.4825136331582676,1.822282260613018,3.149423062502433,50.0,1.641714484063307,1.0,0.010571408927897919,5.832251527809317e-09,-2.5667934248309787e-09,0.9788571821442074,2901,fail
2.9761581696005925,0.6140748260025091,4.109631301459713,13.0,2.6713723829107825,26.0,0.010336094862710341,5.3836333394757796e-11,3.975402513146757e-12,0.979327810274608,2352,fail
1.9999711616222438,1.5524050624675745,2.099577103482859,26.0,1.1838566087125513,1.0,0.012219963188209181,-1.5122249759339412e-08,-5.112015541853653e-08,0.9755600736242445,2684,fail
