Case,Theta,Phi,timeErr,init,trace,cost,7
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.95392276+6.97358563e-18j  0.22008874-4.74272701e-18j
 -0.20394192+2.75001886e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96208313+5.81181251e-18j  0.20006719-4.56527802e-18j
 -0.18538925+2.52338501e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.95389528+6.97744533e-18j  0.22015281-4.74317049e-18j
 -0.20400129+2.75073256e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.95844032+6.33427241e-18j  0.20926288-4.65623508e-18j
 -0.1939103 +2.62835186e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96454041+5.45587247e-18j  0.19359684-4.49205450e-18j
 -0.17939359+2.44867267e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96796259+4.95543618e-18j  0.18417811-4.37241379e-18j
 -0.17066588+2.33870648e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96020087+6.08254609e-18j  0.20487456-4.61478453e-18j
 -0.18984392+2.57844129e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96290357+5.69328566e-18j  0.1979322 -4.54194327e-18j
 -0.18341089+2.49880917e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.95895943+6.26019917e-18j  0.2079794 -4.64448595e-18j
 -0.19272098+2.61378891e-17j]",0.01868487185808912
Case1,1.7671458676442586,0.5890486225480862,1.178097252546753,"[(0.9617453961032975+2.7755575615628914e-17j), (0.20093893512295763+0j), (-0.18619703925079756+2.1095022062581114e-17j)]","[(0.9619397648300364+0j), (0.19134172334955452+0j), (-0.19509032201612808+3.674049609301569e-18j)]","[ 0.96726566+5.05779850e-18j  0.18613766-4.39854871e-18j
 -0.17248166+2.36169995e-17j]",0.01868487185808912
