Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,2.3316507975861747,0.8344855486097889,1.5830681805485622,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.4797526905783236+0j),(0.5425598520408309+0j),(-0.689540544737067-4.001039156117761e-18j),(0.4671072104280271+5.415784486688763e-18j),(0.547755405391715+6.350844433127099e-18j),(-0.6941000430991956+8.656477420856662e-18j),(0.4797526905783236+0j),(0.5425598520408309+0j),(-0.689540544737067-4.001039156117761e-18j),0.23367201151967198,0.02240053948013121
Case1,2.1598449493429825,0.6872233929727672,1.4235341711578748,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.7131752748177275+2.7755575615628914e-17j),(0.42746080939801256+0j),(-0.5555702330196018+1.3486788811119473e-17j),(0.726280410456702+5.089377433879347e-18j),(0.4258380215253276+2.9840408553440294e-18j),(-0.5396098079262821+9.204860832173714e-18j),(0.5964639826980256+1.3877787807814457e-17j),(0.48501033071942173+0j),(-0.6225553888783344+4.742874827500856e-18j),0.019430750399810293,0.03068834860497921
Case1,2.1598449493429825,0.6872233929727672,1.4235341786084554,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.7131752716328962-2.7755575615628914e-17j),(0.4274608147115825+0j),(-0.555570233019602-1.7870981785619853e-17j),(0.7003271634756209+5.29205013992018e-18j),(0.44220714964975316+3.3415559615932914e-18j),(-0.5603523006973664+9.251012968414734e-18j),(0.6353677456763158+0j),(0.46582715871680863+0j),(-0.6002270035920902-2.7950773768727134e-18j),0.08798927804731932,0.03237651927161178
Case1,2.3316507975861747,0.8344855486097889,1.5830681805485622,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.4797526905783236+0j),(0.5425598520408309+0j),(-0.689540544737067-4.001039156117761e-18j),(0.4671072104280271+5.415784486688763e-18j),(0.547755405391715+6.350844433127099e-18j),(-0.6941000430991956+8.656477420856662e-18j),(0.5964639819018178+0j),(0.4850103320478142+0j),(-0.6225553888783344-3.0965678216839754e-18j),0.019430749867625607,0.02240053948013121
Case1,2.2334760271614935,0.7363107781851077,1.4848934026733005,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.6273951807218296+0j),(0.4773524663795661+0j),(-0.6152315905806266-3.3562996198177404e-17j),(0.6387410629165973+5.607856344021019e-18j),(0.4766507626537648+4.1847771474485486e-18j),(-0.6039982657307552+9.232883034827903e-18j),(0.6026502216658202+0j),(0.48347875891416464+0j),(-0.6210906292187929-9.18985349698266e-18j),0.01675652821276502,0.023280910770440255
Case1,2.2334760271614935,4.957825906446392,3.5956509742545233,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.60321687660865+0j),(0.5075623013248094+0j),(-0.6152315905806266-2.330257706652518e-17j),(0.6023923790078449+5.691754332293202e-18j),(0.4944787236878122+4.672123213796942e-18j),(-0.6265893499999352+9.159004947386057e-18j),(0.6027446641562917+0j),(0.4874926826492721+0j),(-0.6201141227790985-1.1541974091906413e-17j),0.013813553407823476,0.025265833944428717
Case1,2.3071071049800045,5.006913291658733,3.657010205769949,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.5109158386025838+5.551115123125783e-17j),(0.5366316949545553+0j),(-0.6715589548470186+2.2989639888082857e-17j),(0.5168547618910474+5.617373896424588e-18j),(0.5303305866285802+5.7638342789050476e-18j),(-0.6720198092294115+8.86894103446958e-18j),(0.5896262605057621+7.93016446160826e-18j),(0.4945125415500268+0j),(-0.627463384503087-6.6088863804793745e-18j),0.01367397086744937,0.01270087819199417
Case1,2.3316507975861747,0.8344855486097889,1.5830681805485622,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.4797526905783236+0j),(0.5425598520408309+0j),(-0.689540544737067-4.001039156117761e-18j),(0.4671072104280271+5.415784486688763e-18j),(0.547755405391715+6.350844433127099e-18j),(-0.6941000430991956+8.656477420856662e-18j),(0.5758920642648323+6.938893903907228e-18j),(0.5005184553613773+0j),(-0.6352230295323346-6.2829054774341734e-18j),0.04117372594897717,0.02240053948013121
Case1,2.2334760271614935,0.7363107781851077,1.4848934026733005,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.6273951807218296+0j),(0.4773524663795661+0j),(-0.6152315905806266-3.3562996198177404e-17j),(0.6387410629165973+5.607856344021019e-18j),(0.4766507626537648+4.1847771474485486e-18j),(-0.6039982657307552+9.232883034827903e-18j),(0.5816146327600542+6.1679056923619804e-18j),(0.4979444565856204+0j),(-0.6330017585377004-9.314026668627865e-18j),0.03065588768336419,0.023280910770440255
Case1,2.282563412373834,4.957825906446392,3.6201946668606935,(0.6023923790078448+0j),(0.4944787236878121+0j),(-0.6265893499999351+1.5079386366063444e-17j),(0.5672527014360207+0j),(0.5015870910831117+0j),(-0.6531728429537764-2.1048807752413103e-18j),(0.5618684825062922+5.701993731928458e-18j),(0.5124603899606568+5.200587009940631e-18j),(-0.6493752051683589+9.03771096562881e-18j),(0.5801784396276508+5.551115123125783e-18j),(0.4983087200353696+0j),(-0.635018866979308-8.59311207928921e-18j),0.034473452707124375,0.0200551635561681
