Case,Theta,Phi,timeErr,init,trace,cost,7
Case1,1.3744467859455345,1.9634954084936207,1.6689710972195777,"[(-0.3595640591659113+5.551115123125783e-17j), (0.8829285731044985+0j), (0.30191194436753804-6.6494378383255684e-18j)]","[(-0.46233898070905394+0j), (0.8649753945474729+0j), (0.1950903220161283-1.0231453033145695e-17j)]","[-0.38461731+4.98394227e-17j  0.87342456+2.16633267e-17j
  0.29866211+8.29778056e-19j]",0.227549722451578
Case2,2.1598449493429825,0.39269908169872414,1.276272022971434,"[(0.8126902990820449+0j), (0.16076463988599515+0j), (-0.5600796446401732-3.211430231865351e-18j)]","[(0.8274658582483366-6.938893903907228e-18j), (0.08149827983392474+0j), (-0.5555702330196018+2.4461880914374048e-17j)]","[ 0.81358839-1.45707136e-18j  0.16041849-2.87296615e-19j
 -0.55887372-2.20361773e-18j]",0.098551337611244
Case3,1.1780972450961724,6.283185307179586,3.7306412686872985,"[(-0.4332595508606721+0j), (0.7768772835315194+0j), (0.4568893169255507-1.1459982460290039e-17j)]","[(-0.513279961435966+0j), (0.7681777605356505+0j), (0.3826834323650898+4.161104711312926e-18j)]","[-0.4333054 -2.26865163e-18j  0.77685829+4.06738720e-18j
  0.45687814-9.06763104e-18j]",0.16292582767922786
Case4,1.7671458676442586,5.890486225480862,3.828816054013141,"[(-0.4365217410692938+0j), (0.8690627110614393+0j), (-0.2327633429395043-1.3797370840614457e-18j)]","[(-0.2847069455705425+0j), (0.9385529933890442+0j), (-0.19509032201612814+4.1723193608016994e-18j)]","[-0.4705451 +1.45355052e-19j  0.85233455-2.63292791e-19j
 -0.228283  -1.28266080e-18j]",0.25897810786372905
Case5,2.1598449493429825,5.105088062083414,3.6324665057131984,"[(0.6193078332166847+0j), (0.6575524754248651+0j), (-0.42904842358303463+1.0910798139007246e-17j)]","[(0.5274787380308846+0j), (0.6427347019633299+0j), (-0.555570233019602-1.1772490162576344e-17j)]","[ 0.62896021+2.88677946e-18j  0.65109479+2.98837194e-18j
 -0.42483483+8.85375346e-18j]",0.23316867808390251
Case6,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5800704947558374+0j), (0.8137357882830488+0j), (0.03677346843966678+2.05941332870549e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[0.5558552 -4.38410240e-19j 0.83043161-6.54972232e-19j
 0.03752797+2.09870744e-17j]",0.25602846794204
Case7,2.1598449493429825,2.748893571891069,2.454369268067606,"[(-0.67063342386703+0j), (-0.32695543673942123+0j), (-0.6658460431503057-5.202699506714052e-18j)]","[(-0.7332907288288271+0j), (-0.3919520674728389+0j), (-0.555570233019602+1.210990735233508e-17j)]","[-0.65373593+2.35677336e-18j -0.33353776+1.20243186e-18j
 -0.67925098-2.85868395e-18j]",0.23792974328274719
Case8,2.552544031041707,3.5342917352885173,3.0434178831651124,"[(0.15409236790352937-5.551115123125783e-17j), (-0.6175970716681536+0j), (-0.771251839038848+5.990993145631697e-18j)]","[(0.16127352578428195+0j), (-0.5316475653085996+0j), (-0.8314696123025455-8.110787680625424e-18j)]","[ 0.15762558-5.46456342e-17j -0.6172486 -8.37356919e-18j
 -0.77081667-4.46925451e-18j]",0.15334843750400406
Case9,1.1780972450961724,0.7853981633974483,0.981747711697391,"[(0.9534695607200626+6.071532165918825e-18j), (0.005842246888083619+0j), (0.30143268723147737-1.1437186543212454e-17j)]","[(0.9061274450099955+2.7755575615628914e-17j), (0.18023996225291244+0j), (0.38268343236508995+1.4999551348785903e-17j)]","[0.94879693+4.19376094e-18j 0.00612124-1.19226260e-20j
 0.31582735-1.25985116e-17j]",0.3029905681144407
Case10,0.5890486225480862,3.5342917352885173,2.0616701863688824,"[(-0.3662605756261154+0j), (-0.4862239564254585+0j), (0.7933722045421056+2.0454888103788006e-18j)]","[(-0.35245002150912874+0j), (-0.4294616003272815+0j), (0.8314696123025451-1.0321226258118299e-17j)]","[-0.35352714+5.79788836e-19j -0.48879061+8.01622596e-19j
  0.79756022+7.48277899e-19j]",0.10867031740182237
Case11,1.3744467859455345,5.890486225480862,3.6324665131637786,"[(-0.15988803588540784+0j), (0.9518523662378964+0j), (0.2615585763610589-3.814084980842356e-18j)]","[(-0.09613377573468276+0j), (0.9760625304859505+0j), (0.19509032201612825-1.113198653831505e-18j)]","[-0.15308555-1.53052831e-19j  0.95289163+9.52687956e-19j
  0.26184415-3.55646113e-18j]",0.15443268673219473
