Case,Theta,Phi,timeErr,init,trace,cost
Case1,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6418282560937025
Case2,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6414057053678466
Case3,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6407593127116662
Case4,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6437493484675305
Case5,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.641565885182529
Case6,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6433771669189587
Case7,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.643126069616914
Case8,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6428728602662521
Case9,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.6421816473660882
Case10,1.3744467859455345,2.748893571891069,ct1,"[(-0.012736305493924497+0j), (0.4384946795577748-3.469446951953614e-18j), (-0.8986435347354867-4.808035663529595e-19j)]","[(0.3753302775178654+5.551115123125783e-17j), (0.9061274463528879+0j), (0.19509032201612847-3.391970784754352e-18j)]",1.642022609862288
