Case,Theta,Phi,timeErr,init,trace,cost,7
Case1,0.760854470791278,3.5833791205008576,2.1721167956460676,"[(-0.35589740234287104+0j), (-0.5839310214171735+0j), (0.7296311405308118+2.6277740762027674e-18j)]","[(-0.3472101314102539+0j), (-0.5957443138481182+0j), (0.7242470829514669+6.954965519936089e-19j)]","[-0.35458383+6.80572135e-19j -0.58424294+1.12136941e-18j
  0.73002089+1.22800875e-18j]",0.025884620942906778
Case2,2.110757564130642,6.086835766330224,4.098796672681013,"[(-0.5859177458304092+0j), (0.625505488257183+0j), (-0.5152118780474255-1.0956746912013095e-17j)]","[(-0.5914386576045096+0j), (0.6212074393501534+0j), (-0.5141027441932216-1.1092172509161075e-17j)]","[-0.60578293+3.29639703e-18j  0.6141276 -3.34180496e-18j
 -0.50584022-8.00489075e-18j]",0.010928085500416573
Case3,0.6381360077604268,0.19634954084936207,0.417242781755475,"[(0.3604084994653183-2.7755575615628914e-17j), (-0.4907318345462903+0j), (0.7932767361242795+1.7428033318473723e-18j)]","[(0.3430085427773477+0j), (-0.48703470200236176+0j), (0.8032075314806449-1.7338890841130017e-18j)]","[ 0.35167369-2.42231085e-17j -0.49248269-4.00483664e-18j
  0.79610703+8.22291104e-18j]",0.031027885661343013
Case4,2.086213871524472,2.5034566458293663,2.2948352661274996,"[(-0.8766085446555825+2.0816681711721685e-17j), (-0.08007534196403063+0j), (-0.4744948883245903-4.8636441070346885e-19j)]","[(-0.8668786423815795+2.0816681711721685e-17j), (-0.0746511318017371+0j), (-0.492898192229784+3.2106441118690206e-17j)]","[-0.85675569+5.63832024e-18j -0.0858194 -1.47316090e-18j
 -0.50853192-9.25062323e-18j]",0.03355742224404519
Case5,1.9634954084936207,2.84706834231575,2.405281882855266,"[(-0.785651658033688+0j), (-0.49556639907657923+0j), (-0.37035849704737395+4.240256206071659e-18j)]","[(-0.7924379036898125+0j), (-0.47496900887212573+0j), (-0.38268343236508984-1.5478002190447385e-17j)]","[-0.80675565-1.15570180e-18j -0.47331093-6.78032191e-19j
 -0.35372601+3.54310671e-18j]",0.03970858062121119
Case6,1.5462526341887264,0.2454369260617026,0.8958447801252145,"[(0.9083840199867246+2.7755575615628914e-17j), (-0.41653684074008324+0j), (0.03654493862395031+1.289242978883989e-17j)]","[(0.908894158692006+0j), (-0.41630413929978777+0j), (0.024541228522912406-3.3560323976902195e-18j)]","[ 0.90564578+4.53674703e-18j -0.42241241+1.07907305e-17j
  0.03706043+1.21275605e-17j]",0.012746550246614752
Case7,0.8835729338221293,2.945243112740431,1.9144080307318607,"[(-0.7569032886724494-1.3877787807814457e-17j), (-0.13580824898254856+0j), (0.6392601435293186-3.268037052228899e-18j)]","[(-0.7646437815785692-6.938893903907228e-18j), (-0.11342419627790817+0j), (0.6343932841636455-4.7413653244316e-18j)]","[-0.76874024-7.30341107e-18j -0.13290605+1.17415347e-18j
  0.62559925-8.72503265e-18j]",0.03499141151854934
Case8,0.9817477042468103,5.105088062083414,3.043417890615693,"[(0.8096317572722883+0j), (0.23061017993114757+0j), (0.5397363824389739+1.0496734603527326e-17j)]","[(0.7956668081496335+1.3877787807814457e-17j), (0.24136289398231725+0j), (0.5555702330196024+1.6134286673477366e-17j)]","[0.83326827-4.18871035e-18j 0.21722423-1.09195251e-18j
 0.50840695+7.33176036e-18j]",0.04055150602797969
Case9,2.82252464970958,3.485204350076177,3.1538645073434592,"[(0.11920162906616964+0j), (-0.28254496105447247+0j), (-0.9518189515925273-9.390925951759173e-19j)]","[(0.10929258019879283+2.7755575615628914e-17j), (-0.2940261317862205+0j), (-0.9495281805930367+1.409615137654598e-18j)]","[ 0.11543938-1.03277446e-19j -0.28267144+2.52891037e-19j
 -0.95224503-8.75902268e-20j]",0.02368099360357391
Case10,0.7117670855789375,1.718058482431918,1.2149127840054277,"[(0.15966451143903235+0j), (0.6375806520607605+0j), (0.7536565238254829+5.77363847076943e-19j)]","[(0.13527952639554072+0j), (0.639010338344003+0j), (0.7572088465064845-2.797274092194592e-18j)]","[0.15732037-6.85076454e-20j 0.63782368-2.77750411e-19j
 0.7539438 +2.49267171e-19j]",0.02936699400773568
Case11,2.2089323345553233,3.730641276137879,2.969786805346601,"[(0.29717314202400613+0j), (-0.7457950099931028+0j), (-0.5962196966965847-1.936812804860068e-18j)]","[(0.32549287547592026+0j), (-0.7343001611341566+0j), (-0.5956993044924335+1.4414117950612116e-18j)]","[ 0.29583472-3.41917266e-19j -0.74611958+8.62343558e-19j
 -0.59647917-1.24826222e-18j]",0.0403349745150115
