Case,Theta,Phi,timeErr,init,trace,noise,cost
Case1,0.5890486225480862,1.9634954084936207,1.2762720229714342,"[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]","[(-0.05445540961219785+5.551115123125783e-17j), (0.552895010089097+0j), (0.8314696123025452-1.0659776724342287e-18j)]","[(-0.09678028543938907-6.183285942142613e-19j), (0.5689457887123951-1.0223626857460902e-17j), (0.8157528385027581+7.045493930418633e-18j)]",0.07409243196394052
Case1,0.5890486225480862,1.9634954084936207,1.2762720229714342,"[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]","[(-0.05445540961219785+5.551115123125783e-17j), (0.552895010089097+0j), (0.8314696123025452-1.0659776724342287e-18j)]","[(-0.09292015850972675-5.954141186024835e-19j), (0.5697827073334206-1.0227948058104634e-17j), (0.816952810018924+7.07122491337892e-18j)]",0.06986925213913794
Case1,0.5890486225480862,1.9634954084936207,1.2762720229714342,"[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]","[(-0.05445540961219785+5.551115123125783e-17j), (0.552895010089097+0j), (0.8314696123025452-1.0659776724342287e-18j)]","[(-0.09177444824487467-5.879050553993541e-19j), (0.5697015190253089-1.0227530933398664e-17j), (0.816836402455832+7.068725820168698e-18j)]",0.06875876112926604
Case1,0.5890486225480862,1.9634954084936207,1.2762720229714342,"[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]","[(-0.05445540961219785+5.551115123125783e-17j), (0.552895010089097+0j), (0.8314696123025452-1.0659776724342287e-18j)]","[(-0.09496496891015457-6.07452841024346e-19j), (0.5692843432182874-1.022538057912311e-17j), (0.8162382569813701+7.055894600930539e-18j)]",0.07213025146198634
Case1,0.5890486225480862,1.9634954084936207,1.2762720229714342,"[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]","[(-0.05445540961219785+5.551115123125783e-17j), (0.552895010089097+0j), (0.8314696123025452-1.0659776724342287e-18j)]","[(-0.09197709330150083-5.893794230746785e-19j), (0.5697867102201505-1.0227968612405543e-17j), (0.8169585493464255+7.071348144500459e-18j)]",0.06892445049014029
Case2,1.5707963267948966,4.71238898038469,3.1415926610403737,"[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]","[(1.0000000000000002+6.938893490316922e-18j), (7.450580374879223e-09+0j), 0j]","[(0.9509280607316719-7.790686605789053e-19j), (0.013761822060630667+1.4416616466171125e-19j), (0.05129295357254638+1.5888679423098046e-17j)]",0.11412671490150558
Case2,1.5707963267948966,4.71238898038469,3.1415926610403737,"[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]","[(1.0000000000000002+6.938893490316922e-18j), (7.450580374879223e-09+0j), 0j]","[(0.937633734519816-6.581874868218221e-19j), (0.012738553081084805+1.3494089948273704e-19j), (0.047479033582240426+1.4712836167059476e-17j)]",0.12258385214350966
Case2,1.5707963267948966,4.71238898038469,3.1415926610403737,"[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]","[(1.0000000000000002+6.938893490316922e-18j), (7.450580374879223e-09+0j), 0j]","[(1.0359840100413005-9.558656366701577e-19j), (0.014604402740512216+1.51482889189878e-19j), (0.054433413571511685+1.6855850964068107e-17j)]",0.10502182635332438
Case2,1.5707963267948966,4.71238898038469,3.1415926610403737,"[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]","[(1.0000000000000002+6.938893490316922e-18j), (7.450580374879223e-09+0j), 0j]","[(0.9239458731072546-5.801095977119718e-19j), (0.012047409231030051+1.2851231561358266e-19j), (0.044903007729223045+1.3917903031955183e-17j)]",0.13300454385299892
Case2,1.5707963267948966,4.71238898038469,3.1415926610403737,"[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]","[(1.0000000000000002+6.938893490316922e-18j), (7.450580374879223e-09+0j), 0j]","[(1.0574447483201694-9.75529322200239e-19j), (0.014603374544706525+1.514741214779844e-19j), (0.054429581288294206+1.6854671330315034e-17j)]",0.12647770415317017
Case3,1.3744467859455345,0.39269908169872414,0.8835729412727099,"[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]","[(0.9385529976315081+0j), (-0.28470693158501437+0j), (0.19509032201612825+1.5375475031107107e-17j)]","[(0.9253343688492103+3.6381840488557056e-18j), (-0.1856132736214526-7.297851177680643e-19j), (0.21251492299853336-1.7665501267624735e-17j)]",0.1297368925997973
Case3,1.3744467859455345,0.39269908169872414,0.8835729412727099,"[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]","[(0.9385529976315081+0j), (-0.28470693158501437+0j), (0.19509032201612825+1.5375475031107107e-17j)]","[(0.8920238878972709+2.767239154216093e-18j), (-0.16487361063211914-5.114714045535985e-19j), (0.18876938046700867-1.5848224098559526e-17j)]",0.1726833771077849
Case3,1.3744467859455345,0.39269908169872414,0.8835729412727099,"[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]","[(0.9385529976315081+0j), (-0.28470693158501437+0j), (0.19509032201612825+1.5375475031107107e-17j)]","[(0.9787291724478606+3.800068997453782e-18j), (-0.18445078956058644-7.161590220224036e-19j), (0.21118395562824804-1.75652313096707e-17j)]",0.15652595956689694
Case3,1.3744467859455345,0.39269908169872414,0.8835729412727099,"[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]","[(0.9385529976315081+0j), (-0.28470693158501437+0j), (0.19509032201612825+1.5375475031107107e-17j)]","[(1.0146110985333576+4.822242331344357e-18j), (-0.20407544652995302-9.699295212394984e-19j), (0.23365289000641717-1.9230774254731877e-17j)]",0.1952521630611965
Case3,1.3744467859455345,0.39269908169872414,0.8835729412727099,"[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]","[(0.9385529976315081+0j), (-0.28470693158501437+0j), (0.19509032201612825+1.5375475031107107e-17j)]","[(1.0031279205658192+5.2448430579569565e-18j), (-0.2140445299222248-1.1191294189309531e-18j), (0.2450668311979039-2.0053621521905555e-17j)]",0.18521384289287304
