Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.039629351047454554+5.589628524422981e-20j),(0.534585927284377+6.187937014686684e-18j),(0.8441844590402386-3.9159319720500055e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),0.018109248845070494,0.00808712180211394
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.029732229360671998+4.196545740797807e-20j),(0.5347696756031047+6.189545324727101e-18j),(0.8444746228233234-3.91809692015148e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),0.018109248845070494,0.004232021872441032
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.04457372370600754+6.28439927799037e-20j),(0.5344744581719524+6.1869610887137305e-18j),(0.8440084340317804-3.914619038897023e-18j),(-0.032806451949946955+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),0.0181092488450705,0.013096050356700528
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.04951482298768368+6.977787367920556e-20j),(0.5343499575250878+6.185870837542861e-18j),(0.8438118304441076-3.913152981625256e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),0.018109248845070494,0.01810925257918495
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.04457372370600754+6.28439927799037e-20j),(0.5344744581719524+6.1869610887137305e-18j),(0.8440084340317804-3.914619038897023e-18j),(-0.03280645194994696+0j),(0.5339908145233537+0j),(0.8448535652497071-1.436511701652356e-18j),0.018109248845070383,0.013096050356700528
Case1,0.5645049299419159,2.012582793705961,1.288543869274519,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.08498873251872485+0j),(0.5282039081923944+0j),(0.8448535652497069+4.512612595665713e-18j),(-0.07415868630905723+1.0418749688692286e-19j),(0.5335330376955036+6.178710995017413e-18j),(0.8425218020516282-3.903542947264589e-18j),(-0.041503498711409945+0j),(0.5330263301348604+0j),(0.8448535652497071-4.449909854326779e-19j),0.010376686472100681,0.018490934342214563
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.03468206568524639+4.893626597919343e-20j),(0.5346843403238045+6.188798469622034e-18j),(0.8443398667197366-3.917091383100076e-18j),(-0.04026106345977237+0j),(0.5331641136189309+0j),(0.8448535652497071-5.866368020354891e-19j),0.0114813382396678,0.003082841799835305
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.04457372370600754+6.28439927799037e-20j),(0.5344744581719524+6.1869610887137305e-18j),(0.8440084340317804-3.914619038897023e-18j),(-0.0393292370210442+0j),(0.5332674512319838+0j),(0.8448535652497071-6.928711644875974e-19j),0.012309827065343053,0.013096050356700528
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.03468206568524639+4.893626597919343e-20j),(0.5346843403238045+6.188798469622034e-18j),(0.8443398667197366-3.917091383100076e-18j),(-0.038604483124255615+0j),(0.533347824931025+0j),(0.8448535652497071-7.754978908392372e-19j),0.01295420726309051,0.003082841799835305
Case1,0.5645049299419159,6.135923151542564,3.3502140481928206,(-0.04951482298768368+0j),(0.5343499575250878+6.938893903907228e-18j),(0.8438118304441076-2.7240263370971355e-18j),(-0.03280645194994696+0j),(0.5339908145233536+0j),(0.8448535652497071-1.436511701652356e-18j),(-0.039629351047454554+5.589628524422981e-20j),(0.534585927284377+6.187937014686684e-18j),(0.8441844590402386-3.9159319720500055e-18j),(-0.038024680006824754+0j),(0.5334121238902578+0j),(0.8448535652497071-8.415992719205492e-19j),0.013469711421288492,0.00808712180211394
