Case,Theta,Phi,timeErr,init,trace,arr,cost
Case1,0.19634954084936207,3.5342917352885173,ct1,"[(-0.8076225418989826+5.551115123125783e-17j), (0.43485486767458825+0j), (-0.39830525213250983+2.9335659849433655e-18j)]","[(-0.07465783405034258-1.3877787807814457e-17j), (0.180239955501737+0j), (0.9807852804032304-1.1060344936318127e-17j)]",[0.64660578 0.19217026 0.16122396],1.6529204372851043
Case2,0.19634954084936207,3.5342917352885173,ct1,"[(-0.8076225418989826+5.551115123125783e-17j), (0.43485486767458825+0j), (-0.39830525213250983+2.9335659849433655e-18j)]","[(-0.07465783405034258-1.3877787807814457e-17j), (0.180239955501737+0j), (0.9807852804032304-1.1060344936318127e-17j)]",[0.68256531 0.17261603 0.14481866],1.6857310433666395
Case3,0.19634954084936207,3.5342917352885173,ct1,"[(-0.8076225418989826+5.551115123125783e-17j), (0.43485486767458825+0j), (-0.39830525213250983+2.9335659849433655e-18j)]","[(-0.07465783405034258-1.3877787807814457e-17j), (0.180239955501737+0j), (0.9807852804032304-1.1060344936318127e-17j)]",[0.69171659 0.16763971 0.1406437 ],1.6940809521886928
Case4,0.19634954084936207,3.5342917352885173,ct1,"[(-0.8076225418989826+5.551115123125783e-17j), (0.43485486767458825+0j), (-0.39830525213250983+2.9335659849433655e-18j)]","[(-0.07465783405034258-1.3877787807814457e-17j), (0.180239955501737+0j), (0.9807852804032304-1.1060344936318127e-17j)]",[0.67620722 0.17607346 0.14771932],1.679929714961598
Case5,0.19634954084936207,3.5342917352885173,ct1,"[(-0.8076225418989826+5.551115123125783e-17j), (0.43485486767458825+0j), (-0.39830525213250983+2.9335659849433655e-18j)]","[(-0.07465783405034258-1.3877787807814457e-17j), (0.180239955501737+0j), (0.9807852804032304-1.1060344936318127e-17j)]",[0.61893372 0.2072179  0.17384838],1.627671592603466
