Case,"Theta, Phi, time",00R,00I,01R,01I,10R,10I,11R,11I
Case1,[1.40273103 0.         3.27182644],0.5836259876307736,-3.12550298652559e-18,0.1664692505192245,0.46399858062751165,0.1664692505192245,-0.46399858062751165,0.4163740123692265,3.125502986525589e-18
Case2,[1.95703949e+00 2.79843726e+00 4.35022569e-04],0.3116444951923667,-1.7997832242370277e-18,0.02928407888515361,-0.4622387332672476,0.029284078885153626,0.4622387332672476,0.6883555048076333,1.7997832242370277e-18
Case3,[2.05739119e+00 2.43708775e+00 2.43522582e-04],0.26619065059637126,-1.0035533190162801e-18,0.19651517366513557,-0.3958724221902979,0.19651517366513557,0.3958724221902979,0.7338093494036287,1.0035533190162801e-18
Case4,[9.46853701e-01 4.97903842e+00 1.46344990e-05],0.792119727256734,8.474128331332403e-19,-0.29285532652227325,0.2808946825324115,-0.29285532652227325,-0.2808946825324115,0.20788027274326623,-8.4741283313323795e-19
Case5,[1.95414101e+00 2.71441426e+00 3.17375627e-04],0.31298776122928207,-3.594592134712878e-18,0.07191058905684365,-0.458099650438048,0.07191058905684365,0.458099650438048,0.6870122387707179,3.594592134712877e-18
