Case,Theta,Phi,timeErr,init,trace,noise,cost
Case1,1.9634954084936207,1.5707963267948966,1.7671458750948392,"[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]","[-0.18023996+0.0000000e+00j  0.90612745+0.0000000e+00j
 -0.38268343+6.5903361e-18j]","[(-0.023121352055199502+2.75822610643985e-20j), (0.898409821940468-1.0717441693038545e-18j), (-0.4384953611828911-2.1974219031242462e-18j)]",0.22064815667675913
Case1,1.9634954084936207,1.5707963267948966,1.7671458750948392,"[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]","[-0.18023996+0.0000000e+00j  0.90612745+0.0000000e+00j
 -0.38268343+6.5903361e-18j]","[(-0.024367425436475392+2.906647826734436e-20j), (0.898374791057907-1.0716188055356464e-18j), (-0.4384782633294104-2.1973770118935446e-18j)]",0.21942001632456362
Case1,1.9634954084936207,1.5707963267948966,1.7671458750948392,"[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]","[-0.18023996+0.0000000e+00j  0.90612745+0.0000000e+00j
 -0.38268343+6.5903361e-18j]","[(-0.025608447078103388+3.0544840000917205e-20j), (0.8983456678210184-1.0715145906903766e-18j), (-0.43846404887631074-2.197339687535749e-18j)]",0.21819390346672446
Case1,1.9634954084936207,1.5707963267948966,1.7671458750948392,"[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]","[-0.18023996+0.0000000e+00j  0.90612745+0.0000000e+00j
 -0.38268343+6.5903361e-18j]","[(-0.025010380001881174+2.983530137070757e-20j), (0.8984030993237808-1.0717201105575617e-18j), (-0.43849208001191503-2.197413288623177e-18j)]",0.2187625701757886
Case1,1.9634954084936207,1.5707963267948966,1.7671458750948392,"[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]","[-0.18023996+0.0000000e+00j  0.90612745+0.0000000e+00j
 -0.38268343+6.5903361e-18j]","[(-0.022699240460906284+2.7082970262043735e-20j), (0.8984804997652514-1.0719971312730418e-18j), (-0.43852985757590585-2.1975124605249875e-18j)]",0.22103408683928374
Case2,1.5707963267948966,2.356194490192345,1.9634954159442013,"[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]","[-0.92387954-2.77555756e-17j  0.38268343+0.00000000e+00j
  0.        +0.00000000e+00j]","[(-0.914100707392651+1.5626309800102895e-18j), (0.24852097920894686-4.2484004022062254e-19j), (0.1941466432458885+8.47317508517385e-18j)]",0.3380879215206673
Case2,1.5707963267948966,2.356194490192345,1.9634954159442013,"[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]","[-0.92387954-2.77555756e-17j  0.38268343+0.00000000e+00j
  0.        +0.00000000e+00j]","[(-0.9457566229917873+1.7326836650644448e-18j), (0.25727750086878304-4.713480321541612e-19j), (0.2009873103484343+8.74708499872145e-18j)]",0.34827033232524224
Case2,1.5707963267948966,2.356194490192345,1.9634954159442013,"[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]","[-0.92387954-2.77555756e-17j  0.38268343+0.00000000e+00j
  0.        +0.00000000e+00j]","[(-0.892447526015242+1.2636625049800651e-18j), (0.22618097314061592-3.202613114676482e-19j), (0.17669444584160962+7.763369552911875e-18j)]",0.3646289115621284
Case2,1.5707963267948966,2.356194490192345,1.9634954159442013,"[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]","[-0.92387954-2.77555756e-17j  0.38268343+0.00000000e+00j
  0.        +0.00000000e+00j]","[(-1.0180812207670735+2.2281524906251026e-18j), (0.2811985682756366-6.154256433406127e-19j), (0.21967464593950564+9.482050460266403e-18j)]",0.4153611982847462
Case2,1.5707963267948966,2.356194490192345,1.9634954159442013,"[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]","[-0.92387954-2.77555756e-17j  0.38268343+0.00000000e+00j
  0.        +0.00000000e+00j]","[(-0.9615754580515401+1.9708781774926718e-18j), (0.27212601926393454-5.577588616727071e-19j), (0.21258709565738304+9.205661080492845e-18j)]",0.36084043429879226
