Case,Theta,Phi,timeErr,init,trace,cost,7
Case1,2.82252464970958,0.6381360077604268,1.730330336185584,"[(0.2173588629755292+0j), (0.2202984827777304+0j), (-0.9509067794330922-1.833031228576506e-18j)]","[(0.21906787569511432+1.3877787807814457e-17j), (0.22451169256434605+0j), (-0.9495281805930368-1.7377391143131854e-17j)]","[ 0.22801144-3.95454414e-19j  0.2197493 -3.81124871e-19j
 -0.94853626-1.83356252e-19j]",0.0073008213868157035
Case2,1.325359400733194,1.9634954084936207,1.644427412063988,"[(-0.44225075948176545+0j), (0.8637775616579548+0j), (0.24145929204327543-1.4037181263809092e-17j)]","[(-0.43613704801091974+5.551115123125783e-17j), (0.8664554850230322+0j), (0.24298017990326382+3.974640376916612e-18j)]","[-0.42299923-1.46340556e-18j  0.87267506+3.01910134e-18j
  0.24394649-1.33378181e-17j]",0.010312532400982288
Case3,1.8162332528565992,2.84706834231575,2.3316508050367553,"[(-0.8717174894856765+0j), (-0.43897428833118624+0j), (-0.21773881764379593+1.6609731115142126e-17j)]","[(-0.8664554850230323+2.7755575615628914e-17j), (-0.4361370480109197+0j), (-0.24298017990326387+1.966378398732336e-17j)]","[-0.8500424 -3.55206959e-18j -0.47185688-1.97174691e-18j
 -0.23404915+1.68759088e-17j]",0.03334061024850071
Case4,2.2580197197676637,1.8653206380689396,2.0616701863688824,"[(-0.5626863489307922+0j), (0.5373354583377139+0j), (-0.6282154709492067+5.5979541871616215e-18j)]","[(-0.5466009375733731+0j), (0.5466009294283847+0j), (-0.6343932841636454+1.2050421605639832e-17j)]","[-0.55308256-1.97553589e-18j  0.54153184+1.93427828e-18j
 -0.63312159+3.38024759e-18j]",0.031528703807517044
Case5,1.1044661672776617,2.110757564130642,1.6076118657041518,"[(-0.4743934582277178+5.551115123125783e-17j), (0.7495326575984442+0j), (0.4616834868003839-1.5335060547068279e-18j)]","[(-0.4870975317077348+0j), (0.748722676864037+0j), (0.44961132965460654-6.5371246863563526e-18j)]","[-0.46837383+4.24495484e-17j  0.75227213+1.98473713e-17j
  0.4633709 +1.06861117e-17j]",0.02558621136020156
Case6,1.5953400194010667,3.1906800388021335,2.3930100291016,"[(-0.6618056194757549+5.551115123125783e-17j), (-0.7494263695427474+0j), (-0.019324561166800536-1.7088581905914855e-17j)]","[(-0.6436376328662797+0j), (-0.7649368115477762+0j), (-0.024541228522912184-1.0365741270602994e-17j)]","[-0.66700866+3.12740234e-17j -0.74480239-2.75512452e-17j
 -0.01920533-1.76935760e-17j]",0.03889509597061552
Case7,1.0799224746714913,1.9634954084936207,1.5217089490331366,"[(-0.3081518569347506+0j), (0.8344448220415088+0j), (0.4568854036142756+3.9126171280387945e-18j)]","[(-0.29711033163652+5.551115123125783e-17j), (0.8303677301922552+0j), (0.4713967368259977+1.0404436083662961e-18j)]","[-0.33378247+5.85828202e-19j  0.82682516-1.45117718e-18j
  0.45271339+3.08232318e-18j]",0.029629954332283548
Case8,1.1290098598838318,3.5342917352885173,2.3316508050367553,"[(-0.3850798122688256+5.551115123125783e-17j), (-0.8220899875170455+0j), (0.41938239186597975-1.4716767407664242e-17j)]","[(-0.36633380283435907+5.551115123125783e-17j), (-0.82643583355439+0j), (0.4275550934302823-2.154097176410505e-18j)]","[-0.40490984+4.63467928e-17j -0.81449457-2.41847205e-17j
  0.41550765-2.24316229e-18j]",0.0312645481492872
Case9,2.061670178918302,6.283185307179586,4.172427743048944,"[(-0.7657130492216585+0j), (0.4444644468195945+0j), (-0.46490308857333+3.87540906190457e-18j)]","[(-0.7564491001991969-2.7755575615628914e-17j), (0.4533981421638452+0j), (-0.47139673682599786-2.5749363482374806e-17j)]","[-0.74754383-1.43635730e-18j  0.45899711+8.81933366e-19j
 -0.48010403+3.07963441e-18j]",0.02469129261938019
Case10,2.1353012567368124,1.227184630308513,1.6812429435226628,"[(0.21199090589658204+0j), (0.8216757405538474+0j), (-0.5290641106732087-5.626841268020221e-18j)]","[(0.1952102665607777+5.551115123125783e-17j), (0.8219917873947471+0j), (-0.5349976198870972+3.619761820758991e-18j)]","[ 0.20386345-6.09040996e-19j  0.82312836-2.45909176e-18j
 -0.52999943-4.05341825e-18j]",0.023030195390592506
Case11,2.2089323345553233,3.3379421944391554,2.77343727194782,"[(-0.13253733746436808+0j), (-0.778915919892167+1.3877787807814457e-17j), (-0.6129631668513168-1.0383518068210492e-18j)]","[(-0.13731787075217136+0j), (-0.7913824239893891+0j), (-0.5956993044924332+4.018842387890207e-18j)]","[-0.13867874-1.40840888e-18j -0.77825534+5.96212676e-18j
 -0.61244333-7.25739089e-18j]",0.03451090461706946
