Case,Theta,Phi,timeErr,init,trace,cost
Case1,2.748893571891069,2.356194490192345,"[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]","[(0.2705980500730986+0j), (0.2705980500730985+0j), (-0.9238795325112866+2.4769574132099213e-17j)]","[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]",0.25620681187780514
Case1,2.748893571891069,2.356194490192345,"[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]","[(0.2705980500730986+0j), (0.2705980500730985+0j), (-0.9238795325112866+2.4769574132099213e-17j)]","[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]",0.25940500226042573
Case1,2.748893571891069,2.356194490192345,"[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]","[(0.2705980500730986+0j), (0.2705980500730985+0j), (-0.9238795325112866+2.4769574132099213e-17j)]","[(0.05343184343821932-2.8650543339519175e-22j), (0.21215466572854808-1.1375887586893893e-21j), (-0.9757300426605112-2.6351154307502255e-22j)]",0.2584554374033836
Case2,1.1780972450961724,3.9269908169872414,"[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]","[(-0.6532814824381881+0j), (0.6532814824381881+0j), (0.3826834323650899+4.425025353800616e-18j)]","[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]",0.5149270472945322
Case2,1.1780972450961724,3.9269908169872414,"[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]","[(-0.6532814824381881+0j), (0.6532814824381881+0j), (0.3826834323650899+4.425025353800616e-18j)]","[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]",0.5446813396705215
Case2,1.1780972450961724,3.9269908169872414,"[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]","[(-0.6532814824381881+0j), (0.6532814824381881+0j), (0.3826834323650899+4.425025353800616e-18j)]","[(-1.0536278291605148-6.99632609489374e-19j), (0.014135603212680335-1.8928292162651773e-19j), (0.1586971739468592-4.061136862816737e-18j)]",0.6250640663742276
Case3,1.1780972450961724,0.7853981633974483,"[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]","[(0.6532814824381882+0j), (-0.6532814824381881+0j), (0.3826834323650898-4.7936184864646536e-18j)]","[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]",0.38915398489497177
Case3,1.1780972450961724,0.7853981633974483,"[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]","[(0.6532814824381882+0j), (-0.6532814824381881+0j), (0.3826834323650898-4.7936184864646536e-18j)]","[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]",0.4352786397567101
Case3,1.1780972450961724,0.7853981633974483,"[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]","[(0.6532814824381882+0j), (-0.6532814824381881+0j), (0.3826834323650898-4.7936184864646536e-18j)]","[(0.7158558070685546+4.28351838866669e-19j), (-0.6309767557559584-3.7756214441703365e-19j), (0.13896569217656798-4.2227812744758154e-18j)]",0.4137364784280052
Case4,1.1780972450961724,2.356194490192345,"[(0.6123851139755319-1.0578678836991668e-18j), (0.6378587627824038-1.1018724722145207e-18j), (0.4235558296002713+3.346785658691909e-18j)]","[(0.6532814824381883+0j), (0.6532814824381881+0j), (0.3826834323650899-1.8030931225090705e-17j)]","[(0.6123851139755319-1.0578678836991668e-18j), (0.6378587627824038-1.1018724722145207e-18j), (0.4235558296002713+3.346785658691909e-18j)]",0.47201677773249356
