Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9547278682680489-1.0357549038216178e-19j),(0.04969812799979632-5.39159707152189e-21j),(-0.2932998357068471-3.3806483109614697e-19j),0.04097363986362834
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9603765288658228-9.145210351303132e-20j),(0.046561548141749516-4.4338354722340234e-21j),(-0.274788909962314-3.2037282721922633e-19j),0.02219988151494006
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9603075493072809-9.160150698781241e-20j),(0.04660123956597074-4.4451840192470145e-21j),(-0.27502315396046023-3.206012603084036e-19j),0.022463413647406998
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9548089439297184-1.0340307060529276e-19j),(0.04965463679978456-5.377454775147379e-21j),(-0.2930431668476459-3.378246054069087e-19j),0.04126789318448724
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9564623216130601-9.987683484905454e-20j),(0.048758437887039804-5.091511017526383e-21j),(-0.2877541347563412-3.328420755444228e-19j),0.036882423816439705
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9575541179291331-9.753776903324496e-20j),(0.048156628717118344-4.905299910764568e-21j),(-0.284202481248073-3.294619902217622e-19j),0.03284078316201994
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9496487416166995-1.1428516218810445e-19j),(0.052343740832674235-6.2992900937353115e-21j),(-0.3089132569856164-3.5239824256088445e-19j),0.022926704766387605
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9610389459715822-9.00156564930776e-20j),(0.04617850446600877-4.3253069116506036e-21j),(-0.27252832889648854-3.1816247577886593e-19j),0.01965992701909594
Case1,1.8407769454627694,4.663301595172349,3.25203927776814,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9619623476097491-1.3877787807814457e-17j),(0.05909946515220027+0j),(-0.26671275747489814-1.489231143693162e-17j),(0.9576991868322938-9.722634154896876e-20j),(0.048076046205160254-4.88071635951534e-21j),(-0.28372691328466304-3.29007328577548e-19j),0.03230072880740737
Case1,1.88986433067511,0.44178646691106466,1.165825406243668,(0.9559834478148467+0j),(0.04901985292916299+0j),(-0.28929690894104176-3.648358881440488e-19j),(0.9488847654036764-3.469446951953614e-18j),(0.03494950250193318+0j),(-0.3136817403988915+1.6583174342893902e-17j),(0.9520589575488545-1.0922558925864142e-19j),(0.05110714345376345-5.863300602133962e-21j),(-0.3016153199673139-3.457677720200986e-19j),0.03139826033793428
