Case,Theta,Phi,timeErr,init,trace,noise,cost
Case1,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[(0.6297265807224282-1.3046278626173914e-18j), (0.7977500613311238-1.6527283257177096e-18j), (0.16016921003776458+1.260284859154731e-17j)]",0.0820368846815479
Case1,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[(0.605803912691836-1.2483973643666703e-18j), (0.7956277438490612-1.6395727357136196e-18j), (0.15974309924062582+1.2571078777862649e-17j)]",0.08921737477109473
Case1,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[(0.5864814260427959-1.2739889465847422e-18j), (0.8168743002676997-1.7744617017321456e-18j), (0.1640089016799485+1.2888486822440854e-17j)]",0.12552061539945067
Case1,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[(0.5837815474452154-1.1415239850772183e-18j), (0.7750270722848399-1.5154846808177765e-18j), (0.15560697509519728+1.2261974510289591e-17j)]",0.09477519259892259
Case1,1.3744467859455345,1.1780972450961724,1.2762720229714342,"[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]","[(0.6222035894456553+0j), (0.7581572788917782+0j), (0.1950903220161283+1.5763210411721283e-17j)]","[(0.5937044839007197-1.2056532112116307e-18j), (0.7898153561047012-1.6039013451532679e-18j), (0.15857611023169496+1.2483998997604805e-17j)]",0.09667140482678185
Case2,1.9634954084936207,4.71238898038469,3.337942201889736,"[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]","[(0.9061274450099955-1.3877787807814457e-17j), (0.18023996225291322+0j), (-0.3826834323650897-2.3197013685253087e-17j)]","[(0.9565851883553338-5.888010757097055e-18j), (0.3339988984319861-2.0558431499522553e-18j), (-0.2640330741981585-2.1687193068439907e-17j)]",0.3228670430996256
Case2,1.9634954084936207,4.71238898038469,3.337942201889736,"[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]","[(0.9061274450099955-1.3877787807814457e-17j), (0.18023996225291322+0j), (-0.3826834323650897-2.3197013685253087e-17j)]","[(0.9082050280548204-4.951351352244028e-18j), (0.3143348147508903-1.7136902593543578e-18j), (-0.2484882071642128-2.0585162762674862e-17j)]",0.27036766615196217
Case2,1.9634954084936207,4.71238898038469,3.337942201889736,"[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]","[(0.9061274450099955-1.3877787807814457e-17j), (0.18023996225291322+0j), (-0.3826834323650897-2.3197013685253087e-17j)]","[(0.9257491075562323-5.433081605384644e-18j), (0.32613621464188863-1.914044155330706e-18j), (-0.25781745916980475-2.1250490291312985e-17j)]",0.2903838935387804
Case2,1.9634954084936207,4.71238898038469,3.337942201889736,"[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]","[(0.9061274450099955-1.3877787807814457e-17j), (0.18023996225291322+0j), (-0.3826834323650897-2.3197013685253087e-17j)]","[(0.9527092705525908-6.807272118941932e-18j), (0.3598561451126768-2.571234246555202e-18j), (-0.28447376536047725-2.3084543965192524e-17j)]",0.32440768081525456
Case2,1.9634954084936207,4.71238898038469,3.337942201889736,"[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]","[(0.9061274450099955-1.3877787807814457e-17j), (0.18023996225291322+0j), (-0.3826834323650897-2.3197013685253087e-17j)]","[(0.9398351419220655-7.566108207343699e-18j), (0.381973291604076-3.0750619206270767e-18j), (-0.30195782955359407-2.4229985317937853e-17j)]",0.3161666344830117
