Case,Theta,Phi,timeErr,init,trace,arr,cost
Case1,1.3744467859455345,1.1780972450961724,ct1,"[(0.9021899268076321-1.0408340855860843e-17j), (-0.058486075056502065+0j), (0.4273554901850738+1.756241669275507e-17j)]","[(0.9061274463528878-2.7755575615628914e-17j), (-0.3753302775178653+0j), (0.19509032201612825+3.448306467886418e-17j)]",[0.78019209 0.0040412  0.2157667 ],0.35044101242256254
Case2,1.3744467859455345,1.1780972450961724,ct1,"[(0.9021899268076321-1.0408340855860843e-17j), (-0.058486075056502065+0j), (0.4273554901850738+1.756241669275507e-17j)]","[(0.9061274463528878-2.7755575615628914e-17j), (-0.3753302775178653+0j), (0.19509032201612825+3.448306467886418e-17j)]",[0.78472867 0.0039578  0.21131353],0.34136784520160857
Case3,1.3744467859455345,1.1780972450961724,ct1,"[(0.9021899268076321-1.0408340855860843e-17j), (-0.058486075056502065+0j), (0.4273554901850738+1.756241669275507e-17j)]","[(0.9061274463528878-2.7755575615628914e-17j), (-0.3753302775178653+0j), (0.19509032201612825+3.448306467886418e-17j)]",[0.81385531 0.0034223  0.18272239],0.30785043920860755
Case4,1.3744467859455345,1.1780972450961724,ct1,"[(0.9021899268076321-1.0408340855860843e-17j), (-0.058486075056502065+0j), (0.4273554901850738+1.756241669275507e-17j)]","[(0.9061274463528878-2.7755575615628914e-17j), (-0.3753302775178653+0j), (0.19509032201612825+3.448306467886418e-17j)]",[0.80710594 0.00354639 0.18934768],0.3080986160816652
Case5,1.3744467859455345,1.1780972450961724,ct1,"[(0.9021899268076321-1.0408340855860843e-17j), (-0.058486075056502065+0j), (0.4273554901850738+1.756241669275507e-17j)]","[(0.9061274463528878-2.7755575615628914e-17j), (-0.3753302775178653+0j), (0.19509032201612825+3.448306467886418e-17j)]",[0.79567753 0.0037565  0.20056596],0.3194701255717841
