differential_evolution,time,matrix,degree
[0.         5.82331442],0.1749100685119629,"[[1.-1.05073189e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.20488922430835313-7.429796419356766e-18j)
[0.         5.95234485],0.26247382164001465,"[[1.-9.63721996e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.6023117393348251-6.814543585901774e-18j)
[1.52474232 1.74720297],0.27629995346069336,"[[ 5.23018864e-01-8.84456645e-18j -4.71454805e-18+4.99469851e-01j]
 [-4.71454805e-18-4.99469851e-01j  4.76981136e-01-1.27949709e-17j]]",(0.11949138892677809-0.5871107952367787j)
[3.14159265 1.19880751],0.26926541328430176,"[[ 3.74939946e-33-5.75088227e-50j -2.12857177e-34+6.12323400e-17j]
 [-2.12857177e-34-6.12323400e-17j  1.00000000e+00-9.48276110e-18j]]",(0.3040445497300615-6.705324678855185e-18j)
[4.91193839e-06 4.49939376e+00],0.23471355438232422,"[[1.00000000e+00-2.03818291e-17j 1.50054045e-22+2.45596920e-06j]
 [1.50054045e-22-2.45596920e-06j 6.03178469e-12-6.30098647e-29j]]",(0.3940812149398072-1.441212958809842e-17j)
[5.64373362e-06 1.11365384e+00],0.2427051067352295,"[[1.00000000e+00+1.41059762e-17j 9.07474440e-23+2.82186681e-06j]
 [9.07474440e-23-2.82186681e-06j 7.96293229e-12+7.75791013e-29j]]",(0.20626959684379728+9.974431459593442e-18j)
[3.14159265 1.29473514],0.20982980728149414,"[[ 3.74939946e-33+5.44985858e-50j -3.41869837e-34+6.12323400e-17j]
 [-3.41869837e-34-6.12323400e-17j  1.00000000e+00-1.07651000e-18j]]",(0.5563468613810273-7.612075220937647e-19j)
[3.14159265 2.67159798],0.18749165534973145,"[[3.74939946e-33+3.07238014e-50j 1.85245827e-33+6.12323400e-17j]
 [1.85245827e-33-6.12323400e-17j 1.00000000e+00+6.25736173e-18j]]",(0.5460792146213104+4.424622911787445e-18j)
[2.7355776  0.73795751],0.4607868194580078,"[[ 4.06490133e-02-5.83586444e-19j -2.49482581e-18+1.97475748e-01j]
 [-2.49482581e-18-1.97475748e-01j  9.59350987e-01+1.65217530e-17j]]",(0.13288311100556033-0.051364507907169926j)
[1.49914178 3.08339269],0.2888987064361572,"[[ 5.35796621e-01-7.06630919e-19j -2.31983237e-18+4.98716956e-01j]
 [-2.31983237e-18-4.98716956e-01j  4.64203379e-01-1.57238808e-21j]]",(0.029008924108471206-0.6786955779387114j)
[3.14159218 1.04568035],0.31040287017822266,"[[5.59332268e-14+1.09370206e-30j 6.67795541e-24+2.36502065e-07j]
 [6.67795541e-24-2.36502065e-07j 1.00000000e+00-1.91614627e-17j]]",(0.02230462505895101-1.3549200204730977e-17j)
[1.40354308e-06 1.34483244e+00],0.23989105224609375,"[[1.00000000e+00-1.04866850e-17j 2.14966599e-23+7.01771541e-07j]
 [2.14966599e-23-7.01771541e-07j 4.92483296e-13-5.06861564e-30j]]",(0.5965312083951448-7.41520605353561e-18j)
[0.7768553  2.20691467],0.3353457450866699,"[[ 8.56560812e-01-1.58482901e-17j -2.11599928e-18+3.50520167e-01j]
 [-2.11599928e-18-3.50520167e-01j  1.43439188e-01-2.54786586e-18j]]",(0.28506424160045213-0.5514788203478698j)
[0.         3.17190528],0.22999954223632812,"[[1.-7.63843073e-19j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.07103576924429739-5.401186168479001e-19j)
[1.68593307e-06 4.60363320e-01],0.3627495765686035,"[[1.00000000e+00-8.74387234e-19j 3.52473572e-23+8.42966537e-07j]
 [3.52473572e-23-8.42966537e-07j 7.10592583e-13+4.75948942e-30j]]",(0.045426296782779756-6.182851420773066e-19j)
[0.48117375 2.51331518],0.47571897506713867,"[[ 9.43226149e-01-5.96837029e-18j -1.17294527e-17+2.31409985e-01j]
 [-1.17294527e-17-2.31409985e-01j  5.67738514e-02+1.31549644e-18j]]",(0.13602362260734846-0.4185917712308452j)
[1.67512736 0.05202767],0.42661619186401367,"[[ 4.47929069e-01+2.19761154e-19j -1.64322708e-19+4.97281226e-01j]
 [-1.64322708e-19-4.97281226e-01j  5.52070931e-01+6.41057821e-19j]]",(0.025671982160695713-0.2839242681202527j)
[1.12322118 2.68224035],0.39555788040161133,"[[7.16390404e-01-1.33153674e-18j 9.67136948e-18+4.50749590e-01j]
 [9.67136948e-18-4.50749590e-01j 2.83609596e-01+1.30897135e-20j]]",(0.20003084199132265-0.7381858354153706j)
[3.14159076 4.51167195],0.2812232971191406,"[[ 8.91776135e-13+5.32325644e-30j -2.97052561e-23+9.44338994e-07j]
 [-2.97052561e-23-9.44338994e-07j  1.00000000e+00+2.54488213e-17j]]",(0.25824929857878054+1.7995034110386002e-17j)
[3.07017058 2.9949173 ],0.21822547912597656,"[[1.27473610e-03-3.27808295e-21j 1.60061393e-20+3.56806831e-02j]
 [1.60061393e-20-3.56806831e-02j 9.98725264e-01+6.38498273e-18j]]",(0.6999235872465909-0.0005460243003971502j)
