Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,direct,time,matrix,degree,Density Matrix
[0.         6.28318531],0.021099090576171875,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.7121199898865671+0.0007686511888736833j),[1.57571247 1.54804577],0.026491641998291016,"[[4.97541939e-01-3.54469080e-18j 1.29793558e-17+4.99993958e-01j]
 [1.29793558e-17-4.99993958e-01j 5.02458061e-01-3.08538377e-18j]]",(0.04812723925622755-0.4886205260285227j),[1.57571167 1.54804722],0.43088221549987793,"[[4.97542336e-01+1.35578460e-17j 2.16253740e-17+4.99993960e-01j]
 [2.16253740e-17-4.99993960e-01j 5.02457664e-01-1.95253011e-17j]]",(0.048127239256196525-0.4886205279809454j),[1.57570875 1.54805198],0.7083034515380859,"[[4.97543798e-01+1.08086338e-17j 8.26196924e-18+4.99993967e-01j]
 [8.26196924e-18-4.99993967e-01j 5.02456202e-01+2.92781363e-18j]]",(0.04812723925662458-0.48862053515895765j),"  (0, 0)	(0.497542333641177+0j)
  (0, 1)	(0.04812723925619651+0.011373431871568442j)
  (1, 0)	(0.04812723925619651-0.011373431871568442j)
  (1, 1)	(0.5024576663588229+0j)"
[0.         6.28318531],0.005983591079711914,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.8835491898678939+0j),[1.82298836 4.71237304],0.04449605941772461,"[[3.75236376e-01+5.85608552e-18j 5.51137808e-19+4.84183889e-01j]
 [5.51137808e-19-4.84183889e-01j 6.24763624e-01+1.25526277e-17j]]",(2.9647712483995544e-17+0.4841838888508497j),[3.14158529 2.86966442],0.2910284996032715,"[[ 1.35390413e-11+2.45540663e-29j -4.64670163e-24+3.67954363e-06j]
 [-4.64670163e-24-3.67954363e-06j  1.00000000e+00-8.79798027e-18j]]",(0.5306643724732976-6.221111508078126e-18j),[3.14156605 3.14159265],0.7044317722320557,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.5306643720883232+2.6961915807954838e-33j),"  (0, 0)	(0.3752363763325318+0j)
  (1, 1)	(0.6247636236674682+0j)"
[0.         6.28318531],0.007485151290893555,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.653416455400499+0j),[1.49480116 4.71239284],0.03111863136291504,"[[ 5.37961021e-01+1.58044986e-17j -1.05424431e-17+4.98556878e-01j]
 [-1.05424431e-17-4.98556878e-01j  4.62038979e-01+1.26735481e-17j]]",(3.0527804257339567e-17-0.49855687825410905j),[0.         4.81448204],0.2580687999725342,"[[1.-1.60058325e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.653416455400499-1.1317832674138202e-17j),[7.98047212e-05 3.14159265e+00],0.7175240516662598,"[[9.99999998e-01+2.69543420e-33j 6.54377709e-38+3.99023605e-05j]
 [6.54377709e-38-3.99023605e-05j 1.59219838e-09+1.14646145e-42j]]",(0.6534164519304263+1.9059598047827037e-33j),"  (0, 0)	(0.5379647934474299+0j)
  (1, 1)	(0.4620352065525701+0j)"
[0.         6.28318531],0.013534069061279297,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(1.1534942426011117-0.035854866657712654j),[2.41703918 2.71515806],0.13886642456054688,"[[1.25602273e-01+2.79458128e-19j 3.10435124e-18+3.31400576e-01j]
 [3.10435124e-18-3.31400576e-01j 8.74397727e-01-1.27850686e-19j]]",(0.1375326413034664-0.6310178982428293j),[2.4170146 2.7150639],0.3838038444519043,"[[ 1.25610420e-01-7.44254103e-19j -4.36954852e-18+3.31409780e-01j]
 [-4.36954852e-18-3.31409780e-01j  8.74389580e-01+1.05636125e-17j]]",(0.13753242827420922-0.6310280486456302j),[2.41704756 2.71515169],0.5797293186187744,"[[1.25599495e-01-4.77736641e-19j 1.19071932e-17+3.31397438e-01j]
 [1.19071932e-17-3.31397438e-01j 8.74400505e-01+4.56104008e-19j]]",(0.13753271394712546-0.6310144373870538j),"  (0, 0)	(0.1628897443013619+0j)
  (0, 1)	(0.13707633377689074-0.30171789045816j)
  (1, 0)	(0.13707633377689074+0.30171789045816j)
  (1, 1)	(0.8371102556986381+0j)"
[0.24585305 4.99084752],0.03175044059753418,"[[9.84965030e-01-1.49129118e-17j 1.14523761e-17+1.21691905e-01j]
 [1.14523761e-17-1.21691905e-01j 1.50349700e-02-2.01411935e-19j]]",(0.668848946792762+0.015435684364976403j),[1.54024386 4.77938699],0.027978897094726562,"[[ 5.15273856e-01-8.70918407e-18j -1.16686407e-17+4.99766655e-01j]
 [-1.16686407e-17-4.99766655e-01j  4.84726144e-01-2.31844979e-18j]]",(0.11700056043837893+0.46631485065872735j),[1.54024199 4.77937391],0.3129868507385254,"[[ 5.15274793e-01-2.42773967e-17j -2.92080239e-17+4.99766626e-01j]
 [-2.92080239e-17-4.99766626e-01j  4.84725207e-01+2.31420165e-18j]]",(0.1170005604379344+0.46631482201237323j),[1.54023999 4.77936288],0.703988790512085,"[[5.15275793e-01+1.38438309e-17j 8.97599633e-18+4.99766596e-01j]
 [8.97599633e-18-4.99766596e-01j 4.84724207e-01-5.21947187e-18j]]",(0.11700056043844077+0.4663147914491008j),"  (0, 0)	(0.5152747929472774+0j)
  (0, 1)	(-0.11700056043793444+0.033451804216249714j)
  (1, 0)	(-0.11700056043793444-0.033451804216249714j)
  (1, 1)	(0.4847252070527225+0j)"
[0.         6.28318531],0.007629871368408203,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.061853099016834855+0j),[1.44430176e-09 4.71239284e+00],0.06901240348815918,"[[1.00000000e+00-1.39653755e-17j 3.35194240e-28+7.22150881e-10j]
 [3.35194240e-28-7.22150881e-10j 5.21501895e-19+1.78355542e-35j]]",(0.06185309901683485-9.875011710158634e-18j),[3.61276015e-07 6.23688736e+00],0.30190348625183105,"[[1.00000000e+00+7.78204194e-19j 2.90477103e-25+1.80638008e-07j]
 [2.90477103e-25-1.80638008e-07j 3.26300898e-14+4.14496276e-32j]]",(0.06185309901652494+5.50273462893223e-19j),[2.95573041e-06 3.14159265e+00],0.729698896408081,"[[ 1.00000000e+00+1.63147708e-33j -9.53850329e-40+1.47786521e-06j]
 [-9.53850329e-40-1.47786521e-06j  2.18408557e-12-9.96685852e-45j]]",(0.061853098996090705+1.153628506753722e-33j),"  (0, 0)	(0.9562632542477931+0j)
  (1, 1)	(0.043736745752206936+0j)"
[0.78353584 5.58173941],0.05106973648071289,"[[ 8.54211209e-01-2.00316258e-17j -2.44929193e-17+3.52894346e-01j]
 [-2.44929193e-17-3.52894346e-01j  1.45788791e-01-2.73872360e-18j]]",(0.8596993260834483+0.022068783528964263j),[2.05945793 5.74118888],0.037461280822753906,"[[2.65277724e-01-4.20202974e-18j 3.17549927e-18+4.41480977e-01j]
 [3.17549927e-18-4.41480977e-01j 7.34722276e-01-1.78374733e-18j]]",(0.2277255682619833+0.17189971038496296j),[2.05945098 5.74122074],0.4888746738433838,"[[ 2.65280790e-01+2.55324489e-18j -8.85460537e-18+4.41482607e-01j]
 [-8.85460537e-18-4.41482607e-01j  7.34719210e-01-8.40450485e-18j]]",(0.2277255682353864+0.17190134033929835j),[2.05945541 5.74121667],0.8366100788116455,"[[2.65278833e-01-8.71228303e-19j 1.33654011e-17+4.41481567e-01j]
 [1.33654011e-17-4.41481567e-01j 7.34721167e-01+1.35618944e-17j]]",(0.2277255682462896+0.17190030012707297j),"  (0, 0)	(0.26528080771535895+0j)
  (0, 1)	(-0.22772556823538548+0.2695812667879637j)
  (1, 0)	(-0.22772556823538548-0.2695812667879637j)
  (1, 1)	(0.734719192284641+0j)"
[0.         6.28318531],0.008659124374389648,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.0038099024524280516+0j),[1.44430177e-09 4.71239283e+00],0.07536649703979492,"[[ 1.00000000e+00-2.18063289e-17j -3.80289341e-27+7.22150887e-10j]
 [-3.80289341e-27-7.22150887e-10j  5.21501903e-19-1.81842790e-35j]]",(0.0038099024524279844-1.5419403063707864e-17j),[1.51422498e-06 1.91902302e+00],0.43207287788391113,"[[1.00000000e+00-2.24205092e-17j 7.90535197e-24+7.57112492e-07j]
 [7.90535197e-24-7.57112492e-07j 5.73219325e-13-2.02178701e-29j]]",(0.0038099023763898446-1.585369438293205e-17j),[9.85243471e-07 3.14159265e+00],0.16037416458129883,"[[ 1.00000000e+00+2.16502499e-33j -1.42292169e-39+4.92621736e-07j]
 [-1.42292169e-39-4.92621736e-07j  2.42676174e-13+9.84540599e-46j]]",(0.003809902420236759+1.530903866504307e-33j),"  (0, 0)	(0.9973059921402289+0j)
  (1, 1)	(0.002694007859771125+0j)"
[0.24062332 6.28318531],0.01825571060180664,"[[9.85594811e-01+9.05010346e-33j 1.47798024e-33+1.19154017e-01j]
 [1.47798024e-33-1.19154017e-01j 1.44051892e-02+3.65057097e-35j]]",(0.6568922713401841+1.1910313790280081e-06j),[1.51580856 1.32979174],0.029958724975585938,"[[5.27480030e-01-2.17807890e-17j 5.45121761e-18+4.99244277e-01j]
 [5.45121761e-18-4.99244277e-01j 4.72519970e-01+2.59644574e-18j]]",(0.10849626008287692-0.38008304871839416j),[1.51598067 1.32913383],0.31329870223999023,"[[ 5.27394103e-01-1.06804149e-17j -1.24734298e-17+4.99248999e-01j]
 [-1.24734298e-17-4.99248999e-01j  4.72605897e-01-7.14323678e-18j]]",(0.10849626535912467-0.38008775252339044j),[1.51580201 0.21907283],0.681175708770752,"[[ 5.27483302e-01+2.36179067e-18j -8.17844808e-18+4.99244097e-01j]
 [-8.17844808e-18-4.99244097e-01j  4.72516698e-01+3.37654278e-18j]]",(0.1084962600846394-0.38008286859939766j),"  (0, 0)	(0.5274812780224161+0j)
  (0, 1)	(0.10849626008179504+0.11916122812051291j)
  (1, 0)	(0.10849626008179504-0.11916122812051291j)
  (1, 1)	(0.4725187219775839+0j)"
[0.2252931  6.28318531],0.016543865203857422,"[[ 9.87364337e-01+7.90349828e-33j -7.14144797e-34+1.11696031e-01j]
 [-7.14144797e-34-1.11696031e-01j  1.26356633e-02-7.05851044e-35j]]",(0.15895932466574672+1.7834915917691439e-06j),[0.39098829 0.94446372],0.1714470386505127,"[[9.62266436e-01+5.88804904e-18j 1.39717864e-18+1.90551154e-01j]
 [1.39717864e-18-1.90551154e-01j 3.77335644e-02-1.30725289e-19j]]",(0.15439572324889922-0.07884584826250852j),[0.39100701 0.94450717],0.46050143241882324,"[[ 9.62262869e-01-2.12690762e-17j -6.95585294e-18+1.90559806e-01j]
 [-6.95585294e-18-1.90559806e-01j  3.77371306e-02+5.27305805e-19j]]",(0.15439566095784177-0.07885453057603005j),[0.39099092 0.94446424],0.15094494819641113,"[[ 9.62265936e-01+2.82373635e-18j -2.13258423e-18+1.90552368e-01j]
 [-2.13258423e-18-1.90552368e-01j  3.77340644e-02-4.21559701e-19j]]",(0.154395714505809-0.07884706578691424j),"  (0, 0)	(0.9605825784944613+0j)
  (0, 1)	(0.1543811573668558+0.11169786712072143j)
  (1, 0)	(0.1543811573668558-0.11169786712072143j)
  (1, 1)	(0.03941742150553886+0j)"
