Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix
[3.14159265 6.16125615],0.02227306365966797,[0.55215838 1.65950419],0.10551190376281738,[5.7302734  4.80088002],0.013490676879882812,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.91766147+0.j         0.26122678-0.02323429j]
 [0.26122678+0.02323429j 0.08233853+0.j        ]]"
[3.14159265 6.28318531],0.004712581634521484,[3.14159265 4.71235829],0.03823518753051758,[3.14147676 6.59777207],0.009665489196777344,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.09615814 0.        ]
 [0.         0.90384186]]"
[3.14159265 5.93370976],0.021113157272338867,[1.84248428 3.11726692],0.025287389755249023,[3.86600114 6.24786175],0.010167837142944336,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.36583169+0.j         0.01171024-0.31309569j]
 [0.01171024+0.31309569j 0.63416831+0.j        ]]"
[3.14159265 5.93370976],0.018721580505371094,[1.43239992 2.76553252],0.03923845291137695,[4.85068703 5.10362638],0.028594970703125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.56896288+0.j         0.18187362-0.16239799j]
 [0.18187362+0.16239799j 0.43103712+0.j        ]]"
[1.1138233  3.42045092],0.032074928283691406,[1.11378094 3.42045326],0.05604052543640137,[5.32168953 6.58908517],0.014148235321044922,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.72062643+0.j         -0.123499  -0.32866759j]
 [-0.123499  +0.32866759j  0.27937357+0.j        ]]"
[3.14159265 5.88119905],0.021543264389038086,[1.76656624 1.57079242],0.028514862060546875,[3.14171434 6.9359794 ],0.009516716003417969,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.40274264 0.        ]
 [0.         0.59725736]]"
[3.14159265 5.93370976],0.01992034912109375,[1.561953   1.57079246],0.024840354919433594,[3.14171309 6.92077481],0.010567665100097656,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.50442682 0.        ]
 [0.         0.49557318]]"
[3.14159265 5.88119905],0.02403569221496582,[1.60203407 1.57079242],0.040107011795043945,[3.14171434 6.9359794 ],0.008491992950439453,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.48437804 0.        ]
 [0.         0.51562196]]"
[1.32966476 4.28618975],0.03473615646362305,[1.3296804  3.62331172],0.029504060745239258,[4.95357166 6.90032396],0.010550975799560547,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.61938927+0.j         -0.2249487 -0.20069817j]
 [-0.2249487 +0.20069817j  0.38061073+0.j        ]]"
[2.94618976 6.28318531],0.01347494125366211,[0.75692206 1.28411456],0.11944723129272461,[5.40302613 4.45782075],0.023330211639404297,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.80964411+0.j         0.32933087+0.09708935j]
 [0.32933087-0.09708935j 0.19035589+0.j        ]]"
