0,1,0,1,0,1,0,1
Nelder-Mead,,Powell,,COBYLA,,Density Matrix,
,Time,,Time,,Time,,2023-01-11 17:44:16.394397
[3.14159265 5.554043  ],0.01995253562927246,[1.1944478  1.57080471],0.03689432144165039,[3.14169382 6.49294651],0.010971784591674805,[0.6837635+0.j 0.       +0.j],
[1.31065377 6.28318531],0.01795220375061035,[1.31066629 0.32747218],0.05086350440979004,[1.31056414 6.71846515],0.011948347091674805,[0.       +0.j 0.3162365+0.j],
[2.23415759 4.8780729 ],0.027925729751586914,[2.23386703 4.87802695],0.0249330997467041,[2.26314389 4.88207121],0.009973526000976562,[0.62860536+0.j         0.15541072+0.26715949j],
[1.81796025 3.52407366],0.04484367370605469,[1.81795586 3.52407484],0.029956340789794922,[4.46512618 7.30627825],0.01292872428894043,[0.15541072-0.26715949j 0.37139464+0.j        ],
[3.14159265 6.23691867],0.019948244094848633,[3.14159265 4.71239286],0.0718085765838623,[3.14172201 6.42429804],0.009970903396606445,[ 0.19223647+0.j         -0.33779543+0.06496921j],
[3.14159265 5.554043  ],0.017952680587768555,[2.43333146 2.62366245],0.15255475044250488,[3.91133364 5.80214533],0.008975744247436523,[-0.33779543-0.06496921j  0.80776353+0.j        ],
[3.14159265 5.554043  ],0.018949270248413086,[1.40905426e-14 4.71239283e+00],0.0758371353149414,[3.14169382 6.49294651],0.009975910186767578,[ 0.37767941+0.j         -0.18094468-0.24424365j],
[3.14159265 5.68950746],0.022943496704101562,[5.65969827e-14 4.71239285e+00],0.07678794860839844,[3.14169382 6.49294651],0.009973287582397461,[-0.18094468+0.24424365j  0.62232059+0.j        ],
[1.43924756 3.48247566],0.03690075874328613,[1.43921315 3.48248543],0.024936676025390625,[1.43909077 3.48284696],0.013959646224975586,[0.0209378+0.j 0.       +0.j],
[3.14159265 6.256536  ],0.021938085556030273,[3.14159265 4.71239283],0.07476449012756348,[3.14168492 6.42527268],0.009973526000976562,[0.       +0.j 0.9790622+0.j],
,,,,,,[0.15200503+0.j         0.16103482-0.28259823j],
,,,,,,[0.16103482+0.28259823j 0.84799497+0.j        ],
,,,,,,[0.99561678+0.j 0.        +0.j],
,,,,,,[0.        +0.j 0.00438322+0.j],
,,,,,,[0.69445538+0.j 0.        +0.j],
,,,,,,[0.        +0.j 0.30554462+0.j],
,,,,,,[ 0.56559572+0.j         -0.16571265-0.17184132j],
,,,,,,[-0.16571265+0.17184132j  0.43440428+0.j        ],
,,,,,,[0.00347879+0.j 0.        +0.j],
,,,,,,[0.        +0.j 0.99652121+0.j],
