Nelder-Mead,fun,time
[2.93079492 0.        ],1.0589218652587047,0.0875697135925293
[3.14159265 0.        ],9.298978311933832e-06,0.012352466583251953
[3.14159265 0.        ],1.2267529696586847,0.018492698669433594
[0.         0.45748898],0.10138095694437155,0.07634925842285156
[1.32635662 0.        ],0.970280473754956,0.16936039924621582
[1.47810303e+00 2.19889753e-17],0.9957314174371841,0.09811615943908691
[3.14159265 0.        ],0.6855159922005601,0.010003089904785156
[1.8602042 0.       ],0.9584212726859667,0.04124307632446289
[0.         0.45748898],0.027262995003631163,0.06191849708557129
[0.73110241 1.40434819],0.07972342313363998,0.04845857620239258
