Nelder-Mead,time,matrix,degree
[0.73590159 4.37781392],0.039156198501586914,"[[8.70612929e-01-1.08204279e-17j 4.97752884e-17+3.35627855e-01j]
 [4.97752884e-17-3.35627855e-01j 1.29387071e-01+5.63935678e-19j]]",(0.3635961456745355+0.3886578600724989j)
[0.90007483 6.15621674],0.03989982604980469,"[[ 8.10775674e-01-1.80537462e-18j -1.63249986e-18+3.91686712e-01j]
 [-1.63249986e-18-3.91686712e-01j  1.89224326e-01-4.47171244e-19j]]",(0.050422907974151346+0.052463565924133725j)
[0.3223496  6.28318531],0.044989585876464844,"[[ 9.74246846e-01+5.71440179e-34j -2.27621808e-34+1.58398008e-01j]
 [-2.27621808e-34-1.58398008e-01j  2.57531538e-02+8.98341078e-35j]]",(0.4132543370763459-1.77992608572556e-05j)
[0.         4.86414404],0.03349757194519043,"[[1.-2.76947349e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.3828307428581293-1.958313483692591e-18j)
[0.         4.48746642],0.038924217224121094,"[[1.+7.16040434e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(1.047831328283551-0.008415565984143853j)
[0.         5.34837651],0.03507208824157715,"[[1.-1.75625718e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.7642104115430738+0.018888701502677643j)
[1.84374339 3.19545128],0.048470497131347656,"[[3.65214717e-01-6.32440522e-19j 5.05919534e-19+4.81490319e-01j]
 [5.05919534e-19-4.81490319e-01j 6.34785283e-01-9.92490906e-20j]]",(0.02592110931445353+0.7941989764659927j)
[0.         5.42444235],0.04326272010803223,"[[1.-4.7208066e-18j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.6313361803027717+0.03733844138251777j)
[0.         4.86414404],0.08237147331237793,"[[1.-2.76947349e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.7588759811935418-1.958313483692591e-18j)
[0.27412589 5.4562114 ],0.04439663887023926,"[[9.81331096e-01+9.71517521e-18j 7.27198087e-18+1.35352785e-01j]
 [7.27198087e-18-1.35352785e-01j 1.86689044e-02+2.84584058e-20j]]",(0.6599027451714985+0.006597808921355157j)
