dual_annealing,time,matrix,degree
[1.0243303  0.05875781],2.034315824508667,"[[7.59835587e-01+8.29947486e-19j 2.02852985e-18+4.27183178e-01j]
 [2.02852985e-18-4.27183178e-01j 2.40164413e-01+3.82374070e-19j]]",(0.025085910679163374-0.07479529571021133j)
[1.36624969 2.8737508 ],1.9511449337005615,"[[6.01561635e-01+1.91052223e-18j 1.14086277e-17+4.89576587e-01j]
 [1.14086277e-17-4.89576587e-01j 3.98438365e-01-9.87452785e-19j]]",(0.1295668597461535-0.7428442962291492j)
[3.14159265 6.14429247],1.6252379417419434,"[[ 3.74939946e-33+3.05433961e-51j -1.18903260e-34+6.12323400e-17j]
 [-1.18903260e-34-6.12323400e-17j  1.00000000e+00-5.49184738e-18j]]",(0.41276552833234054-3.883322523550468e-18j)
[1.9543915  2.11918304],1.8582563400268555,"[[ 3.12871614e-01-4.03279835e-18j -9.94358729e-18+4.63662557e-01j]
 [-9.94358729e-18-4.63662557e-01j  6.87128386e-01-3.92278135e-18j]]",(0.24221776943953627-0.7053749331759903j)
[3.14159265 1.56892555],1.6458871364593506,"[[ 3.74939946e-33+1.54345132e-49j -3.58744917e-33+6.12323400e-17j]
 [-3.58744917e-33-6.12323400e-17j  1.00000000e+00-5.50265095e-18j]]",(0.000689618192743763-3.89096180328761e-18j)
[3.14159265 2.83293642],1.703608751296997,"[[ 3.74939946e-33-2.29198982e-50j -1.83282963e-35+6.12323400e-17j]
 [-1.83282963e-35-6.12323400e-17j  1.00000000e+00+3.99208393e-18j]]",(0.25427710215312516+2.8228296152117886e-18j)
[3.14159265 0.        ],1.657942771911621,"[[3.74939946e-33+0.000000e+00j 0.00000000e+00+6.123234e-17j]
 [0.00000000e+00-6.123234e-17j 1.00000000e+00+0.000000e+00j]]",(0.2942981192868465+0j)
[1.88956904 2.79814826],1.9182548522949219,"[[3.43299332e-01-1.99824921e-18j 5.38197867e-18+4.74810384e-01j]
 [5.38197867e-18-4.74810384e-01j 6.56700668e-01+5.22099777e-18j]]",(0.1598839999305044-0.7612149497067389j)
[0.         6.02740377],1.8083875179290771,"[[1.-3.6707764e-18j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.05706798035580785-2.5956308874661698e-18j)
[1.58720245 4.65800017],1.943554162979126,"[[ 4.91797304e-01+1.27955039e-17j -3.16965261e-17+4.99932711e-01j]
 [-3.16965261e-17-4.99932711e-01j  5.08202696e-01+1.38201116e-17j]]",(0.08561262572350307+0.5271100507686807j)
