direct,time,matrix,degree
[2.66015737e-05 3.14159265e+00],1.807312250137329,"[[ 1.00000000e+00-3.81299070e-33j -4.41854985e-38+1.33007869e-05j]
 [-4.41854985e-38-1.33007869e-05j  1.76910931e-10-1.11260694e-43j]]",(0.4702214155905112-2.696191579795155e-33j)
[1.54506374 3.24331707],1.5100693702697754,"[[5.12864875e-01-7.82707825e-19j 4.96623588e-19+4.99834468e-01j]
 [4.96623588e-19-4.99834468e-01j 4.87135125e-01+4.92575093e-19j]]",(0.05075982659246317+0.5996329710464815j)
[2.15567035 0.33200537],1.451415777206421,"[[2.23952825e-01-3.07089347e-18j 1.22233237e-17+4.16890822e-01j]
 [1.22233237e-17-4.16890822e-01j 7.76047175e-01+3.48169292e-18j]]",(0.1358817362131825-0.09257733586550708j)
[9.85243471e-07 3.14159265e+00],0.30251336097717285,"[[ 1.00000000e+00+2.16502499e-33j -1.42292169e-39+4.92621736e-07j]
 [-1.42292169e-39-4.92621736e-07j  2.42676174e-13+9.84540599e-46j]]",(0.0026847997591928994+1.5309038794003242e-33j)
[1.51980998 1.43057943],1.5396511554718018,"[[ 5.25482131e-01+1.32835581e-17j -7.18060711e-18+4.99350239e-01j]
 [-7.18060711e-18-4.99350239e-01j  4.74517869e-01-1.21315283e-17j]]",(0.13897744937975096-0.4295714836134851j)
[2.02995722 5.00933052],1.5058491230010986,"[[2.78401965e-01+4.11381029e-18j 2.37528317e-17+4.48212350e-01j]
 [2.37528317e-17-4.48212350e-01j 7.21598035e-01-1.43101590e-18j]]",(0.3258652689034314+0.3170698441559376j)
[2.54149563 3.67239454],0.5539536476135254,"[[8.73595852e-02-1.42528208e-18j 3.85934253e-18+2.82361272e-01j]
 [3.85934253e-18-2.82361272e-01j 9.12640415e-01+8.36698840e-18j]]",(0.14300977824833683+0.5256067996796677j)
[1.53495514 6.13306376],1.412064790725708,"[[5.17916757e-01-1.33084090e-18j 4.30998826e-18+4.99678887e-01j]
 [4.30998826e-18-4.99678887e-01j 4.82083243e-01+1.02004562e-18j]]",(0.07473459884770497+0.39155265407137113j)
[1.57998274 4.62326484],1.7000346183776855,"[[ 4.95406860e-01+7.19818901e-18j -1.12434787e-17+4.99978903e-01j]
 [-1.12434787e-17-4.99978903e-01j  5.04593140e-01-2.48605794e-17j]]",(0.05066776632481936+0.5444812292774922j)
[7.98047212e-05 3.14159265e+00],1.0084075927734375,"[[9.99999998e-01+2.69543420e-33j 6.54377709e-38+3.99023605e-05j]
 [6.54377709e-38-3.99023605e-05j 1.59219838e-09+1.14646145e-42j]]",(0.6112203880481689+1.9059598055662026e-33j)
