Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[2.13477204 3.44875851],0.03448987007141113,[2.35656833 3.51148104],0.03310370445251465,[2.1346926  3.44886946],0.01252889633178711,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.23274625+0.j         -0.12776744-0.32875537j]
 [-0.12776744+0.32875537j  0.76725375+0.j        ]]",[2.35797281 3.51128815],0.17499383378888939
[3.14159265 3.66047615],0.03104710578918457,[2.42707797 6.08485731],0.07740521430969238,[3.79629299 2.92785682],0.1654951572418213,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.12231933+0.j         -0.06455297+0.29703233j]
 [-0.06455297-0.29703233j  0.87768067+0.j        ]]",[2.43047398 6.08464197],0.04843596615136181
[1.67789978 3.14157887],0.02762746810913086,[1.67788745 4.71239284],0.02950429916381836,[3.14149458 0.7953666 ],0.012523889541625977,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.44656017 0.        ]
 [0.         0.55343983]]",[1.67788087 1.56958088],0.9954800093253557
[0.         4.29599086],0.03349637985229492,[6.05847698e-14 4.71239285e+00],0.09531307220458984,[3.14149458 0.7953666 ],0.012530088424682617,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[9.99345033e-01 0.00000000e+00]
 [0.00000000e+00 6.54966807e-04]]",[2.74653378e-12 4.71360317e+00],0.0013099336171196847
[2.01672592 4.7473583 ],0.0365755558013916,[2.2802942  4.75396849],0.06465792655944824,[2.0167853  4.74745445],0.01262211799621582,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.28436192+0.j         -0.3498427 +0.01576712j]
 [-0.3498427 -0.01576712j  0.71563808+0.j        ]]",[2.2776997 4.7540467],0.27836992471505406
[0.74324567 5.50841952],0.04418540000915527,[0.74312943 5.5084789 ],0.12150335311889648,[0.74309155 5.5084517 ],0.020188570022583008,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.82264216+0.j         -0.23664142+0.24175829j]
 [-0.23664142-0.24175829j  0.17735784+0.j        ]]",[0.74299777 5.50833403],0.09130314219178648
[1.68460002 2.71724521],0.025577068328857422,[1.68455656 1.75722822],0.030556917190551758,[1.68466585 2.68818013],0.013474702835083008,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.44324307+0.j         0.20453566-0.09208362j]
 [0.20453566+0.09208362j 0.55675693+0.j        ]]",[1.68217824 1.7560832 ],0.5711640299326076
[1.12476835 2.83853965],0.0385127067565918,[1.12484557 0.30303098],0.052023887634277344,[1.11980942 0.30391019],0.015048503875732422,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.71565837+0.j         0.13461744+0.32329468j]
 [0.13461744-0.32329468j 0.28434163+0.j        ]]",[1.12591411 0.30451201],0.2169167534307458
[1.46170989 2.81301661],0.028571367263793945,[1.4617229  2.81303712],0.03453660011291504,[1.46169376 1.87944373],0.01301121711730957,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.55442824+0.j        0.16036959-0.1509469j]
 [0.16036959+0.1509469j 0.44557176+0.j       ]]",[1.46083988 2.81354872],0.6404350875473412
[1.00785429 3.09332466],0.03607916831970215,[1.00785552 3.09331821],0.029474258422851562,[0.87840852 3.08868269],0.012489557266235352,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.76683113+0.j       0.02039749-0.352161j]
 [0.02039749+0.352161j 0.23316887+0.j      ]]",[1.0078661  3.09383892],0.1408384235248236
