Powell,time,matrix,degree
[1.65011677 0.66465691],0.08657240867614746,"[[ 4.60381356e-01+1.29521199e-17j -2.45264558e-18+4.98427892e-01j]
 [-2.45264558e-18-4.98427892e-01j  5.39618644e-01-3.57439794e-18j]]",(0.6504287687905325+3.934078812475654e-28j)
[1.84514025 1.71814327],0.029754161834716797,"[[ 3.64542275e-01-3.23757334e-18j -6.53248467e-18+4.81301573e-01j]
 [-6.53248467e-18-4.81301573e-01j  6.35457725e-01+2.62875775e-17j]]",(1.4578456487452205+6.34492684307946e-17j)
[1.29254241 3.3182296 ],0.09330224990844727,"[[ 6.37338572e-01-9.48732016e-19j -6.21860782e-19+4.80768257e-01j]
 [-6.21860782e-19-4.80768257e-01j  3.62661428e-01+3.45593690e-18j]]",(1.9155770933117227-1.0058589551969837e-30j)
[0.43064218 2.69277733],0.04252457618713379,"[[9.54348928e-01+7.68935622e-18j 2.23379633e-18+2.08727218e-01j]
 [2.23379633e-18-2.08727218e-01j 4.56510719e-02+4.20379965e-19j]]",(0.8139666556392775+2.7059594628627965e-17j)
[2.72567004 5.96179337],0.08809685707092285,"[[4.26280287e-02-6.12044761e-20j 1.26116688e-18+2.02017029e-01j]
 [1.26116688e-18-2.02017029e-01j 9.57371971e-01-1.02829009e-17j]]",(0.12929032451719424-6.165552948173667e-28j)
[2.29782219 4.19158618],0.1966562271118164,"[[1.67674781e-01+2.40627897e-18j 1.12926798e-17+3.73577233e-01j]
 [1.12926798e-17-3.73577233e-01j 8.32325219e-01-2.49251405e-17j]]",(1.2930634778023167+1.3895049992604266e-23j)
[0.99076802 3.56554944],0.17399835586547852,"[[ 7.74023808e-01-1.14682752e-17j -4.13958452e-18+4.18223568e-01j]
 [-4.13958452e-18-4.18223568e-01j  2.25976192e-01+1.48815183e-19j]]",(1.6354492135911343-1.1679228316674423e-17j)
[1.27080915 0.79282965],0.049662113189697266,"[[6.47753980e-01-1.08800609e-17j 1.49330166e-19+4.77670139e-01j]
 [1.49330166e-19-4.77670139e-01j 3.52246020e-01+7.56131566e-18j]]",(0.7377549234164412-5.120630213230504e-17j)
[0.74568181 2.92085256],0.0667424201965332,"[[8.67312742e-01-1.35895400e-18j 2.76195566e-18+3.39236422e-01j]
 [2.76195566e-18-3.39236422e-01j 1.32687258e-01-6.34352112e-19j]]",(1.3486871185964984+6.114090956705905e-18j)
[1.7600542  2.12166224],0.08736324310302734,"[[ 4.05934965e-01-1.03745409e-17j -3.23712469e-18+4.91072061e-01j]
 [-3.23712469e-18-4.91072061e-01j  5.94065035e-01-8.70617134e-18j]]",(1.7143613961898154-2.709727922363404e-17j)
