Powell,time,matrix,degree
[3.14159265 2.68880957],0.04691338539123535,"[[ 7.49290370e-18+1.28895965e-35j -1.03939662e-26+2.73731688e-09j]
 [-1.03939662e-26-2.73731688e-09j  1.00000000e+00-8.37292708e-18j]]",(0.16904762862286912-5.920553518264393e-18j)
[0.246108   0.74971027],0.04285836219787598,"[[ 9.84933989e-01-1.84951264e-17j -4.63841115e-18+1.21815544e-01j]
 [-4.63841115e-18-1.21815544e-01j  1.50660115e-02+2.73675948e-19j]]",(0.08297009401813484-0.03270193485893037j)
[9.47884768e-10 3.60117980e+00],0.053880929946899414,"[[ 1.00000000e+00-8.54881217e-18j -3.23528277e-27+4.73942384e-10j]
 [-3.23528277e-27-4.73942384e-10j  2.24621384e-19+2.79110615e-36j]]",(0.2092208259674419-6.0449230599569e-18j)
[1.03889213 3.22251516],0.023935317993164062,"[[ 7.53587688e-01-1.54484846e-18j -3.44889917e-19+4.30921437e-01j]
 [-3.44889917e-19-4.30921437e-01j  2.46412312e-01-3.23436850e-19j]]",(0.028211543930426814+0.7743696827047434j)
[0.9714788  2.09844313],0.017991304397583008,"[[ 7.82039537e-01+2.42993190e-17j -2.05621766e-17+4.12860388e-01j]
 [-2.05621766e-17-4.12860388e-01j  2.17960463e-01+3.21943034e-18j]]",(0.30642948709056056-0.5885651162300763j)
[2.17500844 1.08344696],0.03890347480773926,"[[ 2.15943071e-01+1.64962187e-18j -1.72844130e-17+4.11474982e-01j]
 [-1.72844130e-17-4.11474982e-01j  7.84056929e-01+1.50579853e-17j]]",(0.3154808964448079-0.24348009091592285j)
[3.14159265 2.68880958],0.04388880729675293,"[[ 2.84783004e-18+2.88860482e-35j -1.23333293e-26+1.68755149e-09j]
 [-1.23333293e-26-1.68755149e-09j  1.00000000e+00-5.62834525e-18j]]",(0.06966434715750804-3.979841092687876e-18j)
[1.64052601e-08 4.50111887e+00],0.0518956184387207,"[[ 1.00000000e+00+2.20453251e-17j -3.60280905e-25+8.20263003e-09j]
 [-3.60280905e-25-8.20263003e-09j  6.72831394e-17-9.70321176e-34j]]",(0.558348071781505+1.558839888991346e-17j)
[3.14159265 2.68880958],0.04488205909729004,"[[ 2.84783004e-18+2.88860482e-35j -1.23333293e-26+1.68755149e-09j]
 [-1.23333293e-26-1.68755149e-09j  1.00000000e+00-5.62834525e-18j]]",(0.150873732178361-3.979841092687879e-18j)
[1.10896838 5.62411374],0.06586265563964844,"[[ 7.22792651e-01-1.17499785e-17j -4.97638439e-18+4.47619744e-01j]
 [-4.97638439e-18-4.47619744e-01j  2.77207349e-01-6.79608443e-18j]]",(0.2127622436046519+0.17674383839062927j)
[2.20251443 3.37877461],0.045772552490234375,"[[ 2.04733919e-01-1.12167745e-18j -6.04844418e-20+4.03507052e-01j]
 [-6.04844418e-20-4.03507052e-01j  7.95266081e-01+5.92351994e-18j]]",(0.08322213560871458+0.7451771965401578j)
[1.03000104 0.7008035 ],0.024933815002441406,"[[ 7.57408975e-01-1.26967593e-18j -9.73960091e-18+4.28649764e-01j]
 [-9.73960091e-18-4.28649764e-01j  2.42591025e-01-6.64563477e-19j]]",(0.2317198053382581-0.15726823236887133j)
[1.77635248 1.48590424],0.020978689193725586,"[[3.97944181e-01+4.85037480e-18j 6.30993074e-17+4.89473809e-01j]
 [6.30993074e-17-4.89473809e-01j 6.02055819e-01+2.34356837e-17j]]",(0.19402130715932092-0.466189424359423j)
[3.03846984e-09 3.60117979e+00],0.05388975143432617,"[[1.00000000e+00+9.04753382e-18j 1.40172906e-27+1.51923492e-09j]
 [1.40172906e-27-1.51923492e-09j 2.30807475e-18-3.76925709e-35j]]",(0.33192907250498727+6.3975725183390656e-18j)
[3.14159265 2.68880957],0.043917179107666016,"[[ 7.49290370e-18+1.28895965e-35j -1.03939662e-26+2.73731688e-09j]
 [-1.03939662e-26-2.73731688e-09j  1.00000000e+00-8.37292708e-18j]]",(0.27470530344938954-5.920553518264393e-18j)
[1.57018108e-09 4.20005109e+00],0.050870418548583984,"[[1.00000000e+00+2.02879500e-17j 1.05973841e-26+7.85090541e-10j]
 [1.05973841e-26-7.85090541e-10j 6.16367157e-19+1.90027109e-35j]]",(0.13009246286446852+1.434574704868693e-17j)
[1.62919222e-09 3.60117980e+00],0.05288553237915039,"[[1.00000000e+00+8.21925631e-18j 1.62118336e-26+8.14596110e-10j]
 [1.62118336e-26-8.14596110e-10j 6.63566822e-19+2.54893987e-37j]]",(0.03832320205108456+5.811891874542305e-18j)
[3.14159265 2.68880957],0.04391622543334961,"[[7.51593170e-18-8.05268966e-35j 6.00561944e-26+2.74151996e-09j]
 [6.00561944e-26-2.74151996e-09j 1.00000000e+00-1.20717796e-17j]]",(0.08648542052363158-8.536037239209332e-18j)
[1.40538106 6.07024236],0.07193779945373535,"[[ 5.82330970e-01-2.08592435e-18j -2.36607756e-18+4.93175031e-01j]
 [-2.36607756e-18-4.93175031e-01j  4.17669030e-01+1.23872731e-18j]]",(0.03435879713820708+0.32934799751565114j)
[1.87524537 0.40004009],0.04388618469238281,"[[3.50116199e-01+4.96604017e-18j 9.97876116e-18+4.77006128e-01j]
 [9.97876116e-18-4.77006128e-01j 6.49883801e-01+1.22575606e-17j]]",(0.10986894576937273-0.2188843961545537j)
