differential_evolution,fun,time
[1.57079633 1.57079633],4.440892098500626e-16,3.8306899070739746
[1.57079633 1.57079633],4.440892098500626e-16,6.750329494476318
[1.57079633 1.57079633],4.440892098500626e-16,5.669019937515259
[1.57079633 1.57079633],4.440892098500626e-16,6.458649158477783
[1.57079633 1.57079633],4.440892098500626e-16,4.4241650104522705
[1.57079633 1.57079633],4.440892098500626e-16,3.481934070587158
[1.57079633 1.57079633],4.440892098500626e-16,3.2298710346221924
[1.57079633 1.57079633],4.440892098500626e-16,3.602421760559082
[1.57079633 1.57079633],4.440892098500626e-16,3.239792585372925
[1.57079633 1.57079633],4.440892098500626e-16,4.193572759628296
