dual_annealing,fun,time,3
[1.50557228 4.87533847],0.6753770942240228,2.076388359069824,(0.9086959777898997-0.09757717364635543j)
[1.31532123 4.75205407],0.35341587606999453,2.061591863632202,(1.132268530867782-0.2311666343638502j)
[3.14159265 6.28318531],0.8683436517380284,1.9228267669677734,(1.6249070881994487+2.3602413644328727e-16j)
[0. 0.],0.13497789864287113,1.9355731010437012,(0.09544378744068469+0j)
[0.         5.43343639],0.48503350580906557,2.066460371017456,(0.10270865784830847-0.7116448692711406j)
[0.         3.54573824],0.6961568849792013,1.9125282764434814,(1.6073236818382215-0.3844348368358434j)
[0.         0.90693829],0.36947233644421507,1.8557536602020264,(0.20444198384867837+0.767055086265822j)
[0. 0.],0.8814167022133415,2.000086784362793,(0.6232557271861375+0j)
[3.14159265 3.01980004],0.7327727549597229,1.9829003810882568,(0.5057478949432161+0.08623458490369672j)
[0.         3.25318184],0.39326905712516,1.8528389930725098,(1.80783080444326-0.1106995732559207j)
