dual_annealing,time,matrix,degree
[0.99731009 2.15939729],2.093668222427368,"[[7.71281916e-01+1.93984729e-17j 1.43407893e-17+4.20007288e-01j]
 [1.43407893e-17-4.20007288e-01j 2.28718084e-01+4.74134562e-18j]]",(1.4814761345721499+1.5940676106707865e-26j)
[2.29267586 4.74132934],2.256410598754883,"[[ 1.69601725e-01+2.56509258e-18j -2.57525074e-17+3.75282533e-01j]
 [-2.57525074e-17-3.75282533e-01j  8.30398275e-01-2.39897117e-17j]]",(1.0459891989312475+3.732766031273839e-18j)
[2.70529026 5.99652666],2.2110824584960938,"[[ 4.68397849e-02+6.48095682e-20j -1.31578656e-18+2.11295574e-01j]
 [-1.31578656e-18-2.11295574e-01j  9.53160215e-01+1.06237896e-17j]]",(0.1207250677833881-2.9734363473840012e-18j)
[1.50861538 0.12029152],2.2145259380340576,"[[5.31070443e-01-3.16983035e-18j 3.58546696e-19+4.99033694e-01j]
 [3.58546696e-19-4.99033694e-01j 4.68929557e-01+1.54986677e-18j]]",(0.11998667668981429-5.541077643477673e-17j)
[2.11446385 4.91164124],2.1642236709594727,"[[ 2.41360903e-01-1.50199342e-18j -1.24016403e-17+4.27908656e-01j]
 [-1.24016403e-17-4.27908656e-01j  7.58639097e-01-2.38176270e-17j]]",(1.083928053768964+1.0740441493364121e-17j)
[1.48804506 2.78171932],2.1406378746032715,"[[ 5.41328428e-01-5.86810723e-18j -2.86232429e-18+4.98289034e-01j]
 [-2.86232429e-18-4.98289034e-01j  4.58671572e-01+2.03777652e-18j]]",(1.9609766871676144+9.934678845590813e-18j)
[2.54672013 0.03444207],2.3893954753875732,"[[ 8.58900275e-02-8.59465654e-20j -1.50202843e-18+2.80201589e-01j]
 [-1.50202843e-18-2.80201589e-01j  9.14109973e-01+4.77485748e-19j]]",(0.019300493987151442+5.526393917363537e-17j)
[1.37203615 1.08621772],2.1806116104125977,"[[5.98727036e-01-1.08950657e-17j 7.38138103e-18+4.90156069e-01j]
 [7.38138103e-18-4.90156069e-01j 4.01272964e-01+1.03435225e-18j]]",(1.0132506240937875+2.3761719125751602e-17j)
[2.76734857 2.76265678],2.11978816986084,"[[3.46078857e-02-3.82054439e-19j 3.90137003e-18+1.82784518e-01j]
 [3.90137003e-18-1.82784518e-01j 9.65392114e-01+3.86035726e-18j]]",(0.7180540428667718-7.450455438266984e-27j)
[1.5347404  5.77310243],2.2622077465057373,"[[5.18024058e-01-7.07372568e-18j 1.22900669e-18+4.99675028e-01j]
 [1.22900669e-18-4.99675028e-01j 4.81975942e-01+2.92177323e-18j]]",(0.5042430740388251+2.141729454865867e-26j)
