Nelder-Mead,time,matrix,degree
[0.36889835 0.        ],0.23729968070983887,"[[0.96636258+0.j         0.        +0.18029406j]
 [0.        -0.18029406j 0.03363742+0.j        ]]",(1.3894793418381857+1.6350918537872318e-17j)
[2.48199737 0.        ],0.1978440284729004,"[[0.10487985+0.j         0.        +0.30639854j]
 [0.        -0.30639854j 0.89512015+0.j        ]]",(0.18064792595423654+1.3319500685457462e-19j)
[1.86780674 3.067568  ],0.19532132148742676,"[[3.53668587e-01-4.81551262e-19j 1.39328450e-18+4.78107852e-01j]
 [1.39328450e-18-4.78107852e-01j 6.46331413e-01+1.19252316e-18j]]",(1.9111216239372526-4.108255573060283e-18j)
[0.07170181 0.        ],0.19441676139831543,"[[0.99871526+0.j         0.        +0.03582019j]
 [0.        -0.03582019j 0.00128474+0.j        ]]",(0.03457678176299694+6.937739040636876e-18j)
[0.44797904 0.        ],0.19400477409362793,"[[0.95066215+0.j         0.        +0.21657244j]
 [0.        -0.21657244j 0.04933785+0.j        ]]",(1.411312719947525-1.9103688858216435e-17j)
[0.         0.94414294],0.19199538230895996,"[[1.+2.76103077e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.27344726142696907+3.942083123811496e-18j)
[1.04906712 1.28290804],0.19484615325927734,"[[7.49190015e-01+1.37546589e-17j 2.30123687e-17+4.33479338e-01j]
 [2.30123687e-17-4.33479338e-01j 2.50809985e-01+2.57536365e-18j]]",(1.0375086497448562-1.1119252393288317e-17j)
[0.7529667  2.97504752],0.20054864883422852,"[[8.64831718e-01+9.78304419e-19j 1.72036932e-18+3.41903228e-01j]
 [1.72036932e-18-3.41903228e-01j 1.35168282e-01-8.11266747e-19j]]",(1.362873917828067-1.6127332978202177e-17j)
[1.63802434 4.50311356],0.19402527809143066,"[[ 4.66411310e-01-8.64499604e-18j -3.34519918e-18+4.98870524e-01j]
 [-3.34519918e-18-4.98870524e-01j  5.33588690e-01-4.56314712e-18j]]",(1.5506778171107243-1.4200102969522753e-33j)
[0.98207397 0.79237737],0.19958019256591797,"[[7.77649460e-01-2.40530703e-17j 2.20357856e-18+4.15825417e-01j]
 [2.20357856e-18-4.15825417e-01j 2.22350540e-01+4.86000865e-18j]]",(0.6418765446371283-5.713533807944497e-33j)
