Nelder-Mead,time,matrix,degree
[1.57148406 3.14157217],0.05787205696105957,"[[4.99656134e-01-1.94610141e-22j 2.32305416e-22+4.99999882e-01j]
 [2.32305416e-22-4.99999882e-01j 5.00343866e-01-5.39686276e-23j]]",(3.061616268519387e-17+0.4999998808882698j)
[1.48358791 3.17784437],0.05758380889892578,"[[5.43548957e-01-8.27423386e-19j 1.09390484e-18+4.98099878e-01j]
 [1.09390484e-18-4.98099878e-01j 4.56451043e-01+3.60618736e-19j]]",(0.018054301900364667+0.6966971136880625j)
[2.73970617 1.81224094],0.05657029151916504,"[[3.98376376e-02-1.38775095e-18j 1.65109129e-17+1.95577607e-01j]
 [1.65109129e-17-1.95577607e-01j 9.60162362e-01-1.30198400e-17j]]",(0.18989050996183937-0.24300306584354484j)
[1.52715945 3.12253356],0.057826995849609375,"[[5.21811515e-01+1.70551013e-19j 1.30277516e-20+4.99524031e-01j]
 [1.30277516e-20-4.99524031e-01j 4.78188485e-01+3.82417155e-19j]]",(0.009525123111921002-0.6436475324550008j)
[3.14159265 3.83893719],0.07352471351623535,"[[ 3.74939946e-33+5.63894223e-50j -1.22963211e-33+6.12323400e-17j]
 [-1.22963211e-33-6.12323400e-17j  1.00000000e+00-1.73452494e-19j]]",(0.18775344621202728-7.781494487102973e-18j)
[3.14159265 0.18931745],0.07148957252502441,"[[ 3.74939946e-33-1.37091242e-50j -7.03353802e-34+6.12323400e-17j]
 [-7.03353802e-34-6.12323400e-17j  1.00000000e+00+3.44143550e-18j]]",(0.06181007336035914-7.78149448710298e-18j)
[0.         3.31046706],0.0695803165435791,"[[1.-2.45794042e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.39229688870603185-1.738026336128965e-18j)
[0.         3.31046706],0.06817483901977539,"[[1.-2.45794042e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.3487637609342447-1.7380263361289647e-18j)
[1.81168148 3.14158993],0.06472969055175781,"[[ 3.80718840e-01-7.44792041e-24j -5.03006472e-23+4.85563595e-01j]
 [-5.03006472e-23-4.85563595e-01j  6.19281160e-01-2.91308081e-23j]]",(2.973219512193029e-17-0.4855635950321513j)
[0.         3.31046706],0.051260948181152344,"[[1.-2.45794042e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.13418225139622927-1.7380263361289636e-18j)
