Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix
[3.14159265 6.28318531],0.014009714126586914,[3.14159265 4.71239285],0.07544636726379395,[3.14147716 6.72899039],0.01237034797668457,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.17418446 0.        ]
 [0.         0.82581554]]"
[0.         6.28318531],0.005547046661376953,[8.10582006e-14 4.71239287e+00],0.07607460021972656,[1.04673529e-04 6.76733669e+00],0.009486675262451172,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.89536137 0.        ]
 [0.         0.10463863]]"
[1.58951633 6.28318531],0.0180206298828125,[1.58949799 1.42005553],0.0236666202545166,[3.02129615 7.98261504],0.011696100234985352,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49065559+0.j         0.05944923+0.07507039j]
 [0.05944923-0.07507039j 0.50934441+0.j        ]]"
[1.48923308 6.11517484],0.04566383361816406,[1.48920638 6.11515001],0.037142276763916016,[1.48928095 5.32764275],0.02020716667175293,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.54074185+0.j        -0.08333953+0.1745754j]
 [-0.08333953-0.1745754j  0.45925815+0.j       ]]"
[1.57256563 6.28318531],0.02795863151550293,[1.57253861 1.63001551],0.05134129524230957,[1.85573633e-03 7.66302033e+00],0.033930063247680664,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49912159+0.j         0.00098705-0.02959553j]
 [0.00098705+0.02959553j 0.50087841+0.j        ]]"
[1.84974798 6.28318531],0.04226279258728027,[1.8497641  4.71239284],0.09630942344665527,[3.14153639 6.79035507],0.043628692626953125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.36231645 0.        ]
 [0.         0.63768355]]"
[0.95646485 5.95597385],0.0922844409942627,[0.84298411 5.92377266],0.046613454818725586,[0.94204817 5.95235367],0.01256561279296875,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.78819189+0.j         -0.13130888+0.32379119j]
 [-0.13130888-0.32379119j  0.21180811+0.j        ]]"
[1.86787734 6.28318531],0.02803182601928711,[1.86790037 3.12287617],0.045804738998413086,[4.36228836 6.26406152],0.03059530258178711,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.35363039+0.j         0.00893977-0.32162333j]
 [0.00893977+0.32162333j 0.64636961+0.j        ]]"
[3.14159265 6.28318531],0.009490966796875,[3.14159265 4.71239284],0.08537793159484863,[3.14148106 6.77423108],0.009575843811035156,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.01148218 0.        ]
 [0.         0.98851782]]"
[0.         6.28318531],0.0045316219329833984,[1.24145922e-13 4.71239284e+00],0.10398077964782715,[1.21637611e-04 6.86136015e+00],0.011628866195678711,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.97998924 0.        ]
 [0.         0.02001076]]"
