Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[1.02876467 4.38932072],0.04511260986328125,"[[ 7.57938751e-01+1.42042954e-18j -4.16231853e-18+4.28331181e-01j]
 [-4.16231853e-18-4.28331181e-01j  2.42061249e-01-5.50080744e-18j]]",(0.32616131729447134+0.5643199662239414j),[1.02878173 4.00715549],0.061461687088012695,"[[ 7.57931442e-01+1.72620598e-17j -1.59038227e-17+4.28335583e-01j]
 [-1.59038227e-17-4.28335583e-01j  2.42068558e-01+1.43570613e-18j]]",(0.32616131726401754+0.5643243679236605j),[0.89279701 4.13442325],0.03335261344909668,"[[8.13618046e-01-2.58548924e-17j 3.09429355e-17+3.89414588e-01j]
 [3.09429355e-17-3.89414588e-01j 1.86381954e-01-1.51710337e-18j]]",(0.32882625540349764+0.5211452962566037j),[0.78489478 4.31736737],0.30892062187194824,"[[ 8.53731318e-01-2.18886862e-17j -1.35820310e-18+3.53375373e-01j]
 [-1.35820310e-18-3.53375373e-01j  1.46268682e-01+3.20345261e-19j]]",(0.3350202373864785+0.4764239315508809j),"  (0, 0)	(0.7579323830590958+0j)
  (0, 1)	(-0.3261613172633373-0.13598878526941915j)
  (1, 0)	(-0.3261613172633373+0.13598878526941915j)
  (1, 1)	(0.2420676169409041+0j)"
[1.26853615 0.50573404],0.038269996643066406,"[[6.48839341e-01+1.14487703e-17j 4.52367834e-18+4.77333061e-01j]
 [4.52367834e-18-4.77333061e-01j 3.51160659e-01+6.49116373e-18j]]",(0.23123764620854736-0.25137162083098924j),[1.26855611 0.50571569],0.10529661178588867,"[[6.48829812e-01-1.15994855e-17j 7.46766902e-18+4.77336032e-01j]
 [7.46766902e-18-4.77336032e-01j 3.51170188e-01-1.54260193e-19j]]",(0.23123764605050862-0.25137459216148805j),[1.26855609 0.50571569],0.037946462631225586,"[[ 6.48829823e-01+8.19548011e-18j -3.74643083e-18+4.77336028e-01j]
 [-3.74643083e-18-4.77336028e-01j  3.51170177e-01-3.67493919e-18j]]",(0.23123764605048333-0.2513745887109611j),[1.26854188 0.50572187],0.030533313751220703,"[[6.48836602e-01+8.10799168e-18j 6.75024831e-18+4.77333914e-01j]
 [6.75024831e-18-4.77333914e-01j 3.51163398e-01-6.32495543e-18j]]",(0.23123764612627445-0.25137247474530966j),"  (0, 0)	(0.7579323830590958+0j)
  (0, 1)	(-0.3261613172633373-0.13598878526941915j)
  (1, 0)	(-0.3261613172633373+0.13598878526941915j)
  (1, 1)	(0.2420676169409041+0j)"
[1.61455854 4.71239289],0.025603055953979492,"[[4.78125875e-01+1.20661195e-17j 1.17618338e-18+4.99521294e-01j]
 [1.17618338e-18-4.99521294e-01j 5.21874125e-01-9.73063178e-18j]]",(3.0586857652703195e-17+0.49952129338841134j),[1.61457445 4.71238898],0.114227294921875,"[[ 4.7811793e-01-1.16420718e-17j -5.6317689e-18+4.99520946e-01j]
 [-5.6317689e-18-4.99520946e-01j  5.2188207e-01-7.41465216e-18j]]",(3.0586836352579766e-17-0.49952094553099735j),[1.61458803 4.71238898],0.05333757400512695,"[[4.78111144e-01-1.28722288e-17j 1.28554356e-17+4.99520648e-01j]
 [1.28554356e-17-4.99520648e-01j 5.21888856e-01-9.50525849e-18j]]",(3.058681814203917e-17+0.4995206481303001j),[1.61458733 4.71239186],0.03029942512512207,"[[4.78111494e-01-8.62918867e-18j 1.38703477e-17+4.99520664e-01j]
 [1.38703477e-17-4.99520664e-01j 5.21888506e-01-8.30835578e-18j]]",(3.05868190803774e-17+0.49952066345452645j),"  (0, 0)	(0.7579323830590958+0j)
  (0, 1)	(-0.3261613172633373-0.13598878526941915j)
  (1, 0)	(-0.3261613172633373+0.13598878526941915j)
  (1, 1)	(0.2420676169409041+0j)"
[0.01459976 1.70961823],0.09195423126220703,"[[9.99946713e-01+1.05503815e-17j 5.22319871e-19+7.29961898e-03j]
 [5.22319871e-19-7.29961898e-03j 5.32872767e-05+1.42490431e-21j]]",(0.007229394463347037-0.00830963204747794j),[0.01460055 1.43159605],0.08540081977844238,"[[9.99946707e-01-1.07222057e-17j 1.63789167e-19+7.30001629e-03j]
 [1.63789167e-19-7.30001629e-03j 5.32930780e-05-1.01396061e-23j]]",(0.007229394463347198-0.008310029360074196j),[0.01460223 1.70959789],0.04489541053771973,"[[ 9.99946695e-01-8.69445459e-18j -7.27532020e-21+7.30085316e-03j]
 [-7.27532020e-21-7.30085316e-03j  5.33052983e-05-1.55835790e-21j]]",(0.007229394463360653-0.008310866233293154j),[0.02192911 2.42158824],0.03612494468688965,"[[ 9.99879783e-01-2.14615254e-17j -1.70784288e-19+1.09636743e-02j]
 [-1.70784288e-19-1.09636743e-02j  1.20216606e-04+4.37601471e-22j]]",(0.007229559989612242-0.011973413218277159j),"  (0, 0)	(0.648830392650753+0j)
  (0, 1)	(0.23123764604983968+0.2259614395133104j)
  (1, 0)	(0.23123764604983968-0.2259614395133104j)
  (1, 1)	(0.35116960734924696+0j)"
[1.5140685  4.71239284],0.026686668395996094,"[[ 5.28348704e-01+4.44012275e-18j -5.75648799e-18+4.99195704e-01j]
 [-5.75648799e-18-4.99195704e-01j  4.71651296e-01+1.22131077e-17j]]",(3.056692105071564e-17-0.49919570396946317j),[1.51406709 1.57079344],0.0436704158782959,"[[5.28349407e-01-2.27157162e-17j 3.28385141e-17+4.99195664e-01j]
 [3.28385141e-17-4.99195664e-01j 4.71650593e-01+1.62288308e-18j]]",(3.056691860929662e-17+0.4991956640980648j),[1.5140521  4.71237295],0.0179290771484375,"[[5.28356888e-01+2.68828787e-18j 2.90037823e-17+4.99195239e-01j]
 [2.90037823e-17-4.99195239e-01j 4.71643112e-01+6.03806625e-18j]]",(3.056689259401379e-17+0.4991952392362541j),[1.51402807 4.71239187],0.029375314712524414,"[[5.28368884e-01-2.56935413e-17j 7.58827093e-18+4.99194558e-01j]
 [7.58827093e-18-4.99194558e-01j 4.71631116e-01+6.83853366e-18j]]",(3.0566850839348875e-17+0.4991945573308273j),"  (0, 0)	(0.648830392650753+0j)
  (0, 1)	(0.23123764604983968+0.2259614395133104j)
  (1, 0)	(0.23123764604983968-0.2259614395133104j)
  (1, 1)	(0.35116960734924696+0j)"
[6.54995831e-10 4.71239282e+00],0.07650899887084961,"[[1.00000000e+00+7.65397726e-18j 2.86633407e-27+3.27497915e-10j]
 [2.86633407e-27-3.27497915e-10j 1.07254885e-19+1.45032845e-36j]]",(0.058524827362745384+5.4121792213514224e-18j),[0.40972424 4.71238898],0.08360934257507324,"[[9.58615354e-01-1.23951900e-17j 1.09662879e-17+1.99178204e-01j]
 [1.09662879e-17-1.99178204e-01j 4.13846457e-02-1.47419564e-18j]]",(1.2196147471185466e-17+0.19917820353879825j),[0.40971749 4.71237146],0.04307723045349121,"[[ 9.58616698e-01-2.61054879e-17j -9.11216723e-18+1.99175110e-01j]
 [-9.11216723e-18-1.99175110e-01j  4.13833023e-02+2.26782632e-19j]]",(1.2195958068042083e-17-0.19917511035072943j),[0.4097143  4.71239172],0.05495643615722656,"[[ 9.58617333e-01-1.87646241e-17j -8.66332738e-18+1.99173647e-01j]
 [-8.66332738e-18-1.99173647e-01j  4.13826666e-02+1.23157821e-18j]]",(1.2195868442398279e-17-0.19917364665288828j),"  (0, 0)	(0.648830392650753+0j)
  (0, 1)	(0.23123764604983968+0.2259614395133104j)
  (1, 0)	(0.23123764604983968-0.2259614395133104j)
  (1, 1)	(0.35116960734924696+0j)"
[1.22460436 4.71239284],0.031011581420898438,"[[6.69659085e-01+2.76848656e-17j 2.96615233e-17+4.70335832e-01j]
 [2.96615233e-17-4.70335832e-01j 3.30340915e-01+1.77503540e-18j]]",(2.879976354982657e-17+0.47033583184764927j),[1.22461769 4.71239186],0.042334556579589844,"[[ 6.69652813e-01+1.82331476e-17j -7.82655221e-18+4.70338095e-01j]
 [-7.82655221e-18-4.70338095e-01j  3.30347187e-01+5.08058926e-18j]]",(2.879990209820476e-17-0.47033809451437547j),[1.22460115 4.71237295],0.02103710174560547,"[[ 6.69660594e-01+2.03723427e-17j -1.60572862e-17+4.70335288e-01j]
 [-1.60572862e-17-4.70335288e-01j  3.30339406e-01-1.95784179e-18j]]",(2.879973022579729e-17-0.4703352876249509j),[1.22460873 4.71239187],0.06530117988586426,"[[6.69657029e-01-4.15745974e-18j 6.70880412e-18+4.70336574e-01j]
 [6.70880412e-18-4.70336574e-01j 3.30342971e-01+8.25187036e-18j]]",(2.879980896598665e-17+0.47033657354983005j),"  (0, 0)	(0.47811793024515725+0j)
  (1, 1)	(0.5218820697548427+0j)"
[7.20964882e-10 4.71239669e+00],0.05731487274169922,"[[1.00000000e+00+1.46965882e-17j 2.48370841e-26+3.60482441e-10j]
 [2.48370841e-26-3.60482441e-10j 1.29947590e-19+4.00751171e-36j]]",(0.38298070878542445+1.0392057195414816e-17j),[1.09460542 1.57079344],0.029653549194335938,"[[7.29198592e-01+2.03351575e-17j 2.43713967e-17+4.44373723e-01j]
 [2.43713967e-17-4.44373723e-01j 2.70801408e-01-6.81266140e-18j]]",(2.7210042845104463e-17+0.4443737225141021j),[1.09462208 4.71237285],0.019673824310302734,"[[ 7.29191192e-01+1.34994712e-17j -9.85591367e-18+4.44377540e-01j]
 [-9.85591367e-18-4.44377540e-01j  2.70808808e-01+1.11398409e-17j]]",(2.7210276574565383e-17-0.4443775396058723j),[1.0946199  4.71239187],0.04394340515136719,"[[7.29192160e-01-9.62483263e-18j 6.04457276e-18+4.44377040e-01j]
 [6.04457276e-18-4.44377040e-01j 2.70807840e-01+5.94378884e-18j]]",(2.721024597531992e-17+0.44437703988227056j),"  (0, 0)	(0.47811793024515725+0j)
  (1, 1)	(0.5218820697548427+0j)"
[0.63186558 0.93610717],0.16007590293884277,"[[9.03463504e-01+1.94102294e-17j 7.10669770e-18+2.95325584e-01j]
 [7.10669770e-18-2.95325584e-01j 9.65364959e-02+2.13471574e-18j]]",(0.23867155490793404-0.11978797294428882j),[0.68424896 2.2897967 ],0.20409202575683594,"[[ 8.87446997e-01-1.79687821e-17j -1.63446379e-17+3.16045605e-01j]
 [-1.63446379e-17-3.16045605e-01j  1.12553003e-01-2.04208674e-18j]]",(0.23781270717072578-0.14094060137403278j),[0.68424896 2.28981151],0.0341343879699707,"[[ 8.87446997e-01-1.14661342e-17j -6.42280097e-18+3.16045605e-01j]
 [-6.42280097e-18-3.16045605e-01j  1.12553003e-01+3.22388743e-18j]]",(0.2378127071707258-0.14094060137022804j),[0.68426675 2.28982349],0.06638956069946289,"[[8.87441372e-01-7.76365940e-19j 2.65012403e-18+3.16052501e-01j]
 [2.65012403e-18-3.16052501e-01j 1.12558628e-01-3.25099024e-18j]]",(0.23781270726919745-0.14094749734860024j),"  (0, 0)	(0.47811793024515725+0j)
  (1, 1)	(0.5218820697548427+0j)"
[0.73740242 4.71985401],0.047220468521118164,"[[ 8.70108792e-01+1.44441994e-17j -3.07300165e-17+3.36183702e-01j]
 [-3.07300165e-17-3.36183702e-01j  1.29891208e-01+1.37430196e-18j]]",(0.3371077030291538+0.33133220291534593j),[0.73738507 4.80483736],0.0784003734588623,"[[ 8.70114623e-01-2.38593741e-17j -1.39760037e-17+3.36177283e-01j]
 [-1.39760037e-17-3.36177283e-01j  1.29885377e-01+2.51666341e-18j]]",(0.33710844626324515+0.33132509816911715j),[0.73736311 4.80457614],0.04919743537902832,"[[8.70122008e-01-2.32337226e-17j 1.03073326e-17+3.36169153e-01j]
 [1.03073326e-17-3.36169153e-01j 1.29877992e-01-1.13335131e-18j]]",(0.33710938773017723+0.3313160998325269j),[0.73353848 4.71988596],0.1361370086669922,"[[ 8.71405017e-01+2.25362651e-17j -2.99264016e-18+3.34751121e-01j]
 [-2.99264016e-18-3.34751121e-01j  1.28594983e-01+5.52060565e-18j]]",(0.3372762160270889+0.3297448441187034j),"  (0, 0)	(0.9999467100496493+0j)
  (0, 1)	(0.007229394463346614-0.0010100130724177976j)
  (1, 0)	(0.007229394463346614+0.0010100130724177976j)
  (1, 1)	(5.328995035073829e-05+0j)"
