0,1,0,1,0,1,0,1
Nelder-Mead,,Powell,,COBYLA,,Density Matrix,
,Time,,Time,,Time,,2023-01-11 17:47:39.412545
[1.62413026 1.43169382],0.0269625186920166,[1.62412834 4.85147709],0.02389979362487793,[1.62416367 1.43164359],0.01200413703918457,[[ 0.47335375+0.j         -0.14294953+0.06922162j]],[[-0.14294953-0.06922162j  0.52664625+0.j        ]]
[1.19238458 2.05252009],0.029920101165771484,[1.19240555 2.53501579],0.02393627166748047,[1.19227208 2.05249762],0.013962268829345703,[[0.68471483+0.j         0.26485417-0.21523931j]],[[0.26485417+0.21523931j 0.31528517+0.j        ]]
[1.54430767 1.38668467],0.022939205169677734,[1.54427874 4.896508  ],0.021905899047851562,[1.03627514 1.35638425],0.011998653411865234,[[ 0.51326433+0.j         -0.06736938+0.09150852j]],[[-0.06736938-0.09150852j  0.48673567+0.j        ]]
[3.14159265 1.96965698],0.024907588958740234,[3.14159265 4.7125854 ],0.07483315467834473,[3.14168243 1.15579503],0.008975982666015625,[[0.15831036+0.j 0.        +0.j]],[[0.        +0.j 0.84168964+0.j]]
[3.14159265 1.58734854],0.026963472366333008,[3.14159265 4.71239286],0.09763383865356445,[3.14149759 1.43779169],0.009973287582397461,[[0.02648743+0.j 0.        +0.j]],[[0.        +0.j 0.97351257+0.j]]
[3.14159265 2.0637276 ],0.024929285049438477,[2.15440713 4.71240189],0.031914472579956055,[3.14150235 1.43579228],0.007978677749633789,[[0.28636408+0.j 0.        +0.j]],[[0.        +0.j 0.71363592+0.j]]
[1.79787084 1.82157594],0.030918121337890625,[1.79789164 1.8215994 ],0.026926755905151367,[1.79775678 1.91883037],0.012993574142456055,[[0.38743427+0.j         0.26945431-0.12090499j]],[[0.26945431+0.12090499j 0.61256573+0.j        ]]
[2.1240462  4.17830515],0.03493499755859375,[2.12403696 4.1783249 ],0.06280183792114258,[2.31218334 4.08487111],0.010973453521728516,[[ 0.23728173+0.j         -0.27889803-0.21654648j]],[[-0.27889803+0.21654648j  0.76271827+0.j        ]]
[1.31713745 1.37522195],0.024944067001342773,[1.31716654 4.90796485],0.025931835174560547,[-1.31723196  1.76634076],0.014923572540283203,[[ 0.62544855+0.j         -0.2917646 +0.09406004j]],[[-0.2917646 -0.09406004j  0.37455145+0.j        ]]
[1.89429356 1.3209434 ],0.03390836715698242,[1.89432671 4.96223856],0.026927709579467773,[ 1.89635325 -1.32079137],0.013003349304199219,[[ 0.3410487 +0.j         -0.30770356+0.11721258j]],[[-0.30770356-0.11721258j  0.6589513 +0.j        ]]
