Nelder-Mead,fun,time,Powell,fun,time,SLSQP,fun,time,Density Matrix
[0.         4.63385902],1.2522875176542634,0.03757071495056152,[1.82583984 4.71240401],0.9676668654606451,0.04686999320983887,[1.88737914e-15 4.67907506e+00],1.2522875176542654,0.004951000213623047,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.37385624 0.        ]
 [0.         0.62614376]]"
[0.3045457  3.95934626],0.9068229790177155,0.04147839546203613,[1.52360567 4.50562421],0.7588590435778746,0.03690528869628906,[0.3087098  3.94547402],0.9113288619102559,0.0348663330078125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.5235899 +0.j         -0.10938696-0.10252523j]
 [-0.10938696+0.10252523j  0.4764101 +0.j        ]]"
[0.         4.80899757],2.205721952397759,0.038451194763183594,[2.35744068 1.53581021],0.23278611383814207,0.06984853744506836,[2.44249065e-15 4.67907515e+00],2.2057219523977616,0.004987478256225586,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.26239316+0.j         0.35290262+0.01235151j]
 [0.35290262-0.01235151j 0.73760684+0.j        ]]"
[0.59843798 5.09603147],0.6284297629403477,0.03690481185913086,[1.3716564  4.92922704],0.4349222023350879,0.03290987014770508,[0.59744269 5.09243498],0.6311664585349692,0.05439448356628418,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.59890476+0.j         -0.26119578+0.10543824j]
 [-0.26119578-0.10543824j  0.40109524+0.j        ]]"
[0.         4.60195201],0.8339937090519299,0.03391456604003906,[1.40401838 4.71239284],0.9861289938766142,0.028968334197998047,[1.88737914e-15 4.67907506e+00],0.8339937090519322,0.003982067108154297,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.58300315 0.        ]
 [0.         0.41699685]]"
[0.         4.62590331],1.045143039017882,0.0275266170501709,[1.61596569 4.71239284],0.9989948646805209,0.028921842575073242,[0.         4.67907509],1.0451430390178822,0.004950761795043945,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.47742848 0.        ]
 [0.         0.52257152]]"
[0.         4.62590331],0.9603507677288634,0.026920080184936523,[1.5311548  4.71239284],0.9992363226942799,0.030469179153442383,[0.         4.67907509],0.9603507677288636,0.003988742828369141,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.51982462 0.        ]
 [0.         0.48017538]]"
[0.         4.60195201],0.6447241135948031,0.05884242057800293,[1.2075664  4.71239284],0.9347771159859344,0.04250597953796387,[0.         4.67907511],0.6447241135948032,0.003990888595581055,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.67763794 0.        ]
 [0.         0.32236206]]"
[0.40298495 5.32860791],0.8359878737627786,0.03290271759033203,[1.4867566  4.94183163],0.6503344728708218,0.0379025936126709,[0.40296708 5.32857653],0.8359690319275068,0.039520978927612305,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.54196754+0.j         -0.16001405+0.11331593j]
 [-0.16001405-0.11331593j  0.45803246+0.j        ]]"
[0.         4.60195201],0.48822288272166625,0.03391003608703613,[6.45110553e-05 4.71239284e+00],0.4882873919453117,0.03249764442443848,[1.88737914e-15 4.67907506e+00],0.4882228827216684,0.0060198307037353516,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.75588856 0.        ]
 [0.         0.24411144]]"
