direct,time,matrix,degree
[2.65621935 1.84409794],0.20784926414489746,"[[ 5.77495739e-02+8.36710674e-19j -2.41219604e-17+2.33269288e-01j]
 [-2.41219604e-17-2.33269288e-01j  9.42250426e-01+2.03324132e-17j]]",(0.22464226947464255-0.2961903388034336j)
[1.14080849 5.08847316],0.6925942897796631,"[[ 7.08429874e-01-2.96715729e-18j -2.81360998e-17+4.54485410e-01j]
 [-2.81360998e-17-4.54485410e-01j  2.91570126e-01+1.32169368e-17j]]",(0.3060724458942014+0.28756268265872387j)
[2.66015737e-05 3.14159265e+00],0.6998510360717773,"[[ 1.00000000e+00-3.81299070e-33j -4.41854985e-38+1.33007869e-05j]
 [-4.41854985e-38-1.33007869e-05j  1.76910931e-10-1.11260694e-43j]]",(0.25558716599271664-2.696191583416986e-33j)
[2.95573041e-06 3.14159265e+00],0.7204723358154297,"[[ 1.00000000e+00+1.63147708e-33j -9.53850329e-40+1.47786521e-06j]
 [-9.53850329e-40-1.47786521e-06j  2.18408557e-12-9.96685852e-45j]]",(0.05240404755977984+1.1536285068790698e-33j)
[2.47706465 3.51270234],0.3278346061706543,"[[ 1.06396026e-01-5.05699958e-19j -1.94077111e-18+3.08343820e-01j]
 [-1.94077111e-18-3.08343820e-01j  8.93603974e-01-6.93014520e-18j]]",(0.11195836579786189+0.5949620940690138j)
[1.43142181 2.89538031],0.732306957244873,"[[5.69461860e-01+4.86185353e-18j 7.77537513e-19+4.95151543e-01j]
 [7.77537513e-19-4.95151543e-01j 4.30538140e-01+1.14741595e-18j]]",(0.12068416810464676-0.7078637837270387j)
[8.86719124e-06 3.14159265e+00],0.7932562828063965,"[[1.00000000e+00+1.08698824e-33j 2.81425972e-38+4.43359562e-06j]
 [2.81425972e-38-4.43359562e-06j 1.96567701e-11-7.87798191e-44j]]",(0.06750894993518373+7.686167597875814e-34j)
[0.66356246 2.44257423],0.27666497230529785,"[[8.93901508e-01-1.79021856e-17j 2.21566079e-17+3.07963637e-01j]
 [2.21566079e-17-3.07963637e-01j 1.06098492e-01+1.70996042e-18j]]",(0.19842782694808897-0.5429777902534888j)
[0.94360413 1.37586295],0.8079757690429688,"[[7.93436830e-01+7.59559633e-18j 1.03917934e-17+4.04839261e-01j]
 [1.03917934e-17-4.04839261e-01j 2.06563170e-01+5.95361073e-18j]]",(0.3392306475551877-0.32642235275015197j)
[3.14156605 3.14159265],0.7747082710266113,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.43455056223956445+2.696191581644557e-33j)
