Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[0.         3.40665922],0.02555084228515625,[1.72040773 6.26869738],0.03390979766845703,[-2.41880759  3.12000197],0.014013290405273438,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.42548899+0.j         -0.00717033+0.25170581j]
 [-0.00717033-0.25170581j  0.57451101+0.j        ]]",[1.72040773 6.26869738],0.485360627533662
[0.        3.3287092],0.024935483932495117,[3.14153922 4.71239284],0.03191494941711426,[5.11368942e-05 2.58257340e+00],0.010969877243041992,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.22137316 0.        ]
 [0.         0.77862684]]",[3.14153922 4.71239284],0.442799750690051
[0.        3.3287092],0.0249330997467041,[1.58924516 4.71238898],0.04089045524597168,[5.11368942e-05 2.58257340e+00],0.011968135833740234,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49077087 0.        ]
 [0.         0.50922913]]",[1.58924516 4.71238898],0.9998403063636854
[0.        3.3287092],0.03091740608215332,[1.5468271  4.71239289],0.026927471160888672,[-1.22101807e-04  2.55359521e+00],0.011970281600952148,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.51198779 0.        ]
 [0.         0.48801221]]",[1.5468271  4.71239284],0.999725273119493
[0.40579326 0.30572849],0.03789997100830078,[2.73579521 0.30568639],0.14065289497375488,[-0.40590298  3.44745244],0.01994633674621582,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.04258349+0.j         0.05940076+0.18822415j]
 [0.05940076-0.18822415j 0.95741651+0.j        ]]",[2.73579521 0.30568639],0.003959604472658279
[0.         3.27755451],0.024448394775390625,[1.75735367e-09 4.71245868e+00],0.04587697982788086,[1.32495914e-04 3.01505074e+00],0.009973526000976562,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.91056809 0.        ]
 [0.         0.08943191]]",[1.75745310e-09 4.71239285e+00],0.17886382392009897
[0.46946139 2.13776294],0.03686118125915527,[1.45482344 1.81791123],0.03490853309631348,[0.49684552 2.21306643],0.013476133346557617,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.5578569 +0.j         0.19080335-0.12147484j]
 [0.19080335+0.12147484j 0.4421431 +0.j        ]]",[1.4548237  1.81791122],0.581517936883013
[0.969687   3.72505026],0.04834866523742676,[0.85523467 3.78758108],0.05884265899658203,[0.824403   3.80906328],0.010970592498779297,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.78274368+0.j       -0.22716766-0.266928j]
 [-0.22716766+0.266928j  0.21725632+0.j      ]]",[0.77682896 3.84668564],0.1476606013441683
[0.         3.27755451],0.02648472785949707,[1.23971399 4.71239287],0.014922857284545898,[9.45177816e-05 2.55988045e+00],0.01200413703918457,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.66253521 0.        ]
 [0.         0.33746479]]",[1.23971399 4.71239287],0.9456983945033537
[0.         3.27755451],0.0249330997467041,[1.44340533 1.57079246],0.029439210891723633,[1.01811283e-04 2.54550345e+00],0.01296377182006836,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.5635249 0.       ]
 [0.        0.4364751]]",[1.44340221 4.71239289],0.9919002163169027
