Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[2.63837513 5.16116721],0.0375063419342041,[2.63840486 5.1611502 ],0.19524335861206055,[2.63840051 5.16152225],0.02562403678894043,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.06715336+0.j         -0.21723694+0.10460554j]
 [-0.21723694-0.10460554j  0.93284664+0.j        ]]",[2.63840446 5.16115087],0.010356996030304266
[2.0708316 4.4169378],0.03130531311035156,[2.07081596 4.41691731],0.060390472412109375,[2.19853524 4.39103397],0.015070676803588867,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.26029709+0.j         -0.32933742-0.12776855j]
 [-0.32933742+0.12776855j  0.73970291+0.j        ]]",[2.07077655 4.41692783],0.18089278706390305
[3.14159265 4.79203998],0.03135800361633301,[4.14695386e-05 4.71239284e+00],0.032996177673339844,[3.14148108 5.0872577 ],0.009992361068725586,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.80637964 0.        ]
 [0.         0.19362036]]",[3.41166284e-06 4.71238780e+00],0.38724412633097527
[2.52266541 4.37805145],0.03221559524536133,[1.35499581 4.51619589],0.032507896423339844,[1.35489389 3.78385426],0.013176441192626953,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.607069  +0.j        -0.27400573-0.0951962j]
 [-0.27400573+0.0951962j  0.392931  +0.j       ]]",[1.35498712 4.51621872],0.4100579121213366
[2.71518784 5.98311464],0.03135871887207031,[0.42639915 5.98308048],0.11429309844970703,[5.85672409 2.84165932],0.015127182006835938,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.95277447+0.j         -0.06113201+0.19755482j]
 [-0.06113201-0.19755482j  0.04722553+0.j        ]]",[0.4263983  5.98308653],0.004912839045861317
[3.14159265 4.71807001],0.0282132625579834,[1.53022473 1.57079242],0.028733015060424805,[3.14148108 5.0872577 ],0.010549545288085938,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.52028247 0.        ]
 [0.         0.47971753]]",[1.53022182 4.7123878 ],0.999179713894804
[3.14159265 4.72008743],0.028319120407104492,[4.52228324e-05 4.71239284e+00],0.03451681137084961,[3.14171905 5.08580006],0.011514663696289062,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.77470096 0.        ]
 [0.         0.22529904]]",[3.75027572e-06 4.71238780e+00],0.45060182169995006
[2.40604879 2.0673117 ],0.07144427299499512,[1.22153842 2.4628085 ],0.04836869239807129,[5.50680604 5.18617927],0.013080120086669922,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.67109233+0.j         0.29496794-0.15981576j]
 [0.29496794+0.15981576j 0.32890767+0.j        ]]",[1.22155386 2.4628218 ],0.41172816187075806
[2.46532171 3.90277576],0.03418993949890137,[1.30020338 3.60612596],0.0357365608215332,[0.6912366  3.88543666],0.017197608947753906,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.633648  +0.j         -0.21584912-0.22656916j]
 [-0.21584912+0.22656916j  0.366352  +0.j        ]]",[1.3002119  3.60611898],0.40836796653589497
[3.14159265 4.72008743],0.03234696388244629,[1.5361383  4.71239289],0.028754711151123047,[3.14148108 5.0873077 ],0.010523557662963867,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.51731943 0.        ]
 [0.         0.48268057]]",[1.53614929 4.7123878 ],0.9994022811998053
