differential_evolution,fun,time
[1.57079633 1.57079633],4.440892098500626e-16,6.497453212738037
[1.57079633 1.57079633],4.440892098500626e-16,4.100995302200317
[1.57079633 1.57079633],4.440892098500626e-16,4.756650924682617
[1.57079633 1.57079633],4.440892098500626e-16,5.089318752288818
[1.57079633 1.57079633],4.440892098500626e-16,4.989143133163452
[1.57079633 1.57079633],4.440892098500626e-16,6.6779890060424805
[1.57079633 1.57079633],4.440892098500626e-16,5.523303985595703
[1.57079633 1.57079633],4.440892098500626e-16,4.853498935699463
[1.57079633 1.57079633],4.440892098500626e-16,5.821084022521973
[1.57079633 1.57079633],4.440892098500626e-16,3.8066883087158203
