dual_annealing,time,matrix,degree
[0.71098026 5.26896188],0.4114103317260742,"[[8.78861272e-01+1.71442343e-17j 9.18454299e-18+3.26288425e-01j]
 [9.18454299e-18-3.26288425e-01j 1.21138728e-01+3.45198180e-18j]]",(0.27996931366631117+0.15230716233625174j)
[1.81656531 6.12936318],0.6697673797607422,"[[3.78348864e-01+1.85905986e-19j 1.16337332e-18+4.84975258e-01j]
 [1.16337332e-18-4.84975258e-01j 6.21651136e-01+3.30962029e-18j]]",(0.07430758645215599+0.19081399235532537j)
[1.72422238 1.56984163],0.6996419429779053,"[[4.23587584e-01+9.11674231e-18j 1.73898073e-17+4.94126646e-01j]
 [1.73898073e-17-4.94126646e-01j 5.76412416e-01+1.40991627e-17j]]",(0.25443110910922145-0.49365622638422874j)
[1.01080364 0.32527813],0.7021737098693848,"[[7.65590000e-01-4.68205625e-18j 6.96428331e-18+4.23629499e-01j]
 [6.96428331e-18-4.23629499e-01j 2.34410000e-01-2.87267118e-18j]]",(0.13537993292047035-0.09776731317576258j)
[1.54944413 1.58309512],0.6742966175079346,"[[5.10675287e-01-2.32585159e-17j 1.55182031e-17+4.99886025e-01j]
 [1.55182031e-17-4.99886025e-01j 4.89324713e-01+1.09978587e-17j]]",(0.1020320881132367-0.5060346755476571j)
[3.14156605 3.14159265],0.7053487300872803,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.547274645305979+2.6961915806854367e-33j)
[1.57079633 3.14159265],0.6868808269500732,"[[5.00000000e-01-2.00955151e-34j 2.00955151e-34+5.00000000e-01j]
 [2.00955151e-34-5.00000000e-01j 5.00000000e-01+2.00955151e-34j]]",(6.859130616226971e-05+0.5016665256299839j)
[2.05624549 5.7939469 ],0.6891200542449951,"[[ 2.66697162e-01-6.46095006e-18j -1.11179874e-17+4.42232728e-01j]
 [-1.11179874e-17-4.42232728e-01j  7.33302838e-01+9.54975424e-18j]]",(0.20782552371662158+0.15718736962528645j)
[2.95573041e-06 3.14159265e+00],0.7781548500061035,"[[ 1.00000000e+00+1.63147708e-33j -9.53850329e-40+1.47786521e-06j]
 [-9.53850329e-40-1.47786521e-06j  2.18408557e-12-9.96685852e-45j]]",(0.05726211669043837+1.1536285068068155e-33j)
[1.65569673 1.58854549],0.7060396671295166,"[[ 4.57600779e-01-1.83581533e-18j -4.26189568e-19+4.98199063e-01j]
 [-4.26189568e-19-4.98199063e-01j  5.42399221e-01+1.36480936e-19j]]",(0.19678993416929894-0.5070429537311345j)
