dual_annealing,time,matrix,degree
[1.62465555 1.78141546],1.9400222301483154,"[[ 4.73083408e-01+3.80436004e-18j -2.41133254e-17+4.99274971e-01j]
 [-2.41133254e-17-4.99274971e-01j  5.26916592e-01+3.23699342e-19j]]",(0.12071524225952346-0.6036560912507095j)
[0.00535962 1.42952695],1.9500062465667725,"[[9.99992819e-01-1.09755406e-17j 3.79212825e-21+2.67979578e-03j]
 [3.79212825e-21-2.67979578e-03j 7.18135699e-06-1.58941285e-22j]]",(0.7070876978614502-8.63926166932303e-06j)
[1.20161855 0.37572993],1.9295032024383545,"[[ 6.80424364e-01+3.16263092e-18j -1.62064085e-17+4.66312180e-01j]
 [-1.62064085e-17-4.66312180e-01j  3.19575636e-01+2.65301676e-18j]]",(0.1711140190594742-0.17298905898780453j)
[3.14159265 3.99798845],1.6634306907653809,"[[ 3.74939946e-33+6.27267080e-50j -3.23344919e-34+6.12323400e-17j]
 [-3.23344919e-34-6.12323400e-17j  1.00000000e+00-8.75333962e-18j]]",(0.25263850029729196-6.189545800935151e-18j)
[1.66496673 3.28691094],1.8052887916564941,"[[4.52984359e-01+3.24568446e-18j 7.00933967e-18+4.97784622e-01j]
 [7.00933967e-18-4.97784622e-01j 5.47015641e-01+2.49761470e-18j]]",(0.0720828863837007+0.6911722073463378j)
[1.79833923 0.1735603 ],1.853543758392334,"[[ 3.87207777e-01+7.86992750e-19j -7.92832061e-18+4.87111809e-01j]
 [-7.92832061e-18-4.87111809e-01j  6.12792223e-01+3.09986502e-18j]]",(0.08411945841881462-0.20378872079345617j)
[0.         4.78995371],1.7639105319976807,"[[1.+1.81824623e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.0008798584386126676+1.2856942384960619e-17j)
[3.14159265 3.93803587],1.7110908031463623,"[[3.74939946e-33-3.76666840e-50j 2.99387471e-33+6.12323400e-17j]
 [2.99387471e-33-6.12323400e-17j 1.00000000e+00-2.63017608e-17j]]",(0.004889378260146878-1.859815338382877e-17j)
[1.637531  1.4143104],2.1574716567993164,"[[4.66657424e-01-5.25083230e-18j 4.64648504e-17+4.98887034e-01j]
 [4.64648504e-17-4.98887034e-01j 5.33342576e-01+2.57846858e-19j]]",(0.15834762735085628-0.42113646707664454j)
[1.95260621 2.05813485],1.8811306953430176,"[[3.13699684e-01-1.20832817e-17j 5.78045225e-18+4.63995897e-01j]
 [5.78045225e-18-4.63995897e-01j 6.86300316e-01-1.60512545e-17j]]",(0.26395730059039185-0.6812740010598876j)
