dual_annealing,fun,time
[1.57079632 1.57079632],4.430282893854122e-09,6.016395568847656
[1.57079632 1.57079632],9.1790184372821e-09,7.113170146942139
[1.57079632 1.57079632],1.1037145586368499e-08,6.941692352294922
[1.57079632 1.57079632],9.27153420704623e-09,6.750047206878662
[1.57079632 1.57079632],6.362570913749726e-09,4.296007871627808
[1.57079632 1.57079632],8.526282403363469e-09,4.268551826477051
[1.57079634 1.57079633],1.1108398992001399e-08,4.386834383010864
[1.57079632 1.57079632],1.3436964516281677e-08,4.593263626098633
[1.57079632 1.57079635],2.3158596959319694e-08,5.224457263946533
[1.57079632 1.57079633],3.7953695494577365e-09,5.3688578605651855
