differential_evolution,time,matrix,degree
[0.67330522 5.39550505],1.8102083206176758,"[[ 8.90882447e-01+8.99856268e-18j -1.64136253e-17+3.11786647e-01j]
 [-1.64136253e-17-3.11786647e-01j  1.09117553e-01-2.17098563e-18j]]",(0.24182471150963+0.11498288168177741j)
[1.36206772 3.54000016],1.7814955711364746,"[[ 6.03608133e-01+4.82924859e-18j -1.15033213e-18+4.89147580e-01j]
 [-1.15033213e-18-4.89147580e-01j  3.96391867e-01-2.94894514e-18j]]",(0.18976532630806262+0.9399851067507263j)
[0.91961848 5.56228006],1.9160301685333252,"[[8.03061824e-01+2.47569382e-17j 1.49859224e-17+3.97685216e-01j]
 [1.49859224e-17-3.97685216e-01j 1.96938176e-01-1.52317090e-18j]]",(0.26249808006778247+0.09894069474885887j)
[1.8245642  1.93234861],1.767831802368164,"[[3.74473534e-01+8.98785920e-18j 6.92077942e-18+4.83986680e-01j]
 [6.92077942e-18-4.83986680e-01j 6.25526466e-01+2.68386863e-17j]]",(0.45269639272040496-0.6551856356957015j)
[2.04522279 4.53039624],1.7969610691070557,"[[ 2.71585834e-01-9.12932415e-18j -3.37102313e-17+4.44777438e-01j]
 [-3.37102313e-17-4.44777438e-01j  7.28414166e-01-8.00895291e-18j]]",(0.4374319296455688+0.5252775980565072j)
[1.32508373 3.98483451],1.6097447872161865,"[[ 6.21623790e-01+1.35968898e-18j -2.59749263e-18+4.84982117e-01j]
 [-2.59749263e-18-4.84982117e-01j  3.78376210e-01-5.23164513e-18j]]",(0.36218610943347546+0.8075171936253078j)
[2.4462616 1.4438753],1.846651554107666,"[[1.16079170e-01+1.50716063e-18j 2.57595009e-17+3.20319834e-01j]
 [2.57595009e-17-3.20319834e-01j 8.83920830e-01+2.34620021e-18j]]",(0.3177432877690134-0.27977357521830953j)
[2.31617911 5.22017592],1.5635592937469482,"[[ 1.60873429e-01+2.98718877e-18j -1.37369478e-17+3.67414165e-01j]
 [-1.37369478e-17-3.67414165e-01j  8.39126571e-01-1.27505040e-17j]]",(0.321054849993508+0.18876100390806988j)
[0.20146542 1.03111258],1.9959475994110107,"[[ 9.89887196e-01-1.09939037e-17j -9.17590349e-19+1.00052663e-01j]
 [-9.17590349e-19-1.00052663e-01j  1.01128041e-02+1.88275560e-20j]]",(0.0858323012695416-0.04863912965913916j)
[2.65385144 1.58275766],1.7615184783935547,"[[5.83031760e-02+8.45938603e-19j 2.11946882e-18+2.34315846e-01j]
 [2.11946882e-18-2.34315846e-01j 9.41696824e-01+3.07198876e-18j]]",(0.23429908401074345-0.237118509605646j)
