Nelder-Mead,fun,time
[0.         4.78405651],0.26517135174701734,0.15531349182128906
[0.         4.78405651],0.047571209104605994,0.18007493019104004
[3.14159265 4.42993994],0.05621794598170719,0.08957934379577637
[3.14159265 4.13936501],0.29215326701336025,0.1062171459197998
[1.35077672 4.40440569],1.4336934819191767,0.33941650390625
[2.04813732 4.58569751],1.5769224404516136,0.037749528884887695
[3.14159265 3.97621557],1.3254528909142753,0.1617271900177002
[3.14159265 4.13936501],0.48844734415385727,0.11846232414245605
[2.56804544 5.77211847],1.6607015318112401,0.16733646392822266
[3.14159265 4.13936501],0.7953633394593335,0.06627988815307617
