differential_evolution,time,matrix,degree
[0.         1.13629341],0.26227807998657227,"[[1.-1.81675468e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.647062357784012-1.2846395540987826e-17j)
[1.49428476 4.99430318],0.28301429748535156,"[[5.38218469e-01-2.26307196e-17j 1.34397521e-17+4.98537209e-01j]
 [1.34397521e-17-4.98537209e-01j 4.61781531e-01+7.57020855e-18j]]",(0.12673642614309494+0.35984675308825853j)
[1.41298531 3.48388132],0.3659861087799072,"[[ 5.78578403e-01+1.47402257e-18j -1.25433433e-17+4.93786831e-01j]
 [-1.25433433e-17-4.93786831e-01j  4.21421597e-01-4.19152294e-18j]]",(0.1657365223320318+0.6906641341189531j)
[3.14158616 3.78160648],0.25972652435302734,"[[1.05324258e-11-9.76997720e-29j 1.13975163e-22+3.24536990e-06j]
 [1.13975163e-22-3.24536990e-06j 1.00000000e+00+2.56113863e-17j]]",(0.41565246041475223+1.810998493124368e-17j)
[3.14159265 2.59428792],0.2115778923034668,"[[ 3.74939946e-33+8.39248295e-50j -8.16783651e-34+6.12323400e-17j]
 [-8.16783651e-34-6.12323400e-17j  1.00000000e+00+5.09740339e-18j]]",(0.5211454491480753+3.604408501556279e-18j)
[1.71567781 1.57183444],0.29100990295410156,"[[4.27812421e-01-9.57856332e-18j 6.36495055e-18+4.94761512e-01j]
 [6.36495055e-18-4.94761512e-01j 5.72187579e-01-2.27215472e-18j]]",(0.24852610071269274-0.495275129071682j)
[2.56901533 4.19645879],0.35990190505981445,"[[7.97463119e-02-3.04031332e-18j 2.70200693e-18+2.70900051e-01j]
 [2.70200693e-18-2.70900051e-01j 9.20253688e-01-1.43502337e-17j]]",(0.23573743945616102+0.40437658010886546j)
[0.         3.37750974],0.2588772773742676,"[[1.-3.7827378e-18j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.24303439660477452-2.6747995510800367e-18j)
[2.28411819e-06 2.95841082e+00],0.28702330589294434,"[[ 1.00000000e+00+4.26674738e-18j -4.64236085e-24+1.14205909e-06j]
 [-4.64236085e-24-1.14205909e-06j  1.30429897e-12-7.61475950e-30j]]",(0.09406007223733144+3.0170460036669356e-18j)
[1.54577903 3.17583499],0.2817723751068115,"[[5.12507345e-01+7.00099510e-19j 1.17900335e-18+4.99843542e-01j]
 [1.17900335e-18-4.99843542e-01j 4.87492655e-01+7.18067994e-19j]]",(0.017112466268574534+0.6089381738260494j)
