dual_annealing,time,matrix,degree
[1.84389648 0.2310275 ],1.7810442447662354,"[[ 3.65141008e-01-1.79103635e-18j -3.46131556e-19+4.81469680e-01j]
 [-3.46131556e-19-4.81469680e-01j  6.34858992e-01+1.30452553e-18j]]",(0.1102458915645193-0.18764840656261644j)
[3.14159265 0.        ],1.6451025009155273,"[[3.74939946e-33+0.000000e+00j 0.00000000e+00+6.123234e-17j]
 [0.00000000e+00-6.123234e-17j 1.00000000e+00+0.000000e+00j]]",(0.2077930364505517+0j)
[0.01184634 3.81792987],1.8283882141113281,"[[9.99964916e-01+3.66753502e-18j 1.87186201e-19+5.92302923e-03j]
 [1.87186201e-19-5.92302923e-03j 3.50835061e-05+3.09358750e-23j]]",(0.7069386246922541+5.541640308855854e-05j)
[1.55231279 3.21435931],1.7392878532409668,"[[5.09241241e-01-1.42929578e-18j 3.46478925e-19+4.99914592e-01j]
 [3.46478925e-19-4.99914592e-01j 4.90758759e-01-1.43114985e-20j]]",(0.036345023961382776+0.5879457051461954j)
[3.14159265 0.45911566],1.6678731441497803,"[[3.74939946e-33-7.76655635e-50j 7.44686826e-34+6.12323400e-17j]
 [7.44686826e-34-6.12323400e-17j 1.00000000e+00+5.47576894e-18j]]",(0.007907139095307986+3.871953346596921e-18j)
[1.5295579  4.75979197],1.7785420417785645,"[[5.20613371e-01-2.10787660e-17j 8.58549633e-18+4.99574908e-01j]
 [8.58549633e-18-4.99574908e-01j 4.79386629e-01+9.91341710e-18j]]",(0.13857546563363698+0.47590242930436133j)
[0.         3.57547969],1.608144760131836,"[[1.-2.01598162e-19j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.07953718656269869-1.4255142753057217e-19j)
[0.         2.01586717],1.6521806716918945,"[[1.+1.74940656e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.054029182690645376+1.237017243784522e-17j)
[0. 0.],1.624518632888794,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.030366683566060357+0j)
[2.55091798 5.19664321],1.67868971824646,"[[8.47174366e-02-2.31235614e-18j 2.10918916e-17+2.78460756e-01j]
 [2.10918916e-17-2.78460756e-01j 9.15282563e-01+1.96078304e-18j]]",(0.24681523883001075+0.1485974781376735j)
