differential_evolution,time,matrix,degree
[1.62465555 1.78141546],0.37366509437561035,"[[ 4.73083406e-01+6.63479145e-18j -1.89579592e-17+4.99274971e-01j]
 [-1.89579592e-17-4.99274971e-01j  5.26916594e-01-2.28527472e-17j]]",(0.12071524225952343-0.603656091144104j)
[0.00541104 1.37364631],0.24994659423828125,"[[9.99992680e-01+2.66938449e-17j 1.21574403e-19+2.70550799e-03j]
 [1.21574403e-19-2.70550799e-03j 7.31982707e-06-1.88924416e-23j]]",(0.7070874178428466-8.735741302758175e-06j)
[1.20160755 0.37573161],0.35478782653808594,"[[6.80429496e-01-5.09802831e-18j 6.62470511e-18+4.66310194e-01j]
 [6.62470511e-18-4.66310194e-01j 3.19570504e-01+9.67219829e-19j]]",(0.1711140191357-0.1729870731685211j)
[3.14159012 4.2289933 ],0.3151726722717285,"[[1.60090489e-12+4.19909958e-29j 3.70337579e-23+1.26526870e-06j]
 [3.70337579e-23-1.26526870e-06j 1.00000000e+00+1.84631704e-17j]]",(0.2526385002918595+1.305543302220929e-17j)
[1.66496673 3.28691095],0.31702160835266113,"[[ 4.52984361e-01+1.51815531e-18j -4.51452792e-18+4.97784622e-01j]
 [-4.51452792e-18-4.97784622e-01j  5.47015639e-01-1.46295631e-18j]]",(0.07208288638370064+0.6911722075385363j)
[1.79833923 0.1735603 ],0.3467867374420166,"[[ 3.87207779e-01+2.53600957e-18j -6.80873025e-18+4.87111809e-01j]
 [-6.80873025e-18-4.87111809e-01j  6.12792221e-01+2.90802708e-18j]]",(0.08411945841881466-0.20378872122836275j)
[1.35544187e-07 2.43292526e+00],0.47488927841186523,"[[1.00000000e+00+9.62719851e-18j 3.09929021e-24+6.77720934e-08j]
 [3.09929021e-24-6.77720934e-08j 4.59305664e-15-4.32822535e-32j]]",(0.0008798584359959329+6.807457372463156e-18j)
[3.14159181 3.28355769],0.3295156955718994,"[[1.76574463e-13+4.04518769e-31j 2.79454329e-24+4.20207643e-07j]
 [2.79454329e-24-4.20207643e-07j 1.00000000e+00-1.02950813e-18j]]",(0.00488937824184033-7.279721842399612e-19j)
[1.63794293 1.41441211],0.30001235008239746,"[[ 4.66451920e-01+1.27841315e-17j -9.65767794e-18+4.98873257e-01j]
 [-9.65767794e-18-4.98873257e-01j  5.33548080e-01+1.30205504e-18j]]",(0.1583476603879191-0.4211226020439076j)
[1.95259378 2.53645444],0.33084964752197266,"[[ 3.13705451e-01+2.78427887e-18j -1.44444051e-17+4.63998212e-01j]
 [-1.44444051e-17-4.63998212e-01j  6.86294549e-01+7.88215177e-18j]]",(0.26395730057394834-0.6812763165299307j)
