Powell,time,matrix,degree
[1.25631198e-08 4.11558636e+00],0.052050113677978516,"[[1.00000000e+00+2.33218246e-17j 1.63015141e-25+6.28155989e-09j]
 [1.63015141e-25-6.28155989e-09j 3.94579946e-17+7.26352583e-35j]]",(0.32470199621145995+1.6491020326861347e-17j)
[2.12771838 3.41307166],0.04488348960876465,"[[2.35712059e-01-3.04611638e-18j 6.23509541e-18+4.24443028e-01j]
 [6.23509541e-18-4.24443028e-01j 7.64287941e-01+6.08478901e-18j]]",(0.09438599566866203+0.7595851061683236j)
[3.14159265 5.3155613 ],0.05086350440979004,"[[ 3.87048572e-18+1.59029134e-35j -1.51011440e-26+1.96735501e-09j]
 [-1.51011440e-26-1.96735501e-09j  1.00000000e+00-1.08535731e-17j]]",(0.2283288299073501-7.674635109708543e-18j)
[3.14159265 5.31556131],0.04986453056335449,"[[ 2.37490290e-18-7.40098319e-35j -2.14876906e-26+1.54107200e-09j]
 [-2.14876906e-26-1.54107200e-09j  1.00000000e+00-1.56630533e-17j]]",(0.0704273438786431-1.1075451174131492e-17j)
[3.14159228 5.31556078],0.048871517181396484,"[[ 3.56411200e-14+5.13673358e-31j -4.94185174e-24+1.88788559e-07j]
 [-4.94185174e-24-1.88788559e-07j  1.00000000e+00-9.99760627e-18j]]",(0.706409613759338-7.069375188195163e-18j)
[4.01936164e-08 5.71101980e+00],0.0518651008605957,"[[ 1.00000000e+00-1.53652867e-17j -1.09863026e-24+2.00968082e-08j]
 [-1.09863026e-24-2.00968082e-08j  4.03881700e-16+1.84489344e-33j]]",(0.49026976489918256-1.0864898433797141e-17j)
[2.35516579e-08 4.11558631e+00],0.050873756408691406,"[[ 1.00000000e+00-1.41050295e-17j -1.67705377e-25+1.17758289e-08j]
 [-1.67705377e-25-1.17758289e-08j  1.38670147e-16+1.86403003e-33j]]",(0.42171994882083746-9.973762003542003e-18j)
[3.14159263 5.3028294 ],0.04983019828796387,"[[ 1.23368370e-16-2.69105772e-33j -9.41525056e-27+1.11071315e-08j]
 [-9.41525056e-27-1.11071315e-08j  1.00000000e+00-6.52259191e-18j]]",(0.5734908815784158-4.6121689691058285e-18j)
[3.46925318e-09 4.11558641e+00],0.0396883487701416,"[[1.00000000e+00+1.52247775e-17j 4.77830187e-26+1.73462659e-09j]
 [4.77830187e-26-1.73462659e-09j 3.00892940e-18-7.65018253e-35j]]",(0.03754759201186772+1.0765543393205833e-17j)
[1.24607209 5.28637792],0.06881403923034668,"[[ 6.59523724e-01-9.05061558e-18j -1.10021948e-17+4.73869372e-01j]
 [-1.10021948e-17-4.73869372e-01j  3.40476276e-01-6.59616462e-18j]]",(0.23715499586492367+0.3156698665267196j)
