Powell,fun,time
[1.82583984 4.71240401],0.9676668654606451,0.04686999320983887
[1.52360567 4.50562421],0.7588590435778746,0.03690528869628906
[2.35744068 1.53581021],0.23278611383814207,0.06984853744506836
[1.3716564  4.92922704],0.4349222023350879,0.03290987014770508
[1.40401838 4.71239284],0.9861289938766142,0.028968334197998047
[1.61596569 4.71239284],0.9989948646805209,0.028921842575073242
[1.5311548  4.71239284],0.9992363226942799,0.030469179153442383
[1.2075664  4.71239284],0.9347771159859344,0.04250597953796387
[1.4867566  4.94183163],0.6503344728708218,0.0379025936126709
[6.45110553e-05 4.71239284e+00],0.4882873919453117,0.03249764442443848
