Nelder-Mead,time,matrix,degree
[3.14159265 6.28318531],0.05533027648925781,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.0018101165650320837+3.512911306770108e-18j)
[3.14159265 6.28318531],0.051706790924072266,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.46868887138723053+3.512911306770168e-18j)
[3.14159265 6.28318531],0.021941423416137695,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.19137419486871918+0j)
[0.         6.28318531],0.03748035430908203,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.03379093548662404-2.747987238483968e-18j)
[1.534423   6.28318531],0.03088212013244629,"[[ 5.18182655e-01+1.24205346e-33j -4.43481770e-33+4.99669282e-01j]
 [-4.43481770e-33-4.99669282e-01j  4.81817345e-01-5.64555426e-34j]]",(3.059591930809145e-17-0.4996692814514932j)
[0.         6.28318531],0.04184389114379883,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.04307213305721889-2.747987238483967e-18j)
[1.17787042 6.28318531],0.023282289505004883,"[[ 6.91446493e-01+2.60841627e-33j -3.86816122e-33+4.61896352e-01j]
 [-3.86816122e-33-4.61896352e-01j  3.08553507e-01+2.32447784e-33j]]",(2.828299437469781e-17-0.4618963507582681j)
[1.77059305 6.28318531],0.04439568519592285,"[[ 4.00764948e-01-6.27397921e-35j -7.47992398e-34+4.90053471e-01j]
 [-7.47992398e-34-4.90053471e-01j  5.99235052e-01+4.25939401e-33j]]",(3.000712073700341e-17-0.49005347105623487j)
[1.59432893 6.28318531],0.04110431671142578,"[[ 4.88234785e-01+2.71500162e-33j -1.79863490e-33+4.99861561e-01j]
 [-1.79863490e-33-4.99861561e-01j  5.11765215e-01+2.21751172e-33j]]",(3.0607692995220593e-17-0.4998615603540688j)
[2.09479987 4.37010978],0.07831478118896484,"[[2.49824752e-01+1.82366625e-18j 6.78423479e-18+4.32911475e-01j]
 [6.78423479e-18-4.32911475e-01j 7.50175248e-01-2.12542536e-17j]]",(0.32231696141159344+0.5782102069029535j)
