Powell,fun,time,3
[1.57072062 4.71239284],1.0000123604555426,0.020629167556762695,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.02329230308532715,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.022803306579589844,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.02110433578491211,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.023016929626464844,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.0420832633972168,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.025490760803222656,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.0239105224609375,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.022974491119384766,(0.0005853552903423375-0.11882850791039365j)
[1.57072062 4.71239284],1.0000123604555426,0.02214670181274414,(0.0005853552903423375-0.11882850791039365j)
