Nelder-Mead,time,matrix,degree
[0.35196152 0.        ],0.06587481498718262,"[[0.96934915+0.j         0.        +0.17236987j]
 [0.        -0.17236987j 0.03065085+0.j        ]]",(0.32718158013947185-1.2269861276861518e-06j)
[1.81657689 0.        ],0.0261685848236084,"[[0.37834325+0.j         0.        +0.48497385j]
 [0.        -0.48497385j 0.62165675+0.j        ]]",(0.07430758653409693+0.19081258296821912j)
[1.72422052 0.54098847],0.07843780517578125,"[[ 4.23588505e-01-2.92371484e-18j -2.42845399e-18+4.94126789e-01j]
 [-2.42845399e-18-4.94126789e-01j  5.76411495e-01+1.26453348e-18j]]",(0.25443110911147426-0.4936563688535188j)
[1.01082236 0.32526488],0.030565738677978516,"[[7.65582069e-01+2.65918126e-18j 2.65304548e-18+4.23634470e-01j]
 [2.65304548e-18-4.23634470e-01j 2.34417931e-01-5.50028026e-19j]]",(0.1353799332427507-0.09777228480839846j)
[1.54942051 0.20553948],0.045784711837768555,"[[ 5.10687094e-01+9.07911032e-19j -2.14804219e-18+4.99885773e-01j]
 [-2.14804219e-18-4.99885773e-01j  4.89312906e-01-3.42568326e-18j]]",(0.10203208815726682-0.5060344230507877j)
[1.79880739 0.        ],0.05024552345275879,"[[0.38697974+0.j         0.        +0.48705895j]
 [0.        -0.48705895j 0.61302026+0.j        ]]",(2.982375923640854e-17+0.48705895050185904j)
[1.57081433 0.        ],0.05413818359375,"[[0.499991+0.j  0.      +0.5j]
 [0.      -0.5j 0.500009+0.j ]]",(6.859130619801434e-05+0.501666525287717j)
[2.53498412 0.        ],0.034639835357666016,"[[0.08920692+0.j         0.        +0.28504218j]
 [0.        -0.28504218j 0.91079308+0.j        ]]",(0.32588055210351524-2.0250546162917495e-06j)
[0.         0.25677713],0.02520012855529785,"[[1.-7.86856718e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.05726211671259798-5.563917211184427e-18j)
[1.65568906 0.40607443],0.0329134464263916,"[[4.57604599e-01+5.20368932e-18j 8.31642905e-18+4.98199388e-01j]
 [8.31642905e-18-4.98199388e-01j 5.42395401e-01-3.42059075e-18j]]",(0.1967899341830402-0.5070432787616673j)
